display_name,canonical_wikipedia_url,primary_era_bucket,current_trust_rank,current_weighted_rank,trust_rank_before_verification,weighted_rank_before_verification,trust_rank_delta,weighted_rank_delta,trust_tier_current,trust_tier_before_verification,trust_confidence_current,trust_confidence_before_verification,strict_engagement_count_current,strict_engagement_count_before_verification,page_type_mix_current,page_type_mix_before_verification,known_outcome_count_current,known_outcome_count_before_verification,outcome_profile_current,outcome_profile_before_verification,structurally_suspect_rows,broad_or_downgraded_rows,quarantined_rows,verification_sensitivity,inflation_risk_band,risk_score,structural_risk_notes,outcome_risk_notes,manual_outcome_audit_priority
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,early_modern,151,202,128,181,23,21,outside_trust_headline,outside_trust_headline,caution,caution,13,16,,,8,8,,,3,0,0,high,materially_inflated,17,3 structurally suspect rows; strict engagements reduced by 3; rank moved materially after verification,,no
Juan Yagüe,https://en.wikipedia.org/wiki/Juan_Yag%C3%BCe,world_wars,170,173,158,150,12,23,outside_trust_headline,outside_trust_headline,caution,caution,7,9,,,7,9,,,1,1,0,high,materially_inflated,17,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Erich Hoepner,https://en.wikipedia.org/wiki/Erich_Hoepner,world_wars,189,176,170,155,19,21,outside_trust_headline,outside_trust_headline,caution,caution,10,11,,B=9; O=1; C=1; W=0,7,7,,V=6; D=1; N=0; U=4,1,0,0,high,materially_inflated,17,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,victory count dropped by 6,no
Pyotr Rumyantsev,https://en.wikipedia.org/wiki/Pyotr_Rumyantsev,early_modern,191,165,171,141,20,24,outside_trust_headline,outside_trust_headline,caution,caution,6,8,,,6,8,,,1,1,0,high,materially_inflated,17,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Gustav Horn,https://en.wikipedia.org/wiki/Gustav_Horn,early_modern,200,316,181,301,19,15,outside_trust_headline,outside_trust_headline,caution,caution,10,12,,,8,11,,,1,2,0,high,materially_inflated,17,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,known outcomes dropped by 3,no
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,2,2,3,2,-1,0,robust_elite_core,robust_elite_core,high,high,20,24,B=19; O=0; C=0; W=1,B=18; O=0; C=1; W=5,18,20,V=17; D=1; N=0; U=2,V=18; D=2; N=0; U=4,2,3,0,moderate,mildly_inflated,16,2 structurally suspect rows; 3 downgraded broad rows; war-page reduction 5→1; campaign reduction 1→0; strict engagements reduced by 4,,no
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,20,18,14,13,6,5,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,20,23,B=17; O=0; C=0; W=3,B=17; O=0; C=0; W=6,12,12,V=11; D=1; N=0; U=8,V=11; D=1; N=0; U=11,2,1,0,moderate,high_priority_manual_audit,16,2 structurally suspect rows; 1 downgraded broad rows; war-page reduction 6→3; strict engagements reduced by 3; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,yes
Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,early_modern,52,42,43,30,9,12,model_sensitive_band,model_sensitive_band,caution,caution,11,13,B=10; O=0; C=0; W=1,B=10; O=0; C=1; W=2,7,7,V=6; D=0; N=1; U=4,V=6; D=0; N=1; U=6,1,1,0,high,materially_inflated,16,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 2→1; campaign reduction 1→0; rank moved materially after verification,,no
Ambrogio Spinola,https://en.wikipedia.org/wiki/Ambrogio_Spinola,early_modern,88,121,73,98,15,23,model_sensitive_band,model_sensitive_band,caution,caution,11,14,,,8,9,,,1,2,0,high,materially_inflated,16,1 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Cardinal-Infante Ferdinand of Austria,https://en.wikipedia.org/wiki/Cardinal-Infante_Ferdinand_of_Austria,early_modern,133,124,180,139,-47,-15,outside_trust_headline,outside_trust_headline,caution,caution,9,10,B=8; O=0; C=0; W=1,,7,6,V=7; D=0; N=0; U=2,,2,1,0,high,materially_inflated,16,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Gebhard Leberecht von Blücher,https://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher,revolutionary_napoleonic,185,344,168,313,17,31,outside_trust_headline,outside_trust_headline,caution,caution,20,22,,,17,19,,,3,0,0,high,materially_inflated,16,3 structurally suspect rows; rank moved materially after verification,,no
Charles X Gustav,https://en.wikipedia.org/wiki/Charles_X_Gustav,early_modern,70,111,84,142,-14,-31,model_sensitive_band,model_sensitive_band,caution,caution,13,16,B=13; O=0; C=0; W=0,,13,15,V=9; D=3; N=1; U=0,,0,4,0,high,materially_inflated,15,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,long_nineteenth_century,122,180,207,285,-85,-105,outside_trust_headline,outside_trust_headline,caution,caution,12,11,,,6,6,,,2,3,0,high,materially_inflated,15,2 structurally suspect rows; 3 downgraded broad rows; rank moved materially after verification,,no
Aleksey Yermolov,https://en.wikipedia.org/wiki/Aleksey_Yermolov,revolutionary_napoleonic,123,164,174,185,-51,-21,outside_trust_headline,outside_trust_headline,caution,caution,9,10,,,7,7,,,2,0,0,high,materially_inflated,15,2 structurally suspect rows; rank moved materially after verification,,no
Craterus,https://en.wikipedia.org/wiki/Craterus,ancient,128,160,111,137,17,23,outside_trust_headline,outside_trust_headline,caution,caution,9,11,,,8,9,,,1,1,0,high,materially_inflated,15,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Robert Clive,https://en.wikipedia.org/wiki/Robert_Clive,early_modern,137,131,123,113,14,18,outside_trust_headline,outside_trust_headline,caution,caution,9,10,,B=8; O=0; C=0; W=2,7,8,,V=7; D=1; N=0; U=2,0,1,0,high,materially_inflated,15,1 downgraded broad rows; war-page reduction 2→0; rank moved materially after verification,victory count dropped by 7,no
Shimazu Yoshihiro,https://en.wikipedia.org/wiki/Shimazu_Yoshihiro,early_modern,164,240,148,220,16,20,outside_trust_headline,outside_trust_headline,caution,caution,11,13,,,9,11,,,1,1,0,high,materially_inflated,15,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Ali İhsan Sâbis,https://en.wikipedia.org/wiki/Ali_%C4%B0hsan_S%C3%A2bis,world_wars,167,209,249,299,-82,-90,outside_trust_headline,outside_trust_headline,caution,caution,6,8,,,6,7,,,0,3,0,high,materially_inflated,15,3 downgraded broad rows; rank moved materially after verification,,no
Giovanni Messe,https://en.wikipedia.org/wiki/Giovanni_Messe,world_wars,173,278,193,215,-20,63,outside_trust_headline,outside_trust_headline,caution,caution,9,9,,,7,7,,,2,1,0,high,materially_inflated,15,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,28,44,21,33,7,11,high_confidence_upper_band,strong_upper_tier,moderate,high,22,25,B=22; O=0; C=0; W=0,B=22; O=0; C=1; W=2,20,21,V=14; D=5; N=1; U=2,V=15; D=5; N=1; U=4,1,2,0,high,materially_inflated,14,1 structurally suspect rows; 2 downgraded broad rows; war-page reduction 2→0; campaign reduction 1→0; strict engagements reduced by 3; rank moved materially after verification,,no
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,37,30,31,24,6,6,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,11,15,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=4,9,10,V=8; D=1; N=0; U=2,V=9; D=1; N=0; U=5,0,4,0,moderate,mildly_inflated,14,4 downgraded broad rows; war-page reduction 4→0; strict engagements reduced by 4; rank moved materially after verification,,no
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,early_modern,66,117,55,99,11,18,model_sensitive_band,model_sensitive_band,caution,caution,20,23,,,12,15,,,0,4,0,high,materially_inflated,14,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,known outcomes dropped by 3,no
"Édouard Mortier, Duke of Treviso",https://en.wikipedia.org/wiki/%C3%89douard_Mortier%2C_Duke_of_Treviso,revolutionary_napoleonic,80,154,56,117,24,37,model_sensitive_band,model_sensitive_band,caution,caution,22,24,,,18,19,,,3,0,0,high,materially_inflated,14,3 structurally suspect rows; rank moved materially after verification,,no
Date Masamune,https://en.wikipedia.org/wiki/Date_Masamune,early_modern,105,40,89,32,16,8,outside_trust_headline,model_sensitive_band,caution,caution,7,8,B=6; O=0; C=0; W=1,B=6; O=0; C=1; W=1,6,7,V=6; D=0; N=0; U=1,V=7; D=0; N=0; U=1,1,0,0,high,materially_inflated,14,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,no
Bertrand du Guesclin,https://en.wikipedia.org/wiki/Bertrand_du_Guesclin,medieval,111,141,95,125,16,16,outside_trust_headline,model_sensitive_band,caution,caution,10,12,,,9,10,,,1,1,0,high,materially_inflated,14,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Wolfram von Richthofen,https://en.wikipedia.org/wiki/Wolfram_von_Richthofen,world_wars,140,75,433,317,-293,-242,outside_trust_headline,outside_trust_headline,caution,caution,8,7,,,5,4,,,1,2,0,high,materially_inflated,14,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,no
Prince Eugene of Savoy,https://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,early_modern,150,270,125,244,25,26,outside_trust_headline,outside_trust_headline,caution,caution,26,30,,,17,19,,,0,4,0,high,materially_inflated,14,4 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,no
Basil II,https://en.wikipedia.org/wiki/Basil_II,medieval,156,142,131,123,25,19,outside_trust_headline,outside_trust_headline,caution,caution,8,10,,,8,8,,,1,1,0,high,materially_inflated,14,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Julian,https://en.wikipedia.org/wiki/Julian_(emperor),ancient,158,193,137,167,21,26,outside_trust_headline,outside_trust_headline,caution,caution,10,12,,B=10; O=0; C=1; W=1,10,11,,V=8; D=3; N=0; U=1,0,0,0,high,materially_inflated,14,war-page reduction 1→0; campaign reduction 1→0; rank moved materially after verification,victory count dropped by 8,no
Karl Philipp von Wrede,https://en.wikipedia.org/wiki/Karl_Philipp_von_Wrede,revolutionary_napoleonic,182,287,160,252,22,35,outside_trust_headline,outside_trust_headline,caution,caution,11,13,,,10,11,,,1,1,0,high,materially_inflated,14,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Ras Alula,https://en.wikipedia.org/wiki/Ras_Alula,long_nineteenth_century,187,87,280,179,-93,-92,outside_trust_headline,outside_trust_headline,caution,caution,6,7,,,6,6,,,1,1,0,high,materially_inflated,14,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
"Jean-Baptiste Drouet, Comte d'Erlon",https://en.wikipedia.org/wiki/Jean-Baptiste_Drouet%2C_Comte_d%27Erlon,revolutionary_napoleonic,198,153,173,127,25,26,outside_trust_headline,outside_trust_headline,caution,caution,6,7,,,5,6,,,1,0,0,high,materially_inflated,14,1 structurally suspect rows; rank moved materially after verification,,no
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,early_modern,69,74,60,79,9,-5,model_sensitive_band,model_sensitive_band,caution,caution,19,22,B=15; O=0; C=0; W=4,,6,7,V=6; D=0; N=0; U=13,,0,4,0,moderate,mildly_inflated,13,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,medieval,86,63,66,50,20,13,model_sensitive_band,model_sensitive_band,caution,caution,12,13,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=1,7,8,V=7; D=0; N=0; U=5,V=8; D=0; N=0; U=5,0,1,0,high,materially_inflated,13,1 downgraded broad rows; war-page reduction 1→0; rank moved materially after verification,,no
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,revolutionary_napoleonic,106,230,82,195,24,35,outside_trust_headline,model_sensitive_band,caution,caution,42,44,,,29,31,,,4,0,0,high,materially_inflated,13,4 structurally suspect rows; rank moved materially after verification,,no
Auguste de Marmont,https://en.wikipedia.org/wiki/Auguste_de_Marmont,revolutionary_napoleonic,126,238,140,269,-14,-31,outside_trust_headline,outside_trust_headline,caution,caution,22,24,,,19,20,,,2,1,0,high,materially_inflated,13,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Murad II,https://en.wikipedia.org/wiki/Murad_II,medieval,141,200,156,235,-15,-35,outside_trust_headline,outside_trust_headline,caution,caution,13,15,,,8,9,,,1,2,0,high,materially_inflated,13,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,no
Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,157,147,138,132,19,15,outside_trust_headline,outside_trust_headline,caution,caution,10,11,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=2,9,10,V=9; D=0; N=0; U=1,V=10; D=0; N=0; U=1,1,0,0,high,materially_inflated,13,1 structurally suspect rows; war-page reduction 2→1; rank moved materially after verification,,no
Hulusi Akar,https://en.wikipedia.org/wiki/Hulusi_Akar,contemporary,169,170,170,170,-1,0,outside_trust_headline,outside_trust_headline,caution,caution,13,14,,,4,2,,,4,0,0,stable,materially_inflated,13,4 structurally suspect rows,,no
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,early_modern,188,148,259,159,-71,-11,outside_trust_headline,outside_trust_headline,caution,caution,10,10,B=10; O=0; C=0; W=0,,5,5,V=5; D=0; N=0; U=5,,1,0,0,high,materially_inflated,13,1 structurally suspect rows; rank moved materially after verification,,no
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,14,23,11,18,3,5,strong_upper_tier,robust_elite_core,high,very_high,43,46,B=40; O=0; C=0; W=3,B=40; O=0; C=2; W=4,36,37,V=29; D=7; N=0; U=7,V=30; D=7; N=0; U=9,2,1,0,moderate,mildly_inflated,12,2 structurally suspect rows; 1 downgraded broad rows; war-page reduction 4→3; campaign reduction 2→0; strict engagements reduced by 3; rank moved materially after verification,multiple surviving battle pages still unresolved,no
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,early_modern,51,58,45,46,6,12,model_sensitive_band,high_confidence_upper_band,moderate,moderate,11,13,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=3,9,10,V=8; D=1; N=0; U=2,V=9; D=1; N=0; U=3,0,2,0,high,materially_inflated,12,2 downgraded broad rows; war-page reduction 3→1; rank moved materially after verification,,no
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,73,118,96,148,-23,-30,model_sensitive_band,model_sensitive_band,caution,caution,17,19,,,15,17,,,0,3,0,high,materially_inflated,12,3 downgraded broad rows; rank moved materially after verification,,no
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,early_modern,87,138,70,112,17,26,model_sensitive_band,model_sensitive_band,caution,caution,15,17,,,10,11,,,1,1,0,high,materially_inflated,12,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,early_modern,97,102,77,85,20,17,model_sensitive_band,model_sensitive_band,caution,caution,9,10,,,8,9,,,1,0,0,high,materially_inflated,12,1 structurally suspect rows; rank moved materially after verification,,no
Honda Tadakatsu,https://en.wikipedia.org/wiki/Honda_Tadakatsu,early_modern,110,100,90,84,20,16,outside_trust_headline,model_sensitive_band,caution,caution,10,11,,,8,9,,,1,0,0,high,materially_inflated,12,1 structurally suspect rows; rank moved materially after verification,,no
Ernst Gideon von Laudon,https://en.wikipedia.org/wiki/Ernst_Gideon_von_Laudon,early_modern,112,162,93,136,19,26,outside_trust_headline,model_sensitive_band,caution,caution,12,14,,,11,11,,,1,1,0,high,materially_inflated,12,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Suhayl al-Hasan,https://en.wikipedia.org/wiki/Suhayl_al-Hasan,contemporary,127,168,120,149,7,19,outside_trust_headline,outside_trust_headline,caution,caution,26,29,,,8,9,,,0,4,0,high,materially_inflated,12,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,146,125,133,122,13,3,outside_trust_headline,outside_trust_headline,caution,caution,12,12,B=10; O=0; C=0; W=2,B=10; O=0; C=0; W=2,8,8,V=8; D=0; N=0; U=4,V=8; D=0; N=0; U=4,1,0,0,high,materially_inflated,12,1 structurally suspect rows; rank moved materially after verification,,no
Zhang Fakui,https://en.wikipedia.org/wiki/Zhang_Fakui,world_wars,152,216,127,191,25,25,outside_trust_headline,outside_trust_headline,caution,caution,9,11,,,8,9,,,0,2,0,high,materially_inflated,12,2 downgraded broad rows; rank moved materially after verification,,no
Xue Yue,https://en.wikipedia.org/wiki/Xue_Yue,world_wars,199,393,178,356,21,37,outside_trust_headline,outside_trust_headline,caution,caution,14,17,,,11,11,,,0,3,0,high,materially_inflated,12,3 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,23,28,18,22,5,6,high_confidence_upper_band,strong_upper_tier,moderate,high,21,21,B=19; O=0; C=0; W=2,B=18; O=0; C=1; W=2,18,19,V=15; D=3; N=0; U=3,V=15; D=4; N=0; U=2,1,0,0,moderate,mildly_inflated,11,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,no
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,45,50,129,145,-84,-95,model_sensitive_band,outside_trust_headline,caution,caution,11,9,B=6; O=5; C=0; W=0,,10,8,V=9; D=0; N=1; U=1,,1,1,0,high,materially_inflated,11,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,61,84,91,119,-30,-35,model_sensitive_band,model_sensitive_band,caution,caution,19,20,B=18; O=1; C=0; W=0,B=17; O=3; C=0; W=0,14,15,V=11; D=1; N=2; U=5,V=12; D=1; N=2; U=5,0,3,0,high,materially_inflated,11,3 downgraded broad rows; rank moved materially after verification,,no
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,early_modern,121,109,106,92,15,17,outside_trust_headline,outside_trust_headline,caution,caution,11,11,,B=10; O=0; C=0; W=1,9,9,,V=8; D=1; N=0; U=2,0,0,0,high,materially_inflated,11,war-page reduction 1→0; rank moved materially after verification,victory count dropped by 8,no
Jan Zamoyski,https://en.wikipedia.org/wiki/Jan_Zamoyski,early_modern,166,92,152,78,14,14,outside_trust_headline,outside_trust_headline,caution,caution,7,9,,,6,6,,,0,2,0,high,materially_inflated,11,2 downgraded broad rows; rank moved materially after verification,,no
Eugène de Beauharnais,https://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais,revolutionary_napoleonic,168,331,150,271,18,60,outside_trust_headline,outside_trust_headline,caution,caution,22,23,,,17,18,,,1,2,0,high,materially_inflated,11,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,no
Abdul Rashid Dostum,https://en.wikipedia.org/wiki/Abdul_Rashid_Dostum,contemporary,174,107,217,156,-43,-49,outside_trust_headline,outside_trust_headline,caution,caution,8,8,,,4,5,,,0,3,0,high,materially_inflated,11,3 downgraded broad rows; rank moved materially after verification,,no
Faisal bin Hussein,https://en.wikipedia.org/wiki/Faisal_I,world_wars,179,178,227,253,-48,-75,outside_trust_headline,outside_trust_headline,caution,caution,9,9,,,5,6,,,0,3,0,high,materially_inflated,11,3 downgraded broad rows; rank moved materially after verification,,no
Bai Chongxi,https://en.wikipedia.org/wiki/Bai_Chongxi,world_wars,186,378,159,315,27,63,outside_trust_headline,outside_trust_headline,caution,caution,15,18,,,11,11,,,0,3,0,high,materially_inflated,11,3 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,no
Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,8,6,13,11,-5,-5,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate,16,14,B=13; O=0; C=0; W=3,B=12; O=0; C=1; W=1,14,11,V=13; D=1; N=0; U=2,V=10; D=1; N=0; U=3,0,1,0,moderate,structurally_clean,10,1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,no
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,10,11,7,8,3,3,robust_elite_core,robust_elite_core,high,high,25,25,B=22; O=0; C=0; W=3,B=19; O=0; C=3; W=3,20,21,V=15; D=5; N=0; U=5,V=16; D=5; N=0; U=4,3,0,0,stable,mildly_inflated,10,3 structurally suspect rows; campaign reduction 3→0,multiple surviving battle pages still unresolved,no
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,34,29,142,144,-108,-115,model_sensitive_band,outside_trust_headline,caution,caution,12,10,B=9; O=0; C=0; W=3,,10,7,V=9; D=1; N=0; U=2,,1,1,0,high,materially_inflated,10,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,76,80,57,68,19,12,model_sensitive_band,model_sensitive_band,caution,caution,11,12,,,8,8,,,1,0,0,high,materially_inflated,10,1 structurally suspect rows; rank moved materially after verification,,no
Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,revolutionary_napoleonic,92,93,110,104,-18,-11,model_sensitive_band,outside_trust_headline,caution,caution,10,10,B=10; O=0; C=0; W=0,B=9; O=0; C=1; W=0,9,9,V=8; D=1; N=0; U=1,V=8; D=1; N=0; U=1,1,0,0,high,materially_inflated,10,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,no
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,94,90,75,75,19,15,model_sensitive_band,model_sensitive_band,caution,caution,11,12,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=2,9,9,V=7; D=1; N=1; U=2,V=7; D=1; N=1; U=3,1,0,0,high,materially_inflated,10,1 structurally suspect rows; war-page reduction 2→1; rank moved materially after verification,,no
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,96,88,157,138,-61,-50,model_sensitive_band,outside_trust_headline,caution,caution,12,12,B=11; O=0; C=0; W=1,B=11; O=0; C=1; W=0,7,7,V=6; D=1; N=0; U=5,V=7; D=0; N=0; U=5,1,0,0,high,materially_inflated,10,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,no
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,100,137,97,129,3,8,model_sensitive_band,model_sensitive_band,caution,caution,18,19,,,8,9,,,2,0,0,moderate,mildly_inflated,10,2 structurally suspect rows; rank moved materially after verification,,no
Charat Singh,https://en.wikipedia.org/wiki/Charat_Singh,early_modern,131,122,71,58,60,64,outside_trust_headline,model_sensitive_band,caution,caution,11,13,,,6,6,,,0,2,0,high,materially_inflated,10,2 downgraded broad rows; rank moved materially after verification,,no
Jean-Baptiste Bessières,https://en.wikipedia.org/wiki/Jean-Baptiste_Bessi%C3%A8res,revolutionary_napoleonic,148,254,116,204,32,50,outside_trust_headline,outside_trust_headline,caution,caution,17,17,,,15,15,,,2,0,0,high,materially_inflated,10,2 structurally suspect rows; rank moved materially after verification,,no
Gerd von Rundstedt,https://en.wikipedia.org/wiki/Gerd_von_Rundstedt,world_wars,155,264,208,388,-53,-124,outside_trust_headline,outside_trust_headline,caution,caution,20,20,,,10,10,,,1,4,0,high,materially_inflated,10,1 structurally suspect rows; 4 downgraded broad rows; rank moved materially after verification,,no
Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,38,43,29,31,9,12,high_confidence_upper_band,high_confidence_upper_band,moderate,high,18,19,B=15; O=0; C=0; W=3,B=15; O=0; C=0; W=4,17,18,V=12; D=4; N=1; U=1,V=13; D=4; N=1; U=1,0,1,0,high,materially_inflated,9,1 downgraded broad rows; war-page reduction 4→3; rank moved materially after verification,,no
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,world_wars,53,79,154,221,-101,-142,model_sensitive_band,outside_trust_headline,caution,caution,18,15,B=13; O=5; C=0; W=0,B=12; O=3; C=0; W=0,13,10,V=11; D=2; N=0; U=5,V=8; D=2; N=0; U=5,0,4,0,high,materially_inflated,9,4 downgraded broad rows; rank moved materially after verification,,no
Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,revolutionary_napoleonic,65,146,52,124,13,22,model_sensitive_band,model_sensitive_band,caution,caution,28,29,,,22,22,,,2,0,0,high,materially_inflated,9,2 structurally suspect rows; rank moved materially after verification,,no
Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,early_modern,74,91,130,161,-56,-70,model_sensitive_band,outside_trust_headline,caution,caution,13,13,B=13; O=0; C=0; W=0,B=12; O=0; C=1; W=0,11,11,V=8; D=3; N=0; U=2,V=7; D=4; N=0; U=2,1,1,0,high,materially_inflated,9,1 structurally suspect rows; 1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,,no
Omar Bradley,https://en.wikipedia.org/wiki/Omar_Bradley,world_wars,81,108,242,352,-161,-244,model_sensitive_band,outside_trust_headline,caution,caution,13,10,,,12,9,,,1,1,0,high,materially_inflated,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
François Joseph Lefebvre,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Lefebvre,revolutionary_napoleonic,102,184,78,140,24,44,outside_trust_headline,model_sensitive_band,caution,caution,13,14,,,11,11,,,0,2,0,high,materially_inflated,9,2 downgraded broad rows; rank moved materially after verification,,no
Georg von Küchler,https://en.wikipedia.org/wiki/Georg_von_K%C3%BCchler,world_wars,108,145,144,187,-36,-42,outside_trust_headline,outside_trust_headline,caution,caution,12,13,,,11,11,,,0,2,0,high,materially_inflated,9,2 downgraded broad rows; rank moved materially after verification,,no
Joseph Souham,https://en.wikipedia.org/wiki/Joseph_Souham,revolutionary_napoleonic,132,114,114,95,18,19,outside_trust_headline,outside_trust_headline,caution,moderate,8,9,,,7,8,,,0,1,0,high,materially_inflated,9,1 downgraded broad rows; rank moved materially after verification,,no
"Archduke Charles, Duke of Teschen",https://en.wikipedia.org/wiki/Archduke_Charles%2C_Duke_of_Teschen,revolutionary_napoleonic,144,243,146,258,-2,-15,outside_trust_headline,outside_trust_headline,caution,caution,27,28,,,20,20,,,1,1,0,high,materially_inflated,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,no
Valery Gerasimov,https://en.wikipedia.org/wiki/Valery_Gerasimov,contemporary,171,110,163,94,8,16,outside_trust_headline,outside_trust_headline,caution,caution,10,11,,,4,4,,,0,2,0,high,materially_inflated,9,2 downgraded broad rows; rank moved materially after verification,,no
