display_name,canonical_wikipedia_url,primary_era_bucket,current_trust_rank,current_weighted_rank,trust_rank_before_verification,weighted_rank_before_verification,trust_rank_delta,weighted_rank_delta,trust_tier_current,trust_tier_before_verification,trust_confidence_current,trust_confidence_before_verification,strict_engagement_count_current,strict_engagement_count_before_verification,page_type_mix_current,page_type_mix_before_verification,known_outcome_count_current,known_outcome_count_before_verification,outcome_profile_current,outcome_profile_before_verification,structurally_suspect_rows,broad_or_downgraded_rows,quarantined_rows,verification_sensitivity,inflation_risk_band,risk_score,structural_risk_notes,outcome_risk_notes,manual_outcome_audit_priority
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,world_wars,58,127,50,105,8,22,model_sensitive_band,model_sensitive_band,caution,caution,28,33,,B=21; O=0; C=3; W=9,22,24,,V=15; D=9; N=0; U=9,2,5,0,high,materially_inflated,24,2 structurally suspect rows; 5 downgraded broad rows; war-page reduction 9→0; campaign reduction 3→0; strict engagements reduced by 5; rank moved materially after verification,victory count dropped by 15,no
Qasem Soleimani,https://en.wikipedia.org/wiki/Qasem_Soleimani,contemporary,78,54,72,44,6,10,model_sensitive_band,model_sensitive_band,caution,caution,10,13,,B=6; O=3; C=2; W=2,3,4,,V=4; D=0; N=0; U=9,2,2,0,high,materially_inflated,23,2 structurally suspect rows; 2 downgraded broad rows; war-page reduction 2→0; campaign reduction 2→0; strict engagements reduced by 3; rank moved materially after verification,victory count dropped by 4,no
Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,79,72,117,118,-38,-46,model_sensitive_band,outside_trust_headline,caution,caution,9,11,B=9; O=0; C=0; W=0,B=9; O=0; C=2; W=0,9,11,V=9; D=0; N=0; U=0,V=11; D=0; N=0; U=0,3,0,0,high,materially_inflated,23,3 structurally suspect rows; campaign reduction 2→0; rank moved materially after verification,,no
Alexander I of Russia,https://en.wikipedia.org/wiki/Alexander_I_of_Russia,revolutionary_napoleonic,99,199,107,213,-8,-14,model_sensitive_band,outside_trust_headline,caution,caution,17,22,,,13,16,,,4,3,0,high,materially_inflated,23,4 structurally suspect rows; 3 downgraded broad rows; strict engagements reduced by 5; rank moved materially after verification,known outcomes dropped by 3,no
George Crook,https://en.wikipedia.org/wiki/George_Crook,long_nineteenth_century,139,205,104,151,35,54,outside_trust_headline,outside_trust_headline,caution,caution,15,20,,,6,9,,,3,3,0,high,materially_inflated,23,3 structurally suspect rows; 3 downgraded broad rows; strict engagements reduced by 5; rank moved materially after verification,known outcomes dropped by 3,no
Carlos Coloma,https://en.wikipedia.org/wiki/Carlos_Coloma,early_modern,142,57,119,42,23,15,outside_trust_headline,outside_trust_headline,caution,caution,5,7,B=5; O=0; C=0; W=0,B=5; O=0; C=1; W=1,5,6,V=5; D=0; N=0; U=0,V=6; D=0; N=0; U=1,2,0,0,high,materially_inflated,23,2 structurally suspect rows; war-page reduction 1→0; campaign reduction 1→0; rank moved materially after verification,,no
Friedrich Wilhelm Freiherr von Bülow,https://en.wikipedia.org/wiki/Friedrich_Wilhelm_Freiherr_von_B%C3%BClow,revolutionary_napoleonic,183,179,167,162,16,17,outside_trust_headline,outside_trust_headline,caution,caution,9,11,,B=8; O=0; C=2; W=1,7,8,,V=8; D=0; N=0; U=3,2,0,0,high,materially_inflated,23,2 structurally suspect rows; war-page reduction 1→0; campaign reduction 2→0; rank moved materially after verification,victory count dropped by 8,no
Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,3,3,2,3,1,0,robust_elite_core,robust_elite_core,very_high,very_high,67,74,B=65; O=0; C=0; W=2,B=63; O=0; C=6; W=5,58,62,V=49; D=9; N=0; U=9,V=51; D=11; N=0; U=12,7,3,0,moderate,high_priority_manual_audit,22,7 structurally suspect rows; 3 downgraded broad rows; war-page reduction 5→2; campaign reduction 6→0; strict engagements reduced by 7,known outcomes dropped by 4; multiple surviving battle pages still unresolved,yes
Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,world_wars,48,105,164,296,-116,-191,model_sensitive_band,outside_trust_headline,caution,caution,21,27,B=16; O=5; C=0; W=0,,15,19,V=9; D=5; N=1; U=6,,1,7,0,high,high_priority_manual_audit,22,1 structurally suspect rows; 7 downgraded broad rows; strict engagements reduced by 6; rank moved materially after verification,known outcomes dropped by 4; multiple surviving battle pages still unresolved,yes
Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,world_wars,91,181,83,173,8,8,model_sensitive_band,model_sensitive_band,caution,caution,24,30,,,20,24,,,3,6,0,moderate,materially_inflated,22,3 structurally suspect rows; 6 downgraded broad rows; strict engagements reduced by 6; rank moved materially after verification,known outcomes dropped by 4,no
