"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"14573","Battle of Tigharghar","battle_38948186","needs_review","12","1","6","5","missing_commanders","location_raw|location_normalized|result_raw|belligerent_2_raw|commander_side_a_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Tigharghar","38948186","wikitext_batch",""
"14587","Operation Serval","battle_38205389","needs_review","24","0","16","8","","date_raw|latitude|longitude|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_b_min|strength_side_b_max|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|source_family","Operation Serval","38205389","wikitext_batch",""
"14606","2014 Gambian coup attempt","battle_44890779","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","2014 Gambian coup attempt","44890779","full_parse_fallback",""
"14613","Battle for Mosul Dam","battle_43637716","needs_review","14","1","8","5","missing_commanders","date_raw|belligerent_1_raw|belligerent_2_raw|strength_side_a_raw|strength_side_b_raw|strength_side_a_min|strength_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle for Mosul Dam","43637716","wikitext_batch",""
"14614","Battle in Shakhtarsk Raion","battle_43450745","needs_review","13","0","8","5","","date_raw|location_raw|location_normalized|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_c_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle in Shakhtarsk Raion","43450745","wikitext_batch",""
"14618","Battle of Arsal (2014)","battle_43492765","needs_review","24","0","15","9","","date_raw|location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|casualties_side_a_min|casualties_side_b_min|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family","Battle of Arsal (2014)","43492765","wikitext_batch",""
"14629","Battle of Mariupol (May–June 2014)","battle_42712440","needs_review","18","0","13","5","","date_raw|location_raw|location_normalized|latitude|longitude|result_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Mariupol (May–June 2014)","42712440","wikitext_batch",""
"14631","Battle of Morek","battle_42365990","needs_review","17","0","8","9","","date_raw|location_raw|location_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|list_page_origin|parent_list_page|discovery_root|source_family","Battle of Morek","42365990","wikitext_batch",""
"14632","Battle of Novoazovsk","battle_43692799","needs_review","12","0","7","5","","date_raw|location_raw|location_normalized|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Battle of Novoazovsk","43692799","wikitext_batch",""
"14672","2015 Burkina Faso coup attempt","battle_47839259","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","2015 Burkina Faso coup attempt","47839259","full_parse_fallback",""
