"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"15126","Alumim massacre","battle_75187545","ok","5","1","0","4","missing_field","","page_type_confidence|classification_notes|acceptance_reason|categories","Alumim massacre","75187545","wikitext_batch",""
"15127","Ardamata massacre","battle_75258256","ok","2","1","0","1","missing_field","","categories","Ardamata massacre","75258256","wikitext_batch",""
"15128","Attacks on US bases during the Gaza war","battle_75098247","ok","5","1","0","4","missing_field","","page_type_confidence|classification_notes|acceptance_reason|categories","Attacks on US bases during the Gaza war","75098247","wikitext_batch",""
"15130","Battle of Beit Hanoun","battle_75165557","needs_review","15","2","7","6","missing_commanders|missing_field","date_raw|location_raw|location_normalized|belligerent_2_raw|casualties_side_a_raw|casualties_side_b_raw|notes","page_type_confidence|classification_notes|acceptance_reason|text_length|categories|extraction_confidence","Battle of Beit Hanoun","75165557","wikitext_batch",""
"15135","Battle of Kadugli","battle_74074899","ok","2","1","0","1","missing_field","","categories","Battle of Kadugli","74074899","wikitext_batch",""
"15150","Gaza war","battle_74998519","needs_review","7","2","0","5","missing_field|weak_row_no_infobox_no_result","","page_type_confidence|classification_notes|acceptance_reason|text_length|categories","Gaza war","74998519","wikitext_batch",""
"15151","Gaza war protests","battle_75044900","ok","3","1","0","2","missing_field","","text_length|categories","Gaza war protests","75044900","wikitext_batch",""
"15154","Israeli incursions in the West Bank during the Gaza war","battle_75337172","ok","4","1","0","3","missing_field","","classification_notes|acceptance_reason|categories","Israeli incursions in the West Bank during the Gaza war","75337172","wikitext_batch",""
"15157","Kissufim massacre","battle_75063218","ok","2","1","0","1","missing_field","","categories","Kissufim massacre","75063218","wikitext_batch",""
"15159","Missile strike on the award ceremony of the 128th Mountain Assault Brigade","battle_75430726","ok","5","1","0","4","missing_field","","page_type_confidence|classification_notes|acceptance_reason|categories","Missile strike on the award ceremony of the 128th Mountain Assault Brigade","75430726","wikitext_batch",""
