"row_number","wikipedia_title","battle_id","status","issue_count","internal_issue_count","stable_mismatch_count","diagnostic_mismatch_count","issue_types","stable_mismatch_fields","diagnostic_mismatch_fields","live_title","live_pageid","live_fetch_mode","notes"
"13277","1977 Shia uprising in Iraq","battle_66169045","needs_review","19","1","14","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1977 Shia uprising in Iraq","66169045","full_parse_fallback",""
"13278","1977 invasion of Uganda","battle_67653678","needs_review","20","1","15","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1977 invasion of Uganda","67653678","full_parse_fallback",""
"13291","1978 Comorian coup d'état","battle_69747465","needs_review","19","1","14","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_b_raw|strength_side_b_min|strength_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1978 Comorian coup d'état","69747465","full_parse_fallback",""
"13292","1978 Mauritanian coup d'état","battle_63751510","needs_review","8","1","6","1","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|infobox_present","extraction_confidence","1978 Mauritanian coup d'état","63751510","full_parse_fallback",""
"13293","1978 Somali coup attempt","battle_64277653","needs_review","24","1","19","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_c_raw|strength_side_b_min|strength_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1978 Somali coup attempt","64277653","full_parse_fallback",""
"13310","1979 Hazara Uprising","battle_73708892","needs_review","18","1","13","4","rejected_candidate","date_raw|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1979 Hazara Uprising","73708892","full_parse_fallback",""
"13314","1979 Mauritanian coup d'état","battle_67393203","needs_review","8","1","6","1","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|infobox_present","extraction_confidence","1979 Mauritanian coup d'état","67393203","full_parse_fallback",""
"13317","1979 Salvadoran coup d'état","battle_62034784","needs_review","20","1","15","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_c_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1979 Salvadoran coup d'état","62034784","full_parse_fallback",""
"13320","1979 uprisings in Afghanistan","battle_74070178","needs_review","20","1","15","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1979 uprisings in Afghanistan","74070178","full_parse_fallback",""
"13321","1979–1980 Shia uprising in Iraq","battle_63047044","needs_review","17","1","12","4","rejected_candidate","date_raw|end_date|war_name|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1979–1980 Shia uprising in Iraq","63047044","full_parse_fallback",""
"13324","Bala Hissar uprising","battle_55917160","needs_review","25","1","20","4","rejected_candidate","date_raw|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_b_min|strength_side_b_max|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","Bala Hissar uprising","55917160","full_parse_fallback",""
"13341","Chindawol uprising","battle_55926352","needs_review","23","1","18","4","rejected_candidate","date_raw|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","Chindawol uprising","55926352","full_parse_fallback",""
"13358","1980 Entumbane clashes","battle_40660928","needs_review","21","1","16","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|belligerent_3_raw|commander_side_a_raw|commander_side_b_raw|commander_side_c_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1980 Entumbane clashes","40660928","full_parse_fallback",""
"13359","1980 Gafsa Uprising","battle_71410033","needs_review","32","1","27","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1980 Gafsa Uprising","71410033","full_parse_fallback",""
"13360","1980 Guinea-Bissau coup d'état","battle_58905708","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1980 Guinea-Bissau coup d'état","58905708","full_parse_fallback",""
"13361","1980 Liberian coup d'état","battle_51359049","needs_review","8","1","6","1","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|infobox_present","extraction_confidence","1980 Liberian coup d'état","51359049","full_parse_fallback",""
"13362","1980 Mauritanian coup d'état","battle_67233835","needs_review","8","1","6","1","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|infobox_present","extraction_confidence","1980 Mauritanian coup d'état","67233835","full_parse_fallback",""
"13363","1980 Surinamese coup d'état","battle_29651201","needs_review","22","1","13","8","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|list_page_origin|parent_list_page|discovery_root|source_family|extraction_confidence","1980 Surinamese coup d'état","29651201","full_parse_fallback",""
"13366","1980 Upper Voltan coup d'état","battle_44400878","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1980 Upper Voltan coup d'état","44400878","full_parse_fallback",""
"13390","1981 Central African Republic coup d'état","battle_47417722","needs_review","14","1","9","4","rejected_candidate","location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1981 Central African Republic coup d'état","47417722","full_parse_fallback",""
"13391","1981 Entumbane uprising","battle_40653405","needs_review","34","1","29","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|result_type|belligerent_1_raw|belligerent_2_raw|belligerent_3_raw|commander_side_a_raw|commander_side_b_raw|commander_side_c_raw|strength_side_a_raw|strength_side_b_raw|strength_side_c_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_c_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|infobox_present|notes","acceptance_reason|text_length|categories|extraction_confidence","1981 Entumbane uprising","40653405","full_parse_fallback",""
"13392","1981 Gambian coup attempt","battle_58582584","needs_review","24","1","19","4","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1981 Gambian coup attempt","58582584","full_parse_fallback",""
"13393","1981 Ghanaian coup d'état","battle_76993633","needs_review","17","1","12","4","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|result_raw|result_normalized|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|infobox_present","page_type_confidence|classification_notes|acceptance_reason|extraction_confidence","1981 Ghanaian coup d'état","76993633","full_parse_fallback",""
"13394","1981 Mauritanian coup attempt","battle_63892094","needs_review","8","1","6","1","rejected_candidate","date_raw|start_date|end_date|location_raw|location_normalized|infobox_present","extraction_confidence","1981 Mauritanian coup attempt","63892094","full_parse_fallback",""
"13395","1981 Seychelles coup attempt","battle_53528271","needs_review","30","1","24","5","rejected_candidate","date_raw|start_date|end_date|war_name|location_raw|location_normalized|result_raw|belligerent_1_raw|belligerent_2_raw|commander_side_a_raw|commander_side_b_raw|strength_side_a_raw|strength_side_b_raw|casualties_side_a_raw|casualties_side_b_raw|strength_side_a_min|strength_side_a_max|strength_side_b_min|strength_side_b_max|casualties_side_a_min|casualties_side_a_max|casualties_side_b_min|casualties_side_b_max|infobox_present","page_type_confidence|classification_notes|acceptance_reason|text_length|extraction_confidence","1981 Seychelles coup attempt","53528271","full_parse_fallback",""
