display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Koca Sinan Pasha,https://en.wikipedia.org/wiki/Koca_Sinan_Pasha,battle_3871399,Long Turkish War,Long Turkish War,war_conflict_article,side_b,"Ottoman Empire Ottoman Empire Crimean Khanate Crimean Khanate Nogais Nogai HordeVárkonyi R. 1985 ----- Flag of Hungary (15th century, rectangular).svg Hungarian Hajduk",unknown,indecisive,unknown,Inconclusive Peace of Zsitvatorok,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Peace of Zsitvatorok
Telli Hasan Pasha,https://en.wikipedia.org/wiki/Telli_Hasan_Pasha,battle_3871399,Long Turkish War,Long Turkish War,war_conflict_article,side_b,"Ottoman Empire Ottoman Empire Crimean Khanate Crimean Khanate Nogais Nogai HordeVárkonyi R. 1985 ----- Flag of Hungary (15th century, rectangular).svg Hungarian Hajduk",unknown,indecisive,unknown,Inconclusive Peace of Zsitvatorok,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Peace of Zsitvatorok
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,battle_29214283,Second siege of Ulsan,Second siege of Ulsan,battle_article,side_b,Toyotomi Hideyoshi's Japanese army,unknown,victory,victory,Japanese victory Withdrawal of Ming and Korean forces,Retained page result begins with `japanese` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Japanese victory Withdrawal of Ming and Korean forces
Kwŏn Yul,https://en.wikipedia.org/wiki/Kw%C5%8Fn_Yul_(general),battle_5756475,Siege of Ulsan,Siege of Ulsan,battle_article,side_a,Joseon and Ming dynasty,unknown,defeat,victory,Japanese Victory Withdrawal of Korean and Ming Forces,Retained page result begins with `japanese` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Japanese Victory Withdrawal of Korean and Ming Forces
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,battle_5756475,Siege of Ulsan,Siege of Ulsan,battle_article,side_b,Japanese army,unknown,victory,victory,Japanese Victory Withdrawal of Korean and Ming Forces,Retained page result begins with `japanese` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Japanese Victory Withdrawal of Korean and Ming Forces
Nabeshima Naoshige,https://en.wikipedia.org/wiki/Nabeshima_Naoshige,battle_5756475,Siege of Ulsan,Siege of Ulsan,battle_article,side_b,Japanese army,unknown,victory,victory,Japanese Victory Withdrawal of Korean and Ming Forces,Retained page result begins with `japanese` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Japanese Victory Withdrawal of Korean and Ming Forces
Kuroda Nagamasa,https://en.wikipedia.org/wiki/Kuroda_Nagamasa,battle_5756475,Siege of Ulsan,Siege of Ulsan,battle_article,side_b,Japanese army,unknown,victory,victory,Japanese Victory Withdrawal of Korean and Ming Forces,Retained page result begins with `japanese` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Japanese Victory Withdrawal of Korean and Ming Forces
Janusz Radziwiłł,https://en.wikipedia.org/wiki/Janusz_Radziwi%C5%82%C5%82_(1579-1620),battle_11458587,Battle of Guzów,Battle of Guzów,battle_article,side_a,Forces of the Zebrzydowski Rebellion,unknown,defeat,victory,Royalist Victory,Retained page result begins with `royalist` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Royalist Victory
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,battle_11458587,Battle of Guzów,Battle of Guzów,battle_article,side_b,Polish Royalists,unknown,victory,victory,Royalist Victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist Victory
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,battle_11458587,Battle of Guzów,Battle of Guzów,battle_article,side_b,Polish Royalists,unknown,victory,victory,Royalist Victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist Victory
Uesugi Kagekatsu,https://en.wikipedia.org/wiki/Uesugi_Kagekatsu,battle_4889403,Battle of Shigino,Battle of Shigino,battle_article,side_a,Tokugawa shogunate,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,battle_55540240,Cossack raid on Istanbul (1620),Cossack raid on Istanbul (1620),battle_article,side_a,Flag of the Zaporizhian Sich.svg Zaporozhian Cossacks,unknown,victory,victory,Cossack victory,Retained page result begins with `cossack` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Cossack victory
Louis XIII,https://en.wikipedia.org/wiki/Louis_XIII,battle_22752090,Naval battle of Saint-Martin-de-Ré,Naval battle of Saint-Martin-de-Ré,battle_article,side_a,Kingdom of France,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Murad IV,https://en.wikipedia.org/wiki/Murad_IV,battle_55575146,Cossack raids on Istanbul (1624),Cossack raids on Istanbul (1624),battle_article,side_b,Ottoman Empire Ottoman Empire,unknown,defeat,victory,Cossack victory,Retained page result begins with `cossack` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Cossack victory
Shah Jahan,https://en.wikipedia.org/wiki/Shah_Jahan,battle_55095456,Battle of Lahira,Battle of Lahira,battle_article,side_b,30px Mughal Empire,unknown,defeat,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory
Shah Jahan,https://en.wikipedia.org/wiki/Shah_Jahan,battle_31300144,Battle of Kartarpur,Battle of Kartarpur,battle_article,side_b,Mughal Empire,unknown,defeat,unknown,Sikh victory820–821,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory820–821
Charles I of England,https://en.wikipedia.org/wiki/Charles_I_of_England,battle_65486976,First Bishops' War,First Bishops' War,war_conflict_article,side_a,Royal Standard of Scotland (1603–1689).svg Scottish Royalists Kingdom of England Kingdom of England,unknown,stalemate,unknown,Status quo ante bellum,Retained page result is explicitly status quo ante bellum.,page_result_raw=Status quo ante bellum
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,battle_9599004,Battle of Brentford (1642),Battle of Brentford (1642),battle_article,side_a,Royalists,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
Charles I of England,https://en.wikipedia.org/wiki/Charles_I_of_England,battle_181890,Battle of Edgehill,Battle of Edgehill,battle_article,side_a,Royalists,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,battle_181890,Battle of Edgehill,Battle of Edgehill,battle_article,side_a,Royalists,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,battle_5588990,Battle of Powick Bridge,Battle of Powick Bridge,battle_article,side_a,Royalists,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,battle_17480287,Battle of Aldbourne Chase,Battle of Aldbourne Chase,battle_article,side_a,Royalists,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,battle_22863412,Battle of Camp Hill,Battle of Camp Hill,battle_article,side_a,Royalists,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,battle_5592407,Battle of Chalgrove Field,Battle of Chalgrove Field,battle_article,side_a,Royalists,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
Owen Roe O'Neill,https://en.wikipedia.org/wiki/Owen_Roe_O%27Neill,battle_59677362,Battle of Clones,Battle of Clones,battle_article,side_a,Green harp flag of Ireland 17th century.svg Irish Confederates,unknown,defeat,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Royalist victory
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,battle_55184350,Siege of Lichfield,Siege of Lichfield,battle_article,side_a,Royal Standard of England (1603–1689).svg Royalists,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
Charles I of England,https://en.wikipedia.org/wiki/Charles_I_of_England,battle_817513,Battle of Cropredy Bridge,Battle of Cropredy Bridge,battle_article,side_a,Royalists,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,battle_496593,Battle of Freiburg,Battle of Freiburg,battle_article,side_a,Kingdom of France Kingdom of France,unknown,indecisive,unknown,InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_496593,Battle of Freiburg,Battle of Freiburg,battle_article,side_a,Kingdom of France Kingdom of France,unknown,indecisive,unknown,InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009
Johann von Werth,https://en.wikipedia.org/wiki/Johann_von_Werth,battle_496593,Battle of Freiburg,Battle of Freiburg,battle_article,side_b,Holy Roman Empire Holy Roman Empire Electorate of Bavaria Electorate of Bavaria,unknown,indecisive,unknown,InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009,Retained page result is explicitly inconclusive.,page_result_raw=InconclusiveSchaufler 1979Schott 1978Thion 2008Wilson 2009
Charles I of England,https://en.wikipedia.org/wiki/Charles_I_of_England,battle_4160,Battle of Lostwithiel,Battle of Lostwithiel,battle_article,side_a,Royalists,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
Alasdair Mac Colla,https://en.wikipedia.org/wiki/Alasdair_Mac_Colla,battle_1236163,Battle of Tippermuir,Battle of Tippermuir,battle_article,side_a,Scottish Royalists Irish Brigade,unknown,victory,victory,Royalist victory,Retained page result begins with `royalist` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Royalist victory
Janusz Radziwiłł,https://en.wikipedia.org/wiki/Janusz_Radziwi%C5%82%C5%82_(1612-1655),battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_a,25pxPolish–Lithuanian Commonwealth,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
Marcin Kalinowski,https://en.wikipedia.org/wiki/Marcin_Kalinowski,battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_a,25pxPolish–Lithuanian Commonwealth,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
Mikołaj Potocki,https://en.wikipedia.org/wiki/Miko%C5%82aj_Potocki,battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_a,25pxPolish–Lithuanian Commonwealth,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_a,25pxPolish–Lithuanian Commonwealth,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
Stefan Czarniecki,https://en.wikipedia.org/wiki/Stefan_Czarniecki,battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_a,25pxPolish–Lithuanian Commonwealth,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
Bohdan Khmelnytsky,https://en.wikipedia.org/wiki/Bohdan_Khmelnytsky,battle_13782322,Battle of Bila Tserkva (1651),Battle of Bila Tserkva (1651),battle_article,side_b,25px|border=noCossack Hetmanate 24px Crimean Khanate,unknown,indecisive,unknown,Inconclusive Treaty of Bila Tserkva,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive Treaty of Bila Tserkva
Maarten Tromp,https://en.wikipedia.org/wiki/Maarten_Tromp,battle_2635744,Three Hundred and Thirty Five Years' War,Three Hundred and Thirty Five Years' War,war_conflict_article,side_b,1651 to 1795 Dutch Republic1795 to 1806 Bataafse Republiek nationale vlag.svg Batavian Republic1806 to 1810 Netherlands Kingdom of Holland1813 to 1815 Sovereign Principality of the United Netherlands1815 to 1986 Netherlands,unknown,stalemate,unknown,Status quo ante bellum,Retained page result is explicitly status quo ante bellum.,page_result_raw=Status quo ante bellum
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_888675,Battle of Bléneau,Battle of Bléneau,battle_article,side_a,Kingdom of France Royalists,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,battle_888675,Battle of Bléneau,Battle of Bléneau,battle_article,side_b,23px Condé rebels,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Maarten Tromp,https://en.wikipedia.org/wiki/Maarten_Tromp,battle_187530,Battle of Dover (1652),Battle of Dover (1652),battle_article,side_a,Dutch Republic,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Benjamin Blake,https://en.wikipedia.org/wiki/Benjamin_Blake_(admiral),battle_187530,Battle of Dover (1652),Battle of Dover (1652),battle_article,side_b,Commonwealth of England,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Niels Juel,https://en.wikipedia.org/wiki/Niels_Juel,battle_38928141,Battle of Møn (1657),Battle of Møn (1657),battle_article,side_b,Denmark–Norway,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,battle_42805673,Battle of Mątwy,Battle of Mątwy,battle_article,side_a,Royal Army,unknown,defeat,victory,Rebel victory,Retained page result begins with `rebel` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Rebel victory
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,battle_42805673,Battle of Mątwy,Battle of Mątwy,battle_article,side_a,Royal Army,unknown,defeat,victory,Rebel victory,Retained page result begins with `rebel` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Rebel victory
Jerzy Sebastian Lubomirski,,battle_42805673,Battle of Mątwy,Battle of Mątwy,battle_article,side_b,Rebels,unknown,victory,victory,Rebel victory,Retained page result begins with `rebel` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Rebel victory
Raimondo Montecuccoli,https://en.wikipedia.org/wiki/Raimondo_Montecuccoli,battle_58825236,Battle of Altenheim,Battle of Altenheim,battle_article,side_b,Holy Roman Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Aeneas de Caprara,https://en.wikipedia.org/wiki/Aeneas_de_Caprara,battle_58825236,Battle of Altenheim,Battle of Altenheim,battle_article,side_b,Holy Roman Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Raimondo Montecuccoli,https://en.wikipedia.org/wiki/Raimondo_Montecuccoli,battle_20848279,Battle of Salzbach,Battle of Salzbach,battle_article,side_a,Holy Roman Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,battle_20848279,Battle of Salzbach,Battle of Salzbach,battle_article,side_b,Kingdom of France,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,battle_2222019,Battle of Augusta,Battle of Augusta,battle_article,side_a,United Provinces Spain Spain,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Abraham Duquesne,https://en.wikipedia.org/wiki/Abraham_Duquesne,battle_2222019,Battle of Augusta,Battle of Augusta,battle_article,side_b,Kingdom of France,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,battle_73351209,Battle of Anandpur (1682),Battle of Anandpur (1682),battle_article,side_a,30px Akal Sena (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhim Chand,https://en.wikipedia.org/wiki/Bhim_Chand_(Kahlur),battle_73351209,Battle of Anandpur (1682),Battle of Anandpur (1682),battle_article,side_b,30px Chandel of Kahlur,unknown,defeat,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,battle_975053,War of the Reunions,War of the Reunions,war_conflict_article,side_a,Kingdom of France France,unknown,indecisive,unknown,Truce of Ratisbon,Retained page result is explicitly a truce.,page_result_raw=Truce of Ratisbon
François de Créquy,https://en.wikipedia.org/wiki/Fran%C3%A7ois_de_Cr%C3%A9quy,battle_975053,War of the Reunions,War of the Reunions,war_conflict_article,side_a,Kingdom of France France,unknown,indecisive,unknown,Truce of Ratisbon,Retained page result is explicitly a truce.,page_result_raw=Truce of Ratisbon
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,battle_975053,War of the Reunions,War of the Reunions,war_conflict_article,side_a,Kingdom of France France,unknown,indecisive,unknown,Truce of Ratisbon,Retained page result is explicitly a truce.,page_result_raw=Truce of Ratisbon
Abraham Duquesne,https://en.wikipedia.org/wiki/Abraham_Duquesne,battle_27476959,Bombardment of Genoa,Bombardment of Genoa,operation_article,side_a,Kingdom of France France,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,battle_73545530,Battle of Anandpur (1685),Battle of Anandpur (1685),battle_article,side_a,30px Akal Sena (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhim Chand,https://en.wikipedia.org/wiki/Bhim_Chand_(Kahlur),battle_73545530,Battle of Anandpur (1685),Battle of Anandpur (1685),battle_article,side_b,30px Chandel of Kahlur 30px Kangra Guler,unknown,defeat,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,battle_14511154,Battle of Bhangani,Battle of Bhangani,battle_article,side_a,30px Akal Sena (Sikhs) Pir Budhu Shah's disciples Udasis,unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_14511154,Battle of Bhangani,Battle of Bhangani,battle_article,side_a,30px Akal Sena (Sikhs) Pir Budhu Shah's disciples Udasis,unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhim Chand,https://en.wikipedia.org/wiki/Bhim_Chand_(Kahlur),battle_14511154,Battle of Bhangani,Battle of Bhangani,battle_article,side_b,"Alliance of 16 Hill States, including: 25px Kahlur 25px Garhwal 25px Kangra Guler Hindur Siba Jaswan",unknown,defeat,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory
Philips van Almonde,https://en.wikipedia.org/wiki/Philips_van_Almonde,battle_877917,Action at Barfleur,Action at Barfleur,battle_article,side_a,Kingdom of England Dutch Republic,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Anne Hilarion de Tourville,https://en.wikipedia.org/wiki/Anne_Hilarion_de_Tourville,battle_877917,Action at Barfleur,Action at Barfleur,battle_article,side_b,Kingdom of France,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,battle_57529591,Battle of Guler (1696),Battle of Guler (1696),battle_article,side_a,30px Akal Sena (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_57529591,Battle of Guler (1696),Battle of Guler (1696),battle_article,side_a,30px Akal Sena (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,battle_14640828,Battle of Anandpur (1700),Battle of Anandpur (1700),battle_article,side_a,30px Khalsa (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_14640828,Battle of Anandpur (1700),Battle of Anandpur (1700),battle_article,side_a,30px Khalsa (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhai Mohkam Singh,https://en.wikipedia.org/wiki/Mohkam_Singh,battle_14640828,Battle of Anandpur (1700),Battle of Anandpur (1700),battle_article,side_a,30px Khalsa (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,battle_73317228,Battle of Taragarh,Battle of Taragarh,battle_article,side_a,30px Khalsa (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,battle_47332086,Battle of Basoli,Battle of Basoli,battle_article,side_a,30px Khalsa (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhai Daya Singh,https://en.wikipedia.org/wiki/Daya_Singh,battle_47332086,Battle of Basoli,Battle of Basoli,battle_article,side_a,30px Khalsa (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Bhai Mohkam Singh,https://en.wikipedia.org/wiki/Mohkam_Singh,battle_47332086,Battle of Basoli,Battle of Basoli,battle_article,side_a,30px Khalsa (Sikhs),unknown,victory,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Sikh victory
Wazir Khan,https://en.wikipedia.org/wiki/Wazir_Khan_(Sirhind),battle_47332086,Battle of Basoli,Battle of Basoli,battle_article,side_b,25px Mughal Empire 25px Kahlur State Guler State Deva dynasty of Jammu State Bahu State,unknown,defeat,victory,Sikh victory,Retained page result begins with `sikh` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Sikh victory
Prince Eugene of Savoy,https://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,battle_3199133,Battle of Cremona,Battle of Cremona,battle_article,side_a,Habsburg Monarchy Denmark-Norway Danish Auxiliary Corps,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Prince Eugene of Savoy,https://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,battle_3942643,Battle of Luzzara,Battle of Luzzara,battle_article,side_a,Holy Roman Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
"Louis Joseph, Duke of Vendôme",https://en.wikipedia.org/wiki/Louis_Joseph%2C_Duke_of_Vend%C3%B4me,battle_3942643,Battle of Luzzara,Battle of Luzzara,battle_article,side_b,Kingdom of France Savoy,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Victor Amadeus II,https://en.wikipedia.org/wiki/Victor_Amadeus_II,battle_3942643,Battle of Luzzara,Battle of Luzzara,battle_article,side_b,Kingdom of France Savoy,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
George Rooke,https://en.wikipedia.org/wiki/George_Rooke,battle_4794915,Battle of Málaga (1704),Battle of Málaga (1704),battle_article,side_a,Kingdom of England Dutch Republic,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Wolmar Anton von Schlippenbach,https://en.wikipedia.org/wiki/Wolmar_Anton_von_Schlippenbach,battle_41505851,Battle of Wesenberg (1704),Battle of Wesenberg (1704),battle_article,side_a,Sweden Swedish Empire,unknown,defeat,victory,Russian victory Fall of Wesenberg to the advancing Russian armies Almost all of the Swedish defenders were annihilated,Retained page result begins with `russian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Russian victory Fall of Wesenberg to the advancing Russian armies Almost all of the Swedish defenders were annihilated
Carl Ewald von Rönne,https://en.wikipedia.org/wiki/Carl_Ewald_von_R%C3%B6nne,battle_41505851,Battle of Wesenberg (1704),Battle of Wesenberg (1704),battle_article,side_b,Russia Tsardom of Russia,unknown,victory,victory,Russian victory Fall of Wesenberg to the advancing Russian armies Almost all of the Swedish defenders were annihilated,Retained page result begins with `russian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Russian victory Fall of Wesenberg to the advancing Russian armies Almost all of the Swedish defenders were annihilated
