display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Shurahbil ibn Hasana,https://en.wikipedia.org/wiki/Shurahbil_ibn_Hasana,battle_10126467,Battle of Fahl,Battle of Fahl,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_55685610,Siege of Babylon Fortress,Siege of Babylon Fortress,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Ubadah ibn al-Samit,https://en.wikipedia.org/wiki/Ubadah_ibn_al-Samit,battle_55685610,Siege of Babylon Fortress,Siege of Babylon Fortress,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Theodore,https://en.wikipedia.org/wiki/Theodore_(prefect_of_Egypt),battle_55685610,Siege of Babylon Fortress,Siege of Babylon Fortress,battle_article,side_b,Byzantine Empire,unknown,defeat,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Muslim victory
Farrukhzad,https://en.wikipedia.org/wiki/Farrukhzad,battle_41192622,Battle of Waj Rudh,Battle of Waj Rudh,battle_article,side_b,Sasanian Empire,unknown,defeat,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Muslim victory
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,battle_4246048,Battle of Nikiou,Battle of Nikiou,battle_article,side_a,Rashidun Caliphate,unknown,victory,victory,Muslim victory,Retained page result begins with `muslim` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Muslim victory
Krum,https://en.wikipedia.org/wiki/Krum,battle_3194330,Battle of Versinikia,Battle of Versinikia,battle_article,side_a,Bulgarian Empire,unknown,victory,victory,Bulgarian victory Abdication of Michael I Rangabe,Retained page result begins with `bulgarian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Bulgarian victory Abdication of Michael I Rangabe
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,battle_24916149,Battle of Pombal,Battle of Pombal,battle_article,side_a,First French Empire,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Bohemond I of Antioch,https://en.wikipedia.org/wiki/Bohemond_I_of_Antioch,battle_398093,Battle of Dorylaeum (1097),Battle of Dorylaeum (1097),battle_article,side_a,Crusaders,unknown,victory,victory,Crusader victory,Retained page result begins with `crusader` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Crusader victory
