display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,7.0,10.0,15.0,12.0,12.0,15.0,33.0,96.02432778489117,84.89409559512653,83.59278350515466,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 15 but not stable enough for the headline core.,21,19,7,15,19,V=16; D=3; N=0; U=2,B=19; O=0; C=0; W=2,battle_dominant,model_sensitive,
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,22.0,32.0,16.0,24.0,15.0,27.0,43.0,91.1235595390525,84.28584817244611,81.41487035301468,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 16 but not stable enough for the headline core.,43,40,19,27,37,V=29; D=7; N=1; U=6,B=40; O=0; C=0; W=3,battle_dominant,model_sensitive,
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,5.0,7.0,17.0,17.0,19.0,14.0,30.0,97.33034571062741,83.99250234301782,82.56904092471103,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 17 but not stable enough for the headline core.,20,19,10,18,18,V=16; D=2; N=0; U=2,B=19; O=0; C=0; W=1,battle_dominant,model_sensitive,
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,1.0,1.0,18.0,21.0,23.0,18.0,29.0,99.55505761843789,83.5801312089972,81.81333958138083,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 18 but not stable enough for the headline core.,41,40,18,24,39,V=37; D=0; N=2; U=2,B=40; O=0; C=0; W=1,battle_dominant,model_sensitive,
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,90.0,213.0,19.0,29.0,10.0,25.0,28.0,76.93021766965428,83.50609184629803,80.66963448922212,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",15,12,9,9,15,V=12; D=3; N=0; U=0,B=12; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,56.0,86.0,20.0,25.0,16.0,20.0,42.0,82.5416133162612,83.04029990627929,81.20306154326772,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",22,20,12,2,17,V=12; D=2; N=3; U=5,B=20; O=2; C=0; W=0,battle_dominant,highly_model_sensitive,
Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,113.0,55.0,21.0,27.0,26.0,28.0,9.0,74.4910371318822,82.21180880974696,81.17541393314589,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",19,9,15,10,12,V=11; D=1; N=0; U=7,B=9; O=10; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,196.0,158.0,22.0,18.0,34.0,17.0,38.0,67.4583866837388,82.12089971883786,82.36082474226804,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",11,8,6,13,9,V=7; D=2; N=0; U=2,B=8; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,57.0,39.0,23.0,22.0,14.0,23.0,52.0,82.32714468629962,81.81630740393626,81.58091221493282,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 23 but not stable enough for the headline core.,18,17,6,15,11,V=10; D=1; N=0; U=7,B=17; O=0; C=0; W=1,battle_dominant,model_sensitive,
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,long_nineteenth_century,107.0,88.0,24.0,15.0,17.0,19.0,32.0,75.00640204865557,81.72352389878164,83.23992502343019,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,8,6,9,8,V=7; D=1; N=0; U=4,B=8; O=0; C=0; W=4,battle_dominant,highly_model_sensitive,
Hannibal,https://en.wikipedia.org/wiki/Hannibal,ancient,38.0,16.0,25.0,28.0,36.0,21.0,55.0,87.80409731113956,81.60262417994377,80.77460168697283,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 25 but not stable enough for the headline core.,27,25,4,8,18,V=13; D=4; N=1; U=9,B=25; O=0; C=0; W=2,battle_dominant,model_sensitive,
Enver Pasha,https://en.wikipedia.org/wiki/Enver_Pasha,world_wars,125.0,84.0,26.0,43.0,112.0,58.0,40.0,72.83610755441742,81.10777881911903,78.52327397688224,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",14,8,11,29,9,V=5; D=3; N=1; U=5,B=8; O=1; C=0; W=5,battle_dominant,highly_model_sensitive,
Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,24.0,37.0,27.0,19.0,20.0,6.0,45.0,90.29769526248398,80.92502343017806,81.97594501718213,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 27 but not stable enough for the headline core.,10,9,6,11,9,V=8; D=0; N=1; U=1,B=9; O=0; C=0; W=1,battle_dominant,model_sensitive,
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,130.0,98.0,28.0,38.0,33.0,36.0,44.0,72.13508322663252,80.7535145267104,79.26382380506091,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",13,11,6,22,8,V=6; D=1; N=1; U=5,B=11; O=1; C=0; W=1,battle_dominant,highly_model_sensitive,
Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,62.0,192.0,29.0,65.0,43.0,65.0,95.0,80.2944942381562,80.29334582942832,75.70399875039051,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",26,21,11,17,24,V=17; D=6; N=1; U=2,B=21; O=0; C=0; W=5,battle_dominant,highly_model_sensitive,
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,42.0,53.0,30.0,33.0,41.0,37.0,21.0,85.80985915492958,80.22961574507967,79.93830053108404,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 30 but not stable enough for the headline core.,13,13,9,6,11,V=8; D=1; N=2; U=2,B=13; O=0; C=0; W=0,battle_dominant,model_sensitive,
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,63.0,199.0,31.0,69.0,37.0,80.0,68.0,80.05761843790013,80.22961574507967,75.39831302717901,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",29,24,14,29,26,V=20; D=6; N=0; U=3,B=24; O=0; C=0; W=5,battle_dominant,highly_model_sensitive,
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,early_modern,6.0,5.0,32.0,37.0,38.0,31.0,58.0,97.2247119078105,80.02999062792877,79.38956576069977,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",20,20,4,16,18,V=16; D=1; N=1; U=2,B=20; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,long_nineteenth_century,49.0,66.0,33.0,30.0,42.0,26.0,64.0,83.7067861715749,79.99812558575447,80.32677288347392,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 33 but not stable enough for the headline core.,11,10,4,11,10,V=8; D=1; N=1; U=1,B=10; O=0; C=0; W=1,battle_dominant,model_sensitive,
Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,85.0,128.0,34.0,42.0,22.0,42.0,34.0,77.71446862996159,79.99718837863168,78.71337082161824,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",10,8,10,15,9,V=7; D=1; N=1; U=1,B=8; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,108.0,218.0,35.0,46.0,32.0,54.0,46.0,74.85595390524968,79.54732895970011,78.10402999062794,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,9,7,7,12,V=10; D=2; N=0; U=0,B=9; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,455.0,525.0,36.0,59.0,28.0,114.0,23.0,44.51984635083226,79.46110590440486,76.36676038737895,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",13,5,13,17,9,V=6; D=1; N=2; U=4,B=5; O=7; C=0; W=1,battle_dominant,highly_model_sensitive,higher_level_dependent
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,early_modern,36.0,18.0,37.0,35.0,47.0,44.0,71.0,88.24903969270167,79.41799437675726,79.68431740081225,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,11,5,13,10,V=8; D=1; N=1; U=2,B=11; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,early_modern,81.0,191.0,38.0,53.0,24.0,102.0,102.0,78.20422535211269,79.38800374882848,77.32427366447985,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",14,13,8,13,12,V=10; D=2; N=0; U=2,B=13; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
