display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,,245.0,59.0,49.0,49.0,99.0,51.0,,77.25679475164013,77.81458919087787,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",9,4,5,16,9,V=9; D=0; N=0; U=0,B=4; O=4; C=0; W=1,battle_dominant,highly_model_sensitive,higher_level_dependent
Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,40.0,6.0,60.0,57.0,58.0,45.0,87.0,86.949423815621,77.2464854732896,76.98531708840987,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",21,21,5,18,11,V=10; D=0; N=1; U=10,B=21; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,early_modern,11.0,17.0,62.0,66.0,81.0,66.0,53.0,94.06209987195902,77.11527647610122,75.58731646360512,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",18,18,8,5,17,V=14; D=3; N=0; U=1,B=18; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Philip the Good,https://en.wikipedia.org/wiki/Philip_the_Good,medieval,54.0,69.0,63.0,41.0,45.0,24.0,36.0,82.93854033290653,77.06747891283976,78.7986566697907,model_sensitive_band,moderate,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,8,5,9,8,V=7; D=1; N=0; U=1,B=8; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,early_modern,121.0,165.0,65.0,54.0,115.0,48.0,90.0,73.30985915492958,76.91752577319589,77.24789128397377,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,7,7,8,9,V=6; D=1; N=2; U=0,B=7; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,,263.0,66.0,20.0,21.0,35.0,8.0,,76.91181818181818,81.8675413933146,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",9,4,7,9,7,V=7; D=0; N=0; U=2,B=4; O=3; C=0; W=2,battle_dominant,highly_model_sensitive,higher_level_dependent
"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,early_modern,50.0,23.0,69.0,40.0,39.0,39.0,74.0,83.45710627400767,76.60168697282099,78.98641049671977,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",13,10,4,11,7,V=7; D=0; N=0; U=6,B=10; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,299.0,189.0,71.0,26.0,25.0,38.0,20.0,57.50320102432779,76.51545454545455,81.17681974383005,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,5,8,8,7,V=7; D=0; N=0; U=2,B=5; O=3; C=0; W=1,battle_dominant,highly_model_sensitive,
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,world_wars,29.0,36.0,75.0,88.0,79.0,82.0,62.0,89.00128040973112,76.3045923149016,73.75710715401438,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",19,18,9,4,15,V=11; D=1; N=3; U=4,B=18; O=1; C=0; W=0,battle_dominant,highly_model_sensitive,
Babur,https://en.wikipedia.org/wiki/Babur,early_modern,106.0,63.0,77.0,62.0,83.0,53.0,7.0,75.05441741357234,75.88940955951267,76.08466104342394,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",11,11,7,13,7,V=6; D=1; N=0; U=4,B=11; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Jan Karol Chodkiewicz,https://en.wikipedia.org/wiki/Jan_Karol_Chodkiewicz,early_modern,26.0,30.0,79.0,78.0,72.0,62.0,37.0,89.76952624839949,75.50609184629803,74.83005310840363,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,12,7,11,10,V=9; D=1; N=0; U=2,B=12; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,68.0,200.0,83.0,132.0,75.0,121.0,14.0,79.45582586427658,74.97000937207123,70.29646985317089,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",16,16,13,36,16,V=12; D=3; N=1; U=0,B=16; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,,358.0,85.0,60.0,67.0,52.0,49.0,,74.87535145267104,76.1877538269291,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",11,4,6,6,10,V=10; D=0; N=0; U=1,B=4; O=7; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,long_nineteenth_century,241.0,162.0,90.0,32.0,29.0,34.0,59.0,61.41485275288092,74.39727272727274,80.02249297094657,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",9,6,7,9,6,V=6; D=0; N=0; U=3,B=6; O=0; C=0; W=3,battle_dominant,highly_model_sensitive,
Date Masamune,https://en.wikipedia.org/wiki/Date_Masamune,early_modern,128.0,90.0,95.0,34.0,30.0,41.0,66.0,72.40076824583866,73.61818181818182,79.9100281162137,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",7,6,7,8,6,V=6; D=0; N=0; U=1,B=6; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,early_modern,51.0,24.0,96.0,70.0,69.0,89.0,123.0,83.45710627400767,73.61105904404874,75.33348953452047,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",12,10,3,11,8,V=8; D=0; N=0; U=4,B=10; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Robert Clive,https://en.wikipedia.org/wiki/Robert_Clive,early_modern,71.0,49.0,103.0,82.0,101.0,83.0,100.0,79.02048655569783,73.14058106841613,74.27350827866293,outside_trust_headline,caution,,9,8,6,11,7,V=6; D=1; N=0; U=2,B=8; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,early_modern,41.0,51.0,104.0,114.0,226.0,120.0,125.0,86.11715749039693,73.12371134020619,71.42689784442362,outside_trust_headline,caution,,13,13,6,11,11,V=8; D=3; N=0; U=2,B=13; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,revolutionary_napoleonic,30.0,35.0,106.0,103.0,119.0,117.0,144.0,88.93085787451984,72.5323336457357,72.53545766947829,outside_trust_headline,caution,,10,10,5,11,9,V=8; D=1; N=0; U=1,B=10; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,early_modern,17.0,25.0,114.0,96.0,94.0,84.0,150.0,92.14148527528809,71.59044048734772,73.15916900968449,outside_trust_headline,caution,,10,9,3,8,9,V=9; D=0; N=0; U=1,B=9; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Cardinal-Infante Ferdinand of Austria,https://en.wikipedia.org/wiki/Cardinal-Infante_Ferdinand_of_Austria,early_modern,53.0,44.0,117.0,101.0,104.0,77.0,135.0,83.03457106274008,71.34301780693535,72.78272414870355,outside_trust_headline,caution,,9,8,5,10,7,V=7; D=0; N=0; U=2,B=8; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Prince Friedrich Karl of Prussia,https://en.wikipedia.org/wiki/Prince_Friedrich_Karl_of_Prussia_(1828-1885),long_nineteenth_century,43.0,59.0,120.0,107.0,103.0,93.0,163.0,85.70422535211267,71.02530459231491,72.14917213370823,outside_trust_headline,caution,,9,8,5,7,8,V=7; D=0; N=1; U=1,B=8; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Charles Mangin,https://en.wikipedia.org/wiki/Charles_Mangin,world_wars,39.0,47.0,123.0,97.0,107.0,88.0,138.0,87.70166453265044,70.80224929709466,73.1323024054983,outside_trust_headline,caution,,8,8,6,4,8,V=7; D=0; N=1; U=0,B=8; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Jan Zamoyski,https://en.wikipedia.org/wiki/Jan_Zamoyski,early_modern,155.0,108.0,126.0,58.0,62.0,29.0,63.0,69.36619718309858,70.01454545454546,76.86488597313341,outside_trust_headline,caution,,7,6,6,6,6,V=6; D=0; N=0; U=1,B=6; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Erich Hoepner,https://en.wikipedia.org/wiki/Erich_Hoepner,world_wars,60.0,45.0,138.0,130.0,200.0,118.0,187.0,81.43405889884762,69.02624179943767,70.38659793814432,outside_trust_headline,caution,,10,9,7,4,7,V=6; D=1; N=0; U=3,B=9; O=1; C=0; W=0,battle_dominant,highly_model_sensitive,
Jeremi Wiśniowiecki,https://en.wikipedia.org/wiki/Jeremi_Wi%C5%9Bniowiecki,early_modern,74.0,40.0,142.0,120.0,122.0,155.0,167.0,78.58194622279129,68.73289597000938,70.95360824742268,outside_trust_headline,caution,,9,9,6,8,6,V=6; D=0; N=0; U=3,B=9; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Stilicho,https://en.wikipedia.org/wiki/Stilicho,ancient,156.0,109.0,144.0,81.0,84.0,49.0,88.0,69.36619718309858,68.61545454545457,74.32739768822245,outside_trust_headline,caution,,8,6,6,7,6,V=6; D=0; N=0; U=2,B=6; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Ubadah ibn al-Samit,https://en.wikipedia.org/wiki/Ubadah_ibn_al-Samit,medieval,25.0,38.0,151.0,122.0,152.0,170.0,166.0,90.22087067861715,68.25960637300844,70.88847235238988,outside_trust_headline,caution,,9,9,3,5,9,V=8; D=1; N=0; U=0,B=9; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,18.0,26.0,158.0,148.0,144.0,205.0,192.0,92.02624839948783,67.96344892221181,69.07029053420807,outside_trust_headline,caution,,9,9,6,4,9,V=9; D=0; N=0; U=0,B=9; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Alauddin Khalji,https://en.wikipedia.org/wiki/Alauddin_Khalji,medieval,45.0,57.0,163.0,102.0,100.0,72.0,142.0,84.8719590268886,67.77818181818184,72.7394564198688,outside_trust_headline,caution,,7,7,6,6,7,V=7; D=0; N=0; U=0,B=7; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Nozu Michitsura,https://en.wikipedia.org/wiki/Nozu_Michitsura,long_nineteenth_century,144.0,101.0,166.0,56.0,60.0,46.0,99.0,70.32650448143404,67.23545454545454,77.072633552015,outside_trust_headline,caution,,7,6,4,4,6,V=6; D=0; N=0; U=1,B=6; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Nathan Bedford Forrest,https://en.wikipedia.org/wiki/Nathan_Bedford_Forrest,long_nineteenth_century,12.0,12.0,176.0,183.0,184.0,166.0,237.0,93.67797695262483,66.55295220243674,66.48781630740393,outside_trust_headline,caution,,14,14,3,4,12,V=11; D=1; N=0; U=2,B=14; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Jerzy Sebastian Lubomirski,https://en.wikipedia.org/wiki/Jerzy_Sebastian_Lubomirski,early_modern,47.0,61.0,182.0,138.0,136.0,143.0,112.0,84.64148527528809,66.12363636363636,69.8653545766948,outside_trust_headline,caution,,7,7,5,10,7,V=7; D=0; N=0; U=0,B=7; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Ras Alula,https://en.wikipedia.org/wiki/Ras_Alula,long_nineteenth_century,,265.0,183.0,73.0,71.0,50.0,89.0,,66.02000000000001,75.10246797875665,outside_trust_headline,caution,,6,4,6,4,6,V=6; D=0; N=0; U=0,B=4; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
P. G. T. Beauregard,https://en.wikipedia.org/wiki/P._G._T._Beauregard,long_nineteenth_century,33.0,19.0,194.0,242.0,235.0,234.0,318.0,88.52112676056338,64.8228678537957,62.898781630740395,outside_trust_headline,caution,,18,18,3,4,14,V=10; D=0; N=4; U=4,B=18; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Karađorđe Petrović,https://en.wikipedia.org/wiki/Kara%C4%91or%C4%91e,revolutionary_napoleonic,37.0,31.0,196.0,177.0,176.0,223.0,229.0,88.14660691421254,64.71321462043112,67.02014995313965,outside_trust_headline,caution,,9,9,3,6,8,V=8; D=0; N=0; U=1,B=9; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Arthur Currie,https://en.wikipedia.org/wiki/Arthur_Currie,world_wars,64.0,33.0,221.0,190.0,195.0,175.0,249.0,79.97119078104993,62.80412371134021,65.91908778506718,outside_trust_headline,caution,,10,10,7,3,6,V=6; D=0; N=0; U=4,B=10; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
John Monash,https://en.wikipedia.org/wiki/John_Monash,world_wars,35.0,29.0,225.0,223.0,217.0,209.0,306.0,88.26184379001279,62.660731021555776,63.979693845673225,outside_trust_headline,caution,,9,9,5,4,8,V=8; D=0; N=0; U=1,B=9; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Agha Petros,https://en.wikipedia.org/wiki/Agha_Petros,world_wars,135.0,94.0,313.0,226.0,232.0,233.0,50.0,71.47887323943661,56.94444236176195,63.77100905966887,outside_trust_headline,caution,,6,6,4,12,5,V=5; D=0; N=0; U=1,B=6; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Muhammad Ali of Egypt,https://en.wikipedia.org/wiki/Muhammad_Ali_of_Egypt,revolutionary_napoleonic,,632.0,335.0,170.0,151.0,140.0,31.0,,55.93484536082473,67.37613245860669,outside_trust_headline,caution,,6,4,5,11,3,V=3; D=0; N=0; U=3,B=4; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,early_modern,,272.0,,,,,19.0,,,,outside_trust_headline,caution,,10,10,6,11,2,V=2; D=0; N=0; U=8,B=10; O=0; C=0; W=0,battle_dominant,model_sensitive,
