row_number,commander_id,name_primary,wikipedia_page,status,blocker_count,blockers
7881,cmd_0eaf997c66bc,Fang Zhenwu,https://en.wikipedia.org/wiki/Fang_Zhenwu,ok,0,
7882,cmd_93eee87cca12,Fanolahy,,ok,0,
7883,cmd_632be227f6d0,Fantino Michiel,https://en.wikipedia.org/wiki/Fantino_Michiel,ok,0,
7884,cmd_27a06a769aba,Faqir Mohammed,https://en.wikipedia.org/wiki/Faqir_Mohammed,ok,0,
7885,cmd_ec83135f43a0,Faqir of Ipi,https://en.wikipedia.org/wiki/Faqir_of_Ipi,ok,0,
7886,cmd_94757f1e9865,Farach ibn Kinanah,https://en.wikipedia.org/wiki/Farach_ibn_Kinanah,ok,0,
7887,cmd_f36ec376b429,Farah Guled,https://en.wikipedia.org/wiki/Farah_Guled,ok,0,
7888,cmd_8453641b577f,Faraj al-Bahsani,https://en.wikipedia.org/wiki/Faraj_al-Bahsani,ok,0,
7889,cmd_aac536629934,Faraj al-Mahdawi,https://en.wikipedia.org/wiki/Faraj_al-Mahdawi,ok,0,
7890,cmd_885064b0d87c,Faraj ibn Faraj,https://en.wikipedia.org/wiki/Faraj_ibn_Faraj,ok,0,
7891,cmd_5a8571278a63,Farajallah el-Helou,https://en.wikipedia.org/wiki/Farajallah_el-Helou,ok,0,
7892,cmd_75c06f398acd,Fares Bayoush,https://en.wikipedia.org/wiki/Fares_Bayoush,ok,0,
7893,cmd_f0a1705240dc,Fares Manaa,https://en.wikipedia.org/wiki/Fares_Manaa,ok,0,
7894,cmd_cac3c1fd26dc,Farhan al-Sa'di,https://en.wikipedia.org/wiki/Farhan_al-Sa%27di,ok,0,
7895,cmd_a3cbbde03d32,Farhat Horchani,https://en.wikipedia.org/wiki/Farhat_Horchani,ok,0,
7896,cmd_20294f25dfc0,Fariburz,https://en.wikipedia.org/wiki/Fariburz,ok,0,
7897,cmd_3a5b0948277c,Farinata degli Uberti,https://en.wikipedia.org/wiki/Farinata_degli_Uberti,ok,0,
7898,cmd_400c8d10b53b,Farinmail,,ok,0,
7899,cmd_69d2c5798467,Faris al-Din Aktay,https://en.wikipedia.org/wiki/Faris_al-Din_Aktay,ok,0,
7900,cmd_a5aa246184a7,Farouk of Egypt,https://en.wikipedia.org/wiki/Farouk_of_Egypt,ok,0,
7901,cmd_a4088c87b5ee,Farouk Osman Hamadallah,https://en.wikipedia.org/wiki/Farouk_Osman_Hamadallah,ok,0,
7902,cmd_e6929f70d430,Farrukh Hormizd,https://en.wikipedia.org/wiki/Farrukh_Hormizd,ok,0,
7903,cmd_eafd3bd10953,Farrukh Shah,https://en.wikipedia.org/wiki/Farrukh_Shah,ok,0,
7904,cmd_d782cd4fed87,Farrukhan (6th century),https://en.wikipedia.org/wiki/Farrukhan_%286th_century%29,ok,0,
7905,cmd_a568ab636281,Farrukhsiyar,https://en.wikipedia.org/wiki/Farrukhsiyar,ok,0,
7906,cmd_c6121b0d428e,Farrukhzad,https://en.wikipedia.org/wiki/Farrukhzad,ok,0,
7907,cmd_3a07871fcc44,Faruk Cömert,https://en.wikipedia.org/wiki/Faruk_C%C3%B6mert,ok,0,
7908,cmd_ec151870ba67,Faruk Gürler,https://en.wikipedia.org/wiki/Faruk_G%C3%BCrler,ok,0,
7909,cmd_de9b1d4823ca,Faruk Yahaya,https://en.wikipedia.org/wiki/Faruk_Yahaya,ok,0,
7910,cmd_5d93e6f6398b,Fasal al Gaood,https://en.wikipedia.org/wiki/Fasal_al_Gaood,ok,0,
7911,cmd_6c473cfee3d6,Fasih Bokhari,https://en.wikipedia.org/wiki/Fasih_Bokhari,ok,0,
7912,cmd_29d4dca6a013,Fasihuddin Fitrat,https://en.wikipedia.org/wiki/Fasihuddin_Fitrat,ok,0,
7913,cmd_802bfd140cbc,Fatagar,https://en.wikipedia.org/wiki/Fatagar,ok,0,
7914,cmd_55ed68f6ee2f,Fatah Yasser Khanidak,,ok,0,
7915,cmd_567df8c9c5d1,Fatali Khan Khoyski,https://en.wikipedia.org/wiki/Fatali_Khan_Khoyski,ok,0,
7916,cmd_b134419492f2,Fateh Bahadur Sahi,https://en.wikipedia.org/wiki/Fateh_Bahadur_Sahi,ok,0,
7917,cmd_0f16d3b8f69f,Fateh Daud Lodi,https://en.wikipedia.org/wiki/Fateh_Daud_Lodi,ok,0,
