analytic_commander_id,display_name,page_type,raw_score_contribution,weighted_score_contribution,absolute_weighted_score_contribution,weighted_presence,known_outcome_rows,engagement_rows,unknown_outcome_rows,total_absolute_weighted_score_contribution,share_of_total_score
acmd_0067bfa6f6ac,Abu Oweis,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00693323bf9c,Sardar Majid Khani,war_conflict_article,-0.46188,-0.161658,0.161658,0.35,1,1,0,0.16165800000000002,1.0
acmd_006cbd225d58,"Archibald Douglas, Earl of Moray",battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00702f65772d,Lucius Cornelius Scipio Asiaticus,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_00746302c27e,Alyattes,battle_article,0.0,0.0,0.0,1.0,1,1,0,0.0,0.0
acmd_0074fa67cd20,Louis Joseph Papineau,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_007a0bb1e0a4,"Charles Henri Hector, Count of Estaing",battle_article,-0.357771,-0.357771,1.957771,4.0,4,4,0,1.9577712,1.0
acmd_007a20dd496c,Charles Hore,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_007b2c393123,Michael Fallon,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_007c17de2bd1,Guglielmo Nasi,battle_article,0.227566,0.227566,1.827566,3.0,3,3,0,1.8275656,1.0
acmd_007c79a49c1d,William Eaton,battle_article,0.46188,0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_007c79a49c1d,William Eaton,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.46188000000000007,0.0
acmd_007dd4b3f620,Zuhayr ibn Qays,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_00803cb59d34,Al-Ashraf Sha'ban,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_0080ac5d9484,Mehmed Alagić,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_00810728cad3,Tomé de Paredes,battle_article,-0.565686,-0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00822b4ab037,Juan Manuel de Cagigal,battle_article,0.357771,0.357771,0.357771,1.0,1,1,0,0.3577712,1.0
acmd_00842d170891,Joachim Ferreira,war_conflict_article,0.357771,0.12522,0.12522,0.35,1,1,0,0.12521991999999998,1.0
acmd_00842d170891,Joachim Ferreira,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.12521991999999998,0.0
acmd_00849a4d828b,Bernardo Alvarado Monzón,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_0089dbd10820,"Francisco de Tutavilla y del Rufo, Duque de San Germán",battle_article,0.46188,0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_008a2054c881,Rutger Bucking,battle_article,-0.8,-0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_008bcf54fb0f,Führer,operation_article,-0.302371,-0.241897,0.241897,0.8,1,1,0,0.24189696000000005,1.0
acmd_008e8e0a80eb,Ahmad ibn Ibrahim al-Ghazi,battle_article,-0.8,-0.8,2.4,8.0,3,8,5,2.5616580000000004,0.936893
acmd_008e8e0a80eb,Ahmad ibn Ibrahim al-Ghazi,war_conflict_article,-0.46188,-0.161658,0.161658,1.4,1,4,3,2.5616580000000004,0.063107
acmd_008efa5c4e44,Nara Narayan,war_conflict_article,-0.46188,-0.161658,0.161658,0.35,1,1,0,0.16165800000000002,1.0
acmd_0092616d129c,Lê Văn Kim,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_00943b46b5e7,Abraham Duquesne,battle_article,0.565686,0.565686,0.565686,3.0,3,3,0,0.7273436,0.777742
acmd_00943b46b5e7,Abraham Duquesne,war_conflict_article,0.46188,0.161658,0.161658,0.7,1,2,1,0.7273436,0.222258
acmd_00943b46b5e7,Abraham Duquesne,operation_article,0.0,0.0,0.0,0.8,1,1,0,0.7273436,0.0
acmd_00943fc56277,Pedro Andrés del Alcázar,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0095a102e1a4,Nguyễn Khoa Nam,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_00966669e252,Vicente Genaro de Quesada,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00966a216691,Pier Gerlofs Donia,war_conflict_article,0.0,0.0,0.0,0.35,0,1,1,0.0,0.0
acmd_0096925e73e8,Edmund Fanning,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_0096bb176af8,Cheng Lian,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_0099cac62de6,Franz Böhme,battle_article,0.282842,0.282842,0.282842,2.0,1,2,1,0.2828424,1.0
acmd_0099cac62de6,Franz Böhme,operation_article,0.0,0.0,0.0,0.4,0,1,1,0.2828424,0.0
acmd_009c4b663403,Nikolai Vashugin,battle_article,-0.46188,-0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_009e7ab66b92,Richard Hewlett,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_009e7eb4515c,Fabrizio Giustignani,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00a1961038da,Henri de la Rochejaquelein,battle_article,2.050055,2.050055,2.973815,12.0,6,12,6,3.0623590400000005,0.971086
acmd_00a1961038da,Henri de la Rochejaquelein,war_conflict_article,-0.252982,-0.088544,0.088544,0.35,1,1,0,3.0623590400000005,0.028914
acmd_00a4b428f0cc,Graves B. Erskine,battle_article,0.326598,0.326598,0.326598,1.0,1,1,0,0.3265984,1.0
acmd_00a7bc5714d2,Juan Domingo de Monteverde,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00aa573adae7,Oliveira Álvares,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.8,1.0
acmd_00ac046e84b7,Lucius Mummius Achaicus,battle_article,0.8,0.8,0.8,1.0,1,1,0,0.9979899600000001,0.801611
acmd_00ac046e84b7,Lucius Mummius Achaicus,war_conflict_article,0.565686,0.19799,0.19799,0.35,1,1,0,0.9979899600000001,0.198389
acmd_00ae4a417c15,Niccolo dalla Torre,battle_article,-0.46188,-0.46188,0.46188,1.0,1,1,0,0.46188000000000007,1.0
acmd_00ae5034710a,Kingdom of Great Britain Richard Howe,battle_article,0.565686,0.565686,0.565686,1.0,1,1,0,0.5656856,1.0
acmd_00b061c277f5,Ahmad Tejan Kabbah,battle_article,0.0,0.0,0.0,1.0,0,1,1,0.0,0.0
acmd_00b061c277f5,Ahmad Tejan Kabbah,operation_article,0.0,0.0,0.0,0.8,0,1,1,0.0,0.0
acmd_00b5bd593d29,Ivan the Terrible,battle_article,0.357771,0.357771,0.357771,1.0,1,1,0,0.3577712,1.0
