analytic_commander_id,display_name,canonical_wikipedia_url,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,dominant_verification_status
acmd_c08deee18be6,high sea,https://en.wikipedia.org/wiki/high_sea,1,1,0,0,0,verified_core
acmd_c08e07d8a020,Jean de Villiers,https://en.wikipedia.org/wiki/Jean_de_Villiers_%28grand_master%29,1,1,0,0,0,verified_core
acmd_c08f108458a5,Calixto García,https://en.wikipedia.org/wiki/Calixto_Garc%C3%ADa,2,2,0,0,0,verified_core
acmd_c08f9d164c40,Abu Yahya Muhammad ibn Ali ibn Abi Imran al-Tinmalali,https://en.wikipedia.org/wiki/Abu_Yahya_Muhammad_ibn_Ali_ibn_Abi_Imran_al-Tinmalali,1,1,0,0,0,verified_core
acmd_c09060721187,David Murray-Lyon,https://en.wikipedia.org/wiki/David_Murray-Lyon,3,2,0,1,0,structurally_suspect
acmd_c0906614ae0a,"Luis de Benavides Carrillo, Marquis of Caracena",https://en.wikipedia.org/wiki/Luis_de_Benavides_Carrillo%2C_Marquis_of_Caracena,4,2,0,2,0,structurally_suspect
acmd_c09083ac7ddc,Rolando Joselito Bautista,https://en.wikipedia.org/wiki/Rolando_Joselito_Bautista,1,1,0,0,0,verified_core
acmd_c0927a66ca57,Aulax,https://en.wikipedia.org/wiki/Aulax_%28Kallas_Towers_commander%29,1,1,0,0,0,verified_core
acmd_c093b6a66ce4,Gaius Julius Aquila,https://en.wikipedia.org/wiki/Gaius_Julius_Aquila,1,1,0,0,0,verified_core
acmd_c093f6a6d6b6,Muzaffar al-Din Uzbek,https://en.wikipedia.org/wiki/Muzaffar_al-Din_Uzbek,3,1,1,1,0,structurally_suspect
acmd_c094a7195ef4,Bouzes,https://en.wikipedia.org/wiki/Bouzes,6,5,1,0,0,verified_broad
acmd_c095b1fd1b52,Tamerlan Aguzarov,https://en.wikipedia.org/wiki/Tamerlan_Aguzarov,1,1,0,0,0,verified_core
acmd_c098275b0f6c,Md Ismail Hossain,https://en.wikipedia.org/wiki/Md_Ismail_Hossain,2,2,0,0,0,verified_core
acmd_c09a43766378,Robert S. Granger,https://en.wikipedia.org/wiki/Robert_S._Granger,1,1,0,0,0,verified_core
acmd_c09a5670c344,Józef Haller,https://en.wikipedia.org/wiki/J%C3%B3zef_Haller,6,6,0,0,0,verified_core
acmd_c09ade051340,Adam Jerzy Czartoryski,https://en.wikipedia.org/wiki/Adam_Jerzy_Czartoryski,1,1,0,0,0,verified_core
acmd_c09b922a2ef1,François Rochebrune,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Rochebrune,1,1,0,0,0,verified_core
acmd_c09e47891e46,Gregory Taronites,https://en.wikipedia.org/wiki/Gregory_Taronites,3,1,0,2,0,structurally_suspect
acmd_c09e925ee3b0,Albert Schreiner,https://en.wikipedia.org/wiki/Albert_Schreiner,1,1,0,0,0,verified_core
acmd_c09ec658efdb,William Tecumseh Sherman,https://en.wikipedia.org/wiki/William_Tecumseh_Sherman,22,16,2,4,0,structurally_suspect
acmd_c0a1193287e8,Jerónimo de Azevedo,https://en.wikipedia.org/wiki/Jer%C3%B3nimo_de_Azevedo,2,2,0,0,0,verified_core
acmd_c0a287f9fb17,Antoine of Burgundy,https://en.wikipedia.org/wiki/Antoine_of_Burgundy_%281554%29,1,1,0,0,0,verified_core
acmd_c0a3ee312ef9,Roderic,https://en.wikipedia.org/wiki/Roderic,1,1,0,0,0,verified_core
acmd_c0a5e4a54aed,Fu,,1,1,0,0,0,verified_core
acmd_c0a65d236ebb,Theodore Karteroukas,,1,1,0,0,0,verified_core
acmd_c0a80bbe2a4a,Gerald C. Thomas,https://en.wikipedia.org/wiki/Gerald_C._Thomas,2,2,0,0,0,verified_core
acmd_c0ac3479fc33,William Josephus Stafford,https://en.wikipedia.org/wiki/William_Josephus_Stafford,1,1,0,0,0,verified_core
acmd_c0ad655972da,Michael P. Murphy,https://en.wikipedia.org/wiki/Michael_P._Murphy,1,1,0,0,0,verified_core
acmd_c0adb29537c2,Yi Ŏnsŏng,https://en.wikipedia.org/wiki/Yi_%C5%8Ens%C5%8Fng,1,1,0,0,0,verified_core
acmd_c0af66243bf4,Henry W. Halleck,https://en.wikipedia.org/wiki/Henry_Halleck,2,2,0,0,0,verified_core
acmd_c0b13e253643,Terentius,https://en.wikipedia.org/wiki/Terentius_%28dux%29,1,0,1,0,0,verified_broad
acmd_c0b1ca8de82b,"Henry Casimir II, Prince of Nassau-Dietz",https://en.wikipedia.org/wiki/Henry_Casimir_II%2C_Prince_of_Nassau-Dietz,4,4,0,0,0,verified_core
acmd_c0b3033d4546,Peder Skram,https://en.wikipedia.org/wiki/Peder_Skram,4,4,0,0,0,verified_core
acmd_c0b3325478a4,Tiberius Claudius Pompeianus,https://en.wikipedia.org/wiki/Tiberius_Claudius_Pompeianus,1,0,1,0,0,verified_broad
