display_name,canonical_wikipedia_url,battle_id,battle_name,page_type,side,page_result_raw,current_outcome_category,unresolved_reason
Babur,https://en.wikipedia.org/wiki/Babur,battle_37671759,Battle of Ab Darrah Pass,battle_article,side_b,Timurid victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Babur,https://en.wikipedia.org/wiki/Babur,battle_19634330,Battle of Ghazdewan,battle_article,side_a,Uzbek victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Selim I,https://en.wikipedia.org/wiki/Selim_I,battle_72013662,Battle of Yenişehir (1513),battle_article,side_a,Victory for Selim I Execution of Şehzade Ahmed End of the fight for the throne between Selim and Ahmed,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Hayreddin Barbarossa,https://en.wikipedia.org/wiki/Hayreddin_Barbarossa,battle_29214636,Capture of Algiers (1516),battle_article,side_a,Algerian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Babur,https://en.wikipedia.org/wiki/Babur,battle_68649275,Battle of Hisar Firoza,battle_article,side_a,Mughal victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Dragut,https://en.wikipedia.org/wiki/Dragut,battle_46633493,Battle of Girolata,battle_article,side_b,Christian victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Bairam Khan,https://en.wikipedia.org/wiki/Bairam_Khan,battle_68575755,Battle of Kannauj,battle_article,side_b,Sur victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Hayreddin Barbarossa,https://en.wikipedia.org/wiki/Hayreddin_Barbarossa,battle_13945626,Siege of Nice,battle_article,side_b,Imperial-Savoyard victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,battle_3305420,Siege of Fukashi,battle_article,side_a,Takeda victory. Ogasawara Nagatoki forced to abandon his lands.,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,battle_366902,Siege of Terabe,battle_article,side_a,Oda victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Dragut,https://en.wikipedia.org/wiki/Dragut,battle_4622529,Battle of Djerba,battle_article,side_b,Victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Takeda Shingen,,battle_8253516,Siege of Musashi-Matsuyama (1563),battle_article,side_b,Siege successful; castle falls to the Hōjō and Takeda,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,battle_35314820,Siege of Inabayama Castle,battle_article,side_a,Oda victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Takeda Shingen,,battle_3328781,Siege of Hachigata (1568),battle_article,side_b,Hōjō victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,battle_4411137,Siege of Kanegasaki (1570),battle_article,side_a,Nobunaga withdraws his forces Successful retreat by Nobunaga,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,battle_4411137,Siege of Kanegasaki (1570),battle_article,side_a,Nobunaga withdraws his forces Successful retreat by Nobunaga,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,battle_6967988,Battle of Tonegawa,battle_article,side_b,disengagement,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Takeda Shingen,,battle_356177,Siege of Noda Castle,battle_article,side_a,"Siege succeeds, but Takeda Shingen wounded, possibly fatally",unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Shimazu Yoshihiro,https://en.wikipedia.org/wiki/Shimazu_Yoshihiro,battle_9195380,Battle of Mimigawa,battle_article,side_a,Shimazu clan victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,battle_355585,Siege of Miki,battle_article,side_a,Toyotomi victory,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,battle_873080,Battle of Yamazaki,battle_article,side_b,Oda clan victory Hideyoshi begins his consolidation of power,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,battle_873080,Battle of Yamazaki,battle_article,side_b,Oda clan victory Hideyoshi begins his consolidation of power,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,battle_366852,Siege of Takamatsu,battle_article,side_a,Peace negotiation Oda's forces withdraw due to the Honnō-ji Incident,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,battle_366852,Siege of Takamatsu,battle_article,side_a,Peace negotiation Oda's forces withdraw due to the Honnō-ji Incident,unknown,retained_page_result_present_but_not_deterministic_under_conservative_rules
