rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
18,82.36082474226804,very_strong,acmd_d53c51d2e48c,Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,11,8,0,0,3,9,0.8181818181818182,0.35707971845515185,86.12933458294283,,76.7572633552015,95.31396438612933,76.14807872539832,75.72633552014996,44.89222118088097,37,0.11602209944751378,battle_dominant,
19,81.97594501718213,very_strong,acmd_ac43c188bcf2,Baybars,https://en.wikipedia.org/wiki/Baybars,medieval,10,9,0,0,1,9,0.9,0.4451534626631547,96.25117150890347,,60.09059668853484,86.78537956888472,77.4601686972821,47.46954076850984,75.82005623242736,27,0.0374331550802139,battle_dominant,
20,81.8675413933146,very_strong,acmd_6098828ef6a4,Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,9,4,3,0,2,7,0.7777777777777778,0.46666666666666673,97.04779756326148,,90.37800687285225,39.22211808809747,61.9493908153702,91.98687910028116,63.07403936269915,6,0.4366197183098592,mixed_profile,
21,81.81333958138083,very_strong,acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,41,40,0,0,1,39,0.9512195121951219,0.6584657882901493,100.0,,69.22836613558263,58.80974695407685,99.62511715089035,18.181818181818183,77.31958762886599,13,0.0,battle_dominant,
22,81.58091221493282,very_strong,acmd_52501a875538,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,18,17,0,0,1,11,0.6111111111111112,0.4042621973395137,92.59606373008434,,60.09059668853484,99.10965323336457,94.3767572633552,47.46954076850984,18.556701030927837,673,0.020172910662824204,battle_dominant,
23,81.42236800999687,very_strong,acmd_59f41bf60d8d,Ōyama Iwao,https://en.wikipedia.org/wiki/%C5%8Cyama_Iwao,long_nineteenth_century,10,8,0,0,2,9,0.9,0.4291508465694312,93.81443298969072,,54.99843798812871,95.31396438612933,72.82099343955014,64.1518275538894,69.44704779756327,37,0.08045977011494253,battle_dominant,
24,81.41487035301468,very_strong,acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,43,40,0,0,3,37,0.8604651162790697,0.3957052658381844,89.31583880037488,,69.33770696657295,68.79100281162137,99.81255857544518,75.72633552014996,62.79287722586692,17,0.025578562728380022,battle_dominant,
25,81.20306154326772,very_strong,acmd_31e8258ee555,Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,22,20,2,0,0,17,0.7727272727272727,0.35551532983513773,83.22399250234301,,84.70790378006873,68.79100281162137,97.37582005623243,83.0834114339269,44.236176194939084,17,0.07407407407407407,battle_dominant,
26,81.17681974383005,very_strong,acmd_a33c5f70ac13,Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,9,5,3,0,1,7,0.7777777777777778,0.46666666666666673,97.04779756326148,,92.1587004061231,34.817244611059046,66.1668228678538,90.95595126522961,44.42361761949391,5,0.3548387096774194,mixed_profile,
27,81.17541393314589,very_strong,acmd_73ed44aa1867,Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,19,9,10,0,0,12,0.631578947368421,0.4764743149418673,97.8444236176195,,69.00968447360201,48.219306466729144,94.00187441424555,99.53139643861293,18.46298031865042,9,0.47058823529411764,operation_heavy,
