model_name,slice_name,rank,display_name,primary_era_bucket,score_normalized
baseline_conservative,top_50,44,Douglas MacArthur,world_wars,85.49615877080666
baseline_conservative,top_50,45,Suleiman the Magnificent,early_modern,85.21766965428938
baseline_conservative,top_50,46,Ivan Paskevich,long_nineteenth_century,84.71830985915493
baseline_conservative,top_50,47,Jerzy Sebastian Lubomirski,early_modern,84.71830985915493
baseline_conservative,top_50,48,Maeda Toshiie,early_modern,84.70550576184378
baseline_conservative,top_50,49,Alauddin Khalji,medieval,84.52624839948784
baseline_conservative,top_50,50,Lennart Torstensson,early_modern,83.72599231754161
baseline_conservative,top_100,1,Khalid ibn al-Walid,medieval,99.55505761843789
baseline_conservative,top_100,2,Jean Lannes,revolutionary_napoleonic,99.36619718309859
baseline_conservative,top_100,3,Napoleon Bonaparte,revolutionary_napoleonic,98.1370038412292
baseline_conservative,top_100,4,Alexander Suvorov,revolutionary_napoleonic,97.9449423815621
baseline_conservative,top_100,5,"Alexander Farnese, Duke of Parma",early_modern,97.33034571062741
baseline_conservative,top_100,6,Takeda Shingen,early_modern,97.30153649167733
baseline_conservative,top_100,7,"Maurice, Prince of Orange",early_modern,95.95070422535211
baseline_conservative,top_100,8,Louis-Gabriel Suchet,revolutionary_napoleonic,95.94750320102433
baseline_conservative,top_100,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,95.77784891165173
baseline_conservative,top_100,10,Abu Ubayda ibn al-Jarrah,medieval,95.59859154929578
baseline_conservative,top_100,11,Francis Vere,early_modern,94.06209987195902
baseline_conservative,top_100,12,Nathan Bedford Forrest,long_nineteenth_century,93.67797695262483
baseline_conservative,top_100,13,Amr ibn al-As,medieval,93.30345710627401
baseline_conservative,top_100,14,Subutai,medieval,92.70486555697823
baseline_conservative,top_100,15,Charles XIV John,revolutionary_napoleonic,92.48719590268887
baseline_conservative,top_100,16,Stanisław Żółkiewski,early_modern,92.25352112676057
baseline_conservative,top_100,17,Robert L. Eichelberger,world_wars,92.10307298335466
baseline_conservative,top_100,18,Walter Krueger,world_wars,92.10307298335466
baseline_conservative,top_100,19,Mahmud Pasha Angelović,medieval,92.02304737516005
baseline_conservative,top_100,20,Maurice de Saxe,early_modern,91.98783610755441
baseline_conservative,top_100,21,Louis-Nicolas Davout,revolutionary_napoleonic,91.66453265044814
baseline_conservative,top_100,22,André Masséna,revolutionary_napoleonic,90.81626120358516
baseline_conservative,top_100,23,Jean Victor Marie Moreau,revolutionary_napoleonic,90.37772087067862
baseline_conservative,top_100,24,Baybars,medieval,90.29769526248398
baseline_conservative,top_100,25,Ubadah ibn al-Samit,medieval,90.22087067861715
baseline_conservative,top_100,26,Jan Karol Chodkiewicz,early_modern,89.76952624839949
baseline_conservative,top_100,27,"Henri de La Tour d'Auvergne, Viscount of Turenne",early_modern,89.61587708066581
baseline_conservative,top_100,28,Charles XII of Sweden,early_modern,89.1293213828425
baseline_conservative,top_100,29,Matvei Platov,revolutionary_napoleonic,88.93085787451984
baseline_conservative,top_100,30,Ferdinand Foch,world_wars,88.84763124199745
baseline_conservative,top_100,31,Louis XIV,early_modern,88.70038412291933
baseline_conservative,top_100,32,Belisarius,medieval,88.62996158770807
baseline_conservative,top_100,33,Katō Kiyomasa,early_modern,88.55633802816901
baseline_conservative,top_100,34,P. G. T. Beauregard,long_nineteenth_century,88.52112676056338
baseline_conservative,top_100,35,Mehmed II,medieval,88.41869398207427
baseline_conservative,top_100,36,John Monash,world_wars,88.10819462227913
baseline_conservative,top_100,37,Karađorđe Petrović,revolutionary_napoleonic,88.10819462227913
baseline_conservative,top_100,38,Hannibal,ancient,87.80409731113956
baseline_conservative,top_100,39,Charles Mangin,world_wars,87.77848911651728
baseline_conservative,top_100,40,Saladin,medieval,86.87259923175417
baseline_conservative,top_100,41,Konishi Yukinaga,early_modern,86.11715749039693
baseline_conservative,top_100,42,Heinz Guderian,world_wars,85.88668373879642
baseline_conservative,top_100,43,Prince Friedrich Karl of Prussia,long_nineteenth_century,85.70422535211267
baseline_conservative,top_100,44,Douglas MacArthur,world_wars,85.49615877080666
baseline_conservative,top_100,45,Suleiman the Magnificent,early_modern,85.21766965428938
baseline_conservative,top_100,46,Ivan Paskevich,long_nineteenth_century,84.71830985915493
baseline_conservative,top_100,47,Jerzy Sebastian Lubomirski,early_modern,84.71830985915493
baseline_conservative,top_100,48,Maeda Toshiie,early_modern,84.70550576184378
baseline_conservative,top_100,49,Alauddin Khalji,medieval,84.52624839948784
baseline_conservative,top_100,50,Lennart Torstensson,early_modern,83.72599231754161
baseline_conservative,top_100,51,Hari Singh Nalwa,long_nineteenth_century,83.62996158770807
baseline_conservative,top_100,52,"François-Henri de Montmorency, duc de Luxembourg",early_modern,83.53393085787451
baseline_conservative,top_100,53,Charles X Gustav,early_modern,83.10179257362356
baseline_conservative,top_100,54,Cardinal-Infante Ferdinand of Austria,early_modern,82.8809218950064
baseline_conservative,top_100,55,Philip the Good,medieval,82.86171574903969
baseline_conservative,top_100,56,Hubert Gough,world_wars,82.61843790012803
baseline_conservative,top_100,57,Julian,ancient,82.51600512163893
baseline_conservative,top_100,58,Fedor von Bock,world_wars,82.28553137003841
baseline_conservative,top_100,59,Peter Wittgenstein,revolutionary_napoleonic,82.06145966709346
baseline_conservative,top_100,60,Erich Hoepner,world_wars,81.43405889884762
baseline_conservative,top_100,61,Alexander the Great,ancient,81.25160051216389
baseline_conservative,top_100,62,John III Sobieski,early_modern,80.55697823303457
baseline_conservative,top_100,63,Frederick the Great,early_modern,80.37131882202306
baseline_conservative,top_100,64,Charles-Pierre Augereau,revolutionary_napoleonic,79.98079385403328
baseline_conservative,top_100,65,Arthur Currie,world_wars,79.89436619718309
baseline_conservative,top_100,66,Ahmad Shah Durrani,early_modern,79.38860435339308
baseline_conservative,top_100,67,Paul von Lettow-Vorbeck,world_wars,79.16773367477595
baseline_conservative,top_100,68,Émile Fayolle,world_wars,79.03008962868118
baseline_conservative,top_100,69,Alasdair Mac Colla,early_modern,78.94366197183099
baseline_conservative,top_100,70,Robert Clive,early_modern,78.94366197183099
baseline_conservative,top_100,71,Allen H. Turnage,world_wars,78.8156209987196
baseline_conservative,top_100,72,Qutb ud-Din Aibak,medieval,78.65877080665814
baseline_conservative,top_100,73,Kuroda Yoshitaka,early_modern,78.4731113956466
baseline_conservative,top_100,74,Antonio Duvergé,long_nineteenth_century,78.43149807938539
baseline_conservative,top_100,75,Juan Yagüe,world_wars,78.43149807938539
baseline_conservative,top_100,76,Shurahbil ibn Hasana,medieval,78.43149807938539
baseline_conservative,top_100,77,Smedley Butler,long_nineteenth_century,78.43149807938539
baseline_conservative,top_100,78,Al-Qa'qa' ibn Amr al-Tamimi,medieval,78.27464788732395
baseline_conservative,top_100,79,Tokugawa Ieyasu,early_modern,78.20422535211269
baseline_conservative,top_100,80,Jeremi Wiśniowiecki,early_modern,78.15941101152367
baseline_conservative,top_100,81,"Frederick Henry, Prince of Orange",early_modern,78.02176696542892
baseline_conservative,top_100,82,Harry Chauvel,world_wars,77.98655569782329
baseline_conservative,top_100,83,Basil II,medieval,77.86811779769526
baseline_conservative,top_100,84,Stonewall Jackson,long_nineteenth_century,77.7336747759283
baseline_conservative,top_100,85,Oliver Cromwell,early_modern,77.58642765685018
baseline_conservative,top_100,86,Aurangzeb,early_modern,77.56081946222791
baseline_conservative,top_100,87,Ōyama Iwao,long_nineteenth_century,77.46478873239437
baseline_conservative,top_100,88,"Louis Joseph, Duke of Vendôme",early_modern,77.12227912932138
baseline_conservative,top_100,89,Nader Shah,early_modern,77.09346991037131
baseline_conservative,top_100,90,Joseph Souham,revolutionary_napoleonic,77.08066581306018
baseline_conservative,top_100,91,Genghis Khan,medieval,76.85339308578745
baseline_conservative,top_100,92,Tolui,medieval,76.76696542893725
baseline_conservative,top_100,93,Richmond K. Turner,world_wars,76.56209987195902
baseline_conservative,top_100,94,Mustafa Kemal Atatürk,world_wars,76.52048655569783
baseline_conservative,top_100,95,Stanisław Koniecpolski,early_modern,76.51408450704226
baseline_conservative,top_100,96,Sidney Smith,revolutionary_napoleonic,76.28681177976954
baseline_conservative,top_100,97,Mikhail Kutuzov,revolutionary_napoleonic,76.28361075544174
baseline_conservative,top_100,98,Friedrich Wilhelm Freiherr von Bülow,revolutionary_napoleonic,76.23559539052498
baseline_conservative,top_100,99,Guru Gobind Singh,early_modern,76.1235595390525
baseline_conservative,top_100,100,Joan of Arc,medieval,76.00512163892446
battle_only_baseline,top_25,1,Khalid ibn al-Walid,medieval,99.97383842611971
battle_only_baseline,top_25,2,Jean Lannes,revolutionary_napoleonic,99.8430305567183
battle_only_baseline,top_25,3,Napoleon Bonaparte,revolutionary_napoleonic,99.65466722478024
battle_only_baseline,top_25,4,Takeda Shingen,early_modern,99.60757639179573
battle_only_baseline,top_25,5,Alexander Suvorov,revolutionary_napoleonic,99.60234407701968
battle_only_baseline,top_25,6,"Alexander Farnese, Duke of Parma",early_modern,99.35119296776894
battle_only_baseline,top_25,7,Saladin,medieval,99.32503139388866
battle_only_baseline,top_25,8,Louis-Nicolas Davout,revolutionary_napoleonic,99.21515278359146
battle_only_baseline,top_25,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,98.88028463792382
battle_only_baseline,top_25,10,Louis-Gabriel Suchet,revolutionary_napoleonic,98.78610297195479
battle_only_baseline,top_25,11,Amr ibn al-As,medieval,98.63436584344916
battle_only_baseline,top_25,12,Nathan Bedford Forrest,long_nineteenth_century,98.61866889912096
battle_only_baseline,top_25,13,Charles XIV John,revolutionary_napoleonic,98.59250732524069
battle_only_baseline,top_25,14,"Maurice, Prince of Orange",early_modern,98.51925491837588
battle_only_baseline,top_25,15,Abu Ubayda ibn al-Jarrah,medieval,98.50879028882377
battle_only_baseline,top_25,16,Hannibal,ancient,98.30473001255754
battle_only_baseline,top_25,17,Katō Kiyomasa,early_modern,98.15822519882796
battle_only_baseline,top_25,18,Francis Vere,early_modern,98.04834658853076
battle_only_baseline,top_25,19,P. G. T. Beauregard,long_nineteenth_century,97.9227710339054
battle_only_baseline,top_25,20,Stanisław Żółkiewski,early_modern,97.71871075763919
battle_only_baseline,top_25,21,Mahmud Pasha Angelović,medieval,97.62452909167015
battle_only_baseline,top_25,22,Lennart Torstensson,early_modern,97.59836751778988
battle_only_baseline,top_25,23,Fedor von Bock,world_wars,97.56174131435746
battle_only_baseline,top_25,24,"François-Henri de Montmorency, duc de Luxembourg",early_modern,97.519882796149
battle_only_baseline,top_25,25,Robert L. Eichelberger,world_wars,97.4361657597321
battle_only_baseline,top_50,1,Khalid ibn al-Walid,medieval,99.97383842611971
battle_only_baseline,top_50,2,Jean Lannes,revolutionary_napoleonic,99.8430305567183
battle_only_baseline,top_50,3,Napoleon Bonaparte,revolutionary_napoleonic,99.65466722478024
battle_only_baseline,top_50,4,Takeda Shingen,early_modern,99.60757639179573
battle_only_baseline,top_50,5,Alexander Suvorov,revolutionary_napoleonic,99.60234407701968
battle_only_baseline,top_50,6,"Alexander Farnese, Duke of Parma",early_modern,99.35119296776894
battle_only_baseline,top_50,7,Saladin,medieval,99.32503139388866
battle_only_baseline,top_50,8,Louis-Nicolas Davout,revolutionary_napoleonic,99.21515278359146
battle_only_baseline,top_50,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,98.88028463792382
battle_only_baseline,top_50,10,Louis-Gabriel Suchet,revolutionary_napoleonic,98.78610297195479
battle_only_baseline,top_50,11,Amr ibn al-As,medieval,98.63436584344916
battle_only_baseline,top_50,12,Nathan Bedford Forrest,long_nineteenth_century,98.61866889912096
battle_only_baseline,top_50,13,Charles XIV John,revolutionary_napoleonic,98.59250732524069
battle_only_baseline,top_50,14,"Maurice, Prince of Orange",early_modern,98.51925491837588
battle_only_baseline,top_50,15,Abu Ubayda ibn al-Jarrah,medieval,98.50879028882377
battle_only_baseline,top_50,16,Hannibal,ancient,98.30473001255754
battle_only_baseline,top_50,17,Katō Kiyomasa,early_modern,98.15822519882796
battle_only_baseline,top_50,18,Francis Vere,early_modern,98.04834658853076
battle_only_baseline,top_50,19,P. G. T. Beauregard,long_nineteenth_century,97.9227710339054
battle_only_baseline,top_50,20,Stanisław Żółkiewski,early_modern,97.71871075763919
battle_only_baseline,top_50,21,Mahmud Pasha Angelović,medieval,97.62452909167015
battle_only_baseline,top_50,22,Lennart Torstensson,early_modern,97.59836751778988
battle_only_baseline,top_50,23,Fedor von Bock,world_wars,97.56174131435746
battle_only_baseline,top_50,24,"François-Henri de Montmorency, duc de Luxembourg",early_modern,97.519882796149
battle_only_baseline,top_50,25,Robert L. Eichelberger,world_wars,97.4361657597321
battle_only_baseline,top_50,26,Walter Krueger,world_wars,97.4361657597321
battle_only_baseline,top_50,27,Maurice de Saxe,early_modern,97.3890749267476
battle_only_baseline,top_50,28,Subutai,medieval,97.2791963164504
battle_only_baseline,top_50,29,Jan Karol Chodkiewicz,early_modern,97.19024696525742
battle_only_baseline,top_50,30,John Monash,world_wars,97.16931770615321
battle_only_baseline,top_50,31,Karađorđe Petrović,revolutionary_napoleonic,97.16931770615321
battle_only_baseline,top_50,32,Oliver Cromwell,early_modern,97.0228128924236
battle_only_baseline,top_50,33,Arthur Currie,world_wars,97.01758057764755
