rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
646,27.944942381562097,qualified,acmd_48b11d7a06fa,Peter Graf von der Pahlen,https://en.wikipedia.org/wiki/Peter_Graf_von_der_Pahlen,revolutionary_napoleonic,5,5,1.0,-0.08991020001399545,24.07170294494238,14.596670934699105,65.68501920614597,5,19,battle_dominant,
647,27.47439180537772,qualified,acmd_5f4bc03b1ef9,Semyon Budyonny,https://en.wikipedia.org/wiki/Semyon_Budyonny,world_wars,9,5,0.5555555555555556,-0.2056022994278964,12.03585147247119,72.79129321382842,13.700384122919335,7,22,battle_dominant,
648,27.4583866837388,qualified,acmd_4a47a1c21288,Ferdinand von Wintzingerode,https://en.wikipedia.org/wiki/Ferdinand_von_Wintzingerode,revolutionary_napoleonic,6,5,0.8333333333333334,-0.1207408879252723,18.950064020486558,38.348271446862995,43.34186939820743,4,1,battle_dominant,
649,27.445582586427655,qualified,acmd_6d7007174b08,Daulat Rao Sindhia,https://en.wikipedia.org/wiki/Daulat_Rao_Sindhia,revolutionary_napoleonic,7,7,1.0,-0.35906854565318963,1.792573623559539,53.77720870678617,86.17157490396927,3,8,battle_dominant,
650,27.35595390524968,qualified,acmd_79ccf7b3847c,Kuki Yoshitaka,https://en.wikipedia.org/wiki/Kuki_Yoshitaka,early_modern,8,6,0.75,-0.23186431775411062,9.218950064020486,64.40460947503202,38.15620998719591,3,21,battle_dominant,
651,27.311139564660692,qualified,acmd_c4aa456d9b10,Alexander Zakharchenko,https://en.wikipedia.org/wiki/Alexander_Zakharchenko,contemporary,5,3,0.6,0.026702720807849127,37.259923175416134,14.596670934699105,8.706786171574905,4,1,battle_dominant,
652,27.269526248399487,qualified,acmd_68389ddc0f8a,Baldwin I of Jerusalem,https://en.wikipedia.org/wiki/Baldwin_I_of_Jerusalem,medieval,11,3,0.2727272727272727,-0.21753537266204126,10.88348271446863,82.84250960307298,0.19206145966709345,3,16,battle_dominant,
653,27.157490396927013,qualified,acmd_7facdbb28266,Sassa Narimasa,https://en.wikipedia.org/wiki/Sassa_Narimasa,early_modern,7,5,0.7142857142857143,-0.14554003870040785,17.157490396927017,53.77720870678617,22.791293213828425,4,14,battle_dominant,
654,27.151088348271447,qualified,acmd_5b81d54dfec3,Hitoshi Imamura,https://en.wikipedia.org/wiki/Hitoshi_Imamura,world_wars,6,6,1.0,-0.22693123861046657,9.73111395646607,38.348271446862995,78.16901408450704,3,2,battle_dominant,
655,27.000640204865554,qualified,acmd_bb06e7c534e2,Demetrius I Poliorcetes,https://en.wikipedia.org/wiki/Demetrius_I_Poliorcetes,ancient,10,5,0.5,-0.22079644081383898,10.627400768245838,79.00128040973111,5.8258642765685025,5,30,battle_dominant,
656,26.946222791293213,qualified,acmd_2846ae878988,Semyon Timoshenko,https://en.wikipedia.org/wiki/Semyon_Timoshenko,world_wars,9,3,0.3333333333333333,-0.17604810214668964,14.468629961587709,72.79129321382842,0.44814340588988477,6,3,battle_dominant,
657,26.84699103713188,qualified,acmd_11c5afa00705,Hyder Ali,https://en.wikipedia.org/wiki/Hyder_Ali,early_modern,10,6,0.6,-0.2727272727272727,6.786171574903969,79.00128040973111,20.166453265044815,6,24,battle_dominant,
658,26.76696542893726,qualified,acmd_39351d4e70d6,Ferenc Ottinger,https://en.wikipedia.org/wiki/Ferenc_Ottinger,long_nineteenth_century,6,6,1.0,-0.23527250679374054,9.090909090909092,38.348271446862995,78.16901408450704,1,1,battle_dominant,
659,26.754161331626122,qualified,acmd_68a14c23e5a9,"Sigismund, Holy Roman Emperor",https://en.wikipedia.org/wiki/Sigismund%2C_Holy_Roman_Emperor,medieval,7,7,1.0,-0.43749999999999994,0.6402048655569782,53.77720870678617,86.17157490396927,5,34,battle_dominant,
660,26.696542893725994,qualified,acmd_ca4592515ddd,Hugh Roe O'Donnell,https://en.wikipedia.org/wiki/Hugh_Roe_O%27Donnell,early_modern,5,4,0.8,-0.025803115891775898,30.85787451984635,14.596670934699105,30.217669654289374,2,7,battle_dominant,
661,26.63892445582586,qualified,acmd_c094a7195ef4,Bouzes,https://en.wikipedia.org/wiki/Bouzes,medieval,5,5,1.0,-0.10284911186253065,21.895006402048654,14.596670934699105,65.68501920614597,4,27,battle_dominant,
662,26.613316261203586,qualified,acmd_a482ddc441aa,Masatane Kanda,https://en.wikipedia.org/wiki/Masatane_Kanda,world_wars,6,5,0.8333333333333334,-0.14142770756050452,17.541613316261202,38.348271446862995,43.34186939820743,2,2,battle_dominant,
663,26.542893725992318,qualified,acmd_152c9103a7dc,Aleksander Koniecpolski,https://en.wikipedia.org/wiki/Aleksander_Koniecpolski_(1620-1659),early_modern,5,4,0.8,-0.02923002034741478,30.60179257362356,14.596670934699105,30.217669654289374,2,7,battle_dominant,
