rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
18,85.07348029392116,very_strong,acmd_8859ec6c1865,Babur,https://en.wikipedia.org/wiki/Babur,early_modern,16,11,0,2,3,8,0.5,0.36740698574329683,85.97194388777555,90.18036072144288,87.33021598753062,94.0881763527054,90.64796259185037,77.65531062124249,14.896459585838343,35,0.16349809885931557,mixed_profile,
19,84.95858383433534,very_strong,acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,46,40,0,2,4,38,0.8260869565217391,0.3987133007545542,88.77755511022045,99.73279893119572,72.62302382542863,71.81028724114896,99.86639946559787,73.81429525718103,62.32464929859719,17,0.04648390941597139,battle_dominant,
20,84.83633934535737,very_strong,acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,22,19,0,1,2,20,0.9090909090909091,0.42962004877708165,93.72077488309954,96.86038744154976,66.27699844132711,75.75150300601202,97.1943887775551,58.416833667334664,79.15831663326654,19,0.06172839506172839,battle_dominant,
21,84.69672678690716,very_strong,acmd_a33c5f70ac13,Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,12,5,3,3,1,10,0.8333333333333334,0.5333333333333333,99.09819639278558,87.04074816299266,92.00623469160543,38.94455577822311,81.39612558450234,93.52037408149633,58.31663326653307,5,0.46808510638297873,mixed_profile,
22,84.4315297261189,very_strong,acmd_6098828ef6a4,Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,long_nineteenth_century,12,4,3,2,3,9,0.75,0.5142857142857142,98.69739478957916,84.90313961255845,92.00623469160543,43.11957247828991,76.38610554442218,94.15497661990648,63.56045424181696,6,0.5321637426900584,mixed_profile,higher_level_dependent
23,84.20173680694721,very_strong,acmd_8ff67c26331f,Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,revolutionary_napoleonic,25,22,0,1,2,22,0.88,0.3846009294543728,87.70875083500333,98.59719438877755,71.73235359608105,75.75150300601202,98.12959251837007,58.416833667334664,76.68670674682699,19,0.053763440860215055,battle_dominant,
24,83.93854375417503,very_strong,acmd_9b46a317ac31,Ahmad Shah Durrani,https://en.wikipedia.org/wiki/Ahmad_Shah_Durrani,early_modern,17,9,0,4,4,11,0.6470588235294118,0.3618892064655617,85.50434201736807,94.25517702070808,71.73235359608105,85.47094188376754,89.7127588510354,90.48096192384769,51.068804275217104,25,0.28571428571428575,mixed_profile,
25,83.84235136940548,very_strong,acmd_cf14a194e3dc,Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,13,11,0,1,1,11,0.8461538461538461,0.462284499961445,96.19238476953907,92.78557114228457,70.91961701180138,78.02271209084837,88.34335337341349,45.65798263193053,66.43286573146293,20,0.07563025210084033,battle_dominant,
26,83.73947895791584,very_strong,acmd_f47199d981fc,Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,early_modern,15,11,0,0,4,11,0.7333333333333333,0.47951238242521216,97.72879091516367,92.98597194388778,57.559563571587624,86.67334669338678,89.37875751503006,62.725450901803605,56.64662658650634,26,0.1129032258064516,battle_dominant,
27,83.54442217768869,very_strong,acmd_d7b7bb3c084e,Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,16,12,0,1,3,15,0.9375,0.27744528312222394,71.20908483633934,93.85437541750167,85.79380984190603,99.03139612558451,91.61656646626587,67.90247160988643,82.53173012692051,603,0.11764705882352942,battle_dominant,
28,83.47160988643952,very_strong,acmd_edb3bda06f61,Emperor Taizong of Tang,https://en.wikipedia.org/wiki/Emperor_Taizong_of_Tang,medieval,11,4,0,5,2,9,0.8181818181818182,0.41123746418456303,92.45156980627922,87.70875083500333,68.01380538855489,88.84435537742151,69.10487641950567,89.74615898463594,72.5116900467602,28,0.46308724832214765,war_campaign_heavy,
29,83.35537742150969,very_strong,acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,16,13,0,0,3,13,0.8125,0.5673413815848506,99.73279893119572,92.38476953907816,50.02226675573369,90.98196392785572,92.31796927187709,51.36940547762191,64.39545758183033,30,0.07473309608540923,battle_dominant,
30,83.16366065464261,very_strong,acmd_52501a875538,Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,ancient,20,17,0,2,1,12,0.6,0.4075496064378355,92.0507682030728,93.05277221108884,60.13137385882877,99.03139612558451,95.79158316633266,65.4308617234469,18.637274549098194,673,0.07859078590785909,battle_dominant,
31,83.16098864395458,very_strong,acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,23,17,0,0,6,15,0.6521739130434783,0.39360446644344993,88.4435537742151,96.72678690714763,57.559563571587624,95.25718102872412,96.12558450233801,73.07949231796927,41.48296593186373,37,0.10171730515191545,battle_dominant,
32,83.10821643286575,very_strong,acmd_9f7dff80cfa8,Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,17,8,0,1,8,11,0.6470588235294118,0.3270238908507156,79.42551770207082,93.92117568470275,72.21108884435539,97.22778891115564,87.17434869739479,89.34535738142952,51.068804275217104,47,0.2951541850220264,war_campaign_heavy,
33,82.68603874415497,very_strong,acmd_4ed31628d983,Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,19,15,0,0,4,19,1.0,0.38103027030955144,87.24114896459587,94.98997995991984,54.21955021153418,92.01736806947228,94.48897795591182,62.725450901803605,91.41616566466266,31,0.08536585365853659,battle_dominant,
34,82.53974615898463,very_strong,acmd_73305bd7a7e8,Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,17,4,8,2,3,12,0.7058823529411765,0.5647058823529413,99.59919839679358,91.11556446225785,74.22623023825429,33.86773547094188,85.7381429525718,98.46359385437542,59.018036072144284,4,0.6347031963470319,operation_heavy,higher_level_dependent
35,82.52571810287242,very_strong,acmd_b0bb8531c63e,Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,18,8,8,1,1,16,0.8888888888888888,0.4634932268705821,96.25918503674015,93.52037408149633,75.5956357158762,27.75551102204409,92.4181696726787,97.46158984635939,71.5430861723447,3,0.4326241134751774,operation_heavy,
36,82.44288577154308,very_strong,acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,22,19,0,0,3,18,0.8181818181818182,0.5011671808541738,98.46359385437542,97.12758851035404,56.54642618570474,65.4308617234469,96.86038744154976,51.36940547762191,66.33266533066133,14,0.05236907730673316,battle_dominant,
37,82.43687374749497,very_strong,acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,41,40,0,0,1,40,0.975609756097561,0.6718541100719279,100.0,99.59919839679358,58.61723446893787,62.99265197060788,99.59919839679358,18.80427521710087,82.76553106212425,13,0.008674101610904584,battle_dominant,
38,82.35136940547763,very_strong,acmd_e2706a9115a1,Abbas the Great,https://en.wikipedia.org/wiki/Abbas_the_Great,early_modern,15,6,0,1,8,11,0.7333333333333333,0.37455181897892453,86.37274549098196,90.91516366065464,71.35381874860833,79.92651970607882,80.82832331329325,89.34535738142952,61.72344689378757,21,0.3582887700534759,war_campaign_heavy,
39,82.00601202404809,very_strong,acmd_041804c2e06c,Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,20,11,5,3,1,10,0.5,0.307085517686397,77.4883099532398,93.31997327989312,88.90002226675573,73.48029392117569,93.85437541750167,93.52037408149633,14.896459585838343,18,0.28571428571428575,mixed_profile,
40,81.687374749499,very_strong,acmd_e57884ddb832,Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,33,24,0,4,5,29,0.8787878787878788,0.2896814669065143,72.41148964595858,99.33199732798931,72.21108884435539,78.02271209084837,99.19839679358718,90.71476285905143,72.812291249165,20,0.13279132791327913,battle_dominant,
41,81.6439545758183,very_strong,acmd_31e8258ee555,Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,23,20,3,0,0,17,0.7391304347826086,0.35701809117169053,84.90313961255845,91.64996659986639,73.5359608105099,71.81028724114896,97.79559118236473,74.81629926519706,46.392785571142284,17,0.09090909090909091,battle_dominant,
42,81.50434201736806,very_strong,acmd_728cd65a1773,Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,world_wars,14,13,0,0,1,12,0.8571428571428571,0.37473128437734493,86.5063460253841,89.91315965263861,71.99955466488534,99.03139612558451,90.98196392785572,18.80427521710087,64.19505678022712,1617,0.026217228464419474,battle_dominant,
43,81.46492985971943,very_strong,acmd_3435325eb9b0,George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,13,6,5,1,1,12,0.9230769230769231,0.4591389729823319,96.05878423513694,90.51436205744822,77.56624359830772,27.75551102204409,85.50434201736807,95.25718102872412,71.87708750835003,3,0.44954128440366975,mixed_profile,
44,81.20106880427522,very_strong,acmd_c82d0737a6d5,Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,14,9,0,1,4,13,0.9285714285714286,0.33001886492964155,79.75951903807615,90.11356045424182,68.01380538855489,90.98196392785572,85.7381429525718,73.81429525718103,82.36472945891784,30,0.17808219178082194,mixed_profile,
45,81.15497661990649,very_strong,acmd_172afb0cb776,Fyodor Tolbukhin,https://en.wikipedia.org/wiki/Fyodor_Tolbukhin,world_wars,17,5,11,0,1,14,0.8235294117647058,0.47476032825331305,97.6619906479626,91.31596526386106,68.01380538855489,27.75551102204409,90.38076152304609,98.99799599198397,72.87909151636607,3,0.6138996138996139,operation_heavy,higher_level_dependent
