rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
2230,15.859146086228547,qualified,acmd_2a087d487816,Sulejman Pasha Skopljak,https://en.wikipedia.org/wiki/Sulejman_Pasha_Skopljak,revolutionary_napoleonic,4,3,0.75,-0.28125,4.123064043532859,51.06739221431561,,3,11,battle_dominant,
2231,15.73880284637924,qualified,acmd_406abefed4b6,Prataparudra,https://en.wikipedia.org/wiki/Prataparudra,medieval,3,3,1.0,-0.1875,14.16910841356216,20.447886144830473,,3,13,battle_dominant,
2232,15.534742570113018,qualified,acmd_85885ff0bfc5,Ibrahim Bey,https://en.wikipedia.org/wiki/Ibrahim_Bey_(Mamluk),revolutionary_napoleonic,3,3,1.0,-0.19675065075765497,13.897028045207199,20.447886144830473,,2,3,battle_dominant,
2233,15.503348681456679,qualified,acmd_84b02c0f2815,Oda Nobukatsu,https://en.wikipedia.org/wiki/Oda_Nobukatsu,early_modern,3,3,1.0,-0.19811114085654663,13.855169526998745,20.447886144830473,,2,30,battle_dominant,
2234,15.158015906236919,qualified,acmd_875db5120662,Murad Bey,https://en.wikipedia.org/wiki/Murad_Bey,revolutionary_napoleonic,3,3,1.0,-0.2093964937788276,13.394725826705734,20.447886144830473,,2,3,battle_dominant,
2235,15.095228128924234,qualified,acmd_d9d71f055ac8,Duke Eugen of Württemberg,https://en.wikipedia.org/wiki/Duke_Eugen_of_W%C3%BCrttemberg_(1788-1857),revolutionary_napoleonic,3,3,1.0,-0.21155663840110417,13.311008790288822,20.447886144830473,,3,2,battle_dominant,
2236,14.650481372959398,qualified,acmd_4d8156065b5c,Władysław III of Poland,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_III_of_Poland,medieval,4,3,0.75,-0.28125000000000006,2.5115110925073254,51.06739221431561,,2,1,battle_dominant,
2237,14.435956467141065,qualified,acmd_d25d548e9849,Abu Musab al-Zarqawi,https://en.wikipedia.org/wiki/Abu_Musab_al-Zarqawi,contemporary,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,2,2,battle_dominant,
2238,14.435956467141065,qualified,acmd_785b6c98fc2d,André Furtado de Mendonça,https://en.wikipedia.org/wiki/Andr%C3%A9_Furtado_de_Mendon%C3%A7a,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,14,battle_dominant,
2239,14.435956467141065,qualified,acmd_a61c8ee8b958,Charles Wills,https://en.wikipedia.org/wiki/Charles_Wills,early_modern,3,2,0.6666666666666666,-0.21428571428571425,12.43197990791126,20.447886144830473,,3,12,battle_dominant,
