display_name,canonical_wikipedia_url,primary_era_bucket,interpretive_era,interpretive_group,trust_confidence_v2,best_rank,worst_rank,rank_range,mean_rank,top10_appearances,top25_appearances,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,interpretive_reason
Ivan Sirko,https://en.wikipedia.org/wiki/Ivan_Sirko,early_modern,early_modern,model_sensitive_band,caution,12.0,309.0,297.0,84.2,0,3,,309.0,57.0,12.0,11.0,25.0,18.0,2,10,10,6,B=10; O=0; C=0; W=0,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,modern,model_sensitive_band,caution,30.0,222.0,192.0,85.0,0,0,,222.0,34.0,30.0,30.0,90.0,49.0,9,9,4,5,B=4; O=4; C=0; W=1,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Charles X Gustav,https://en.wikipedia.org/wiki/Charles_X_Gustav,early_modern,early_modern,model_sensitive_band,caution,53.0,112.0,59.0,87.5,0,0,53.0,108.0,73.0,112.0,167.0,94.0,85.0,13,13,13,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,modern,model_sensitive_band,caution,17.0,190.0,173.0,90.16666666666667,0,2,17.0,25.0,91.0,76.0,80.0,142.0,190.0,9,9,9,6,B=9; O=0; C=0; W=0,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Agha Petros,https://en.wikipedia.org/wiki/Agha_Petros,world_wars,modern,model_sensitive_band,caution,50.0,158.0,108.0,90.33333333333333,0,0,158.0,109.0,72.0,65.0,72.0,88.0,50.0,5,6,6,4,B=6; O=0; C=0; W=0,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,medieval,medieval,model_sensitive_band,caution,44.0,217.0,173.0,90.66666666666667,0,0,106.0,217.0,44.0,59.0,34.0,72.0,46.0,12,12,9,7,B=9; O=0; C=0; W=3,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Radomir Putnik,https://en.wikipedia.org/wiki/Radomir_Putnik,long_nineteenth_century,modern,model_sensitive_band,caution,47.0,161.0,114.0,91.33333333333333,0,0,161.0,129.0,47.0,47.0,35.0,87.0,77.0,7,9,5,7,B=5; O=2; C=0; W=2,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,modern,model_sensitive_band,caution,40.0,200.0,160.0,91.5,0,0,64.0,200.0,40.0,84.0,39.0,92.0,69.0,26,29,24,14,B=24; O=0; C=0; W=5,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,modern,model_sensitive_band,caution,16.0,297.0,281.0,95.16666666666667,0,3,297.0,190.0,21.0,16.0,16.0,26.0,21.0,7,9,5,8,B=5; O=3; C=0; W=1,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Abbas the Great,https://en.wikipedia.org/wiki/Abbas_the_Great,early_modern,early_modern,model_sensitive_band,caution,29.0,204.0,175.0,98.5,0,0,204.0,191.0,38.0,34.0,58.0,29.0,95.0,6,6,6,5,B=6; O=0; C=0; W=0,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,long_nineteenth_century,modern,model_sensitive_band,caution,51.0,193.0,142.0,99.66666666666667,0,0,193.0,155.0,71.0,67.0,86.0,61.0,51.0,9,11,8,6,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Carl Gustaf Wrangel,https://en.wikipedia.org/wiki/Carl_Gustaf_Wrangel,early_modern,early_modern,model_sensitive_band,caution,79.0,127.0,48.0,100.66666666666667,0,0,127.0,120.0,82.0,101.0,121.0,95.0,79.0,8,10,9,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Dragut,https://en.wikipedia.org/wiki/Dragut,early_modern,early_modern,model_sensitive_band,caution,61.0,168.0,107.0,102.5,0,0,168.0,133.0,61.0,64.0,98.0,77.0,112.0,6,8,8,7,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,early_modern,early_modern,model_sensitive_band,caution,63.0,198.0,135.0,109.66666666666667,0,0,63.0,198.0,67.0,123.0,88.0,110.0,97.0,24,26,21,11,,highly_model_sensitive,,battle_specialist_profile,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,early_modern,early_modern,model_sensitive_band,caution,92.0,163.0,71.0,113.0,0,0,121.0,163.0,100.0,105.0,172.0,97.0,92.0,9,9,7,7,,highly_model_sensitive,,credit_rule_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,modern,model_sensitive_band,caution,47.0,341.0,294.0,113.4,0,0,,341.0,66.0,63.0,62.0,50.0,47.0,10,11,4,6,B=4; O=7; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,early_modern,early_modern,model_sensitive_band,caution,51.0,208.0,157.0,114.16666666666667,0,0,89.0,208.0,51.0,97.0,50.0,86.0,154.0,16,20,17,10,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,early_modern,early_modern,model_sensitive_band,caution,93.0,155.0,62.0,114.83333333333333,0,0,115.0,117.0,93.0,94.0,104.0,155.0,115.0,8,11,10,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,world_wars,modern,model_sensitive_band,caution,55.0,211.0,156.0,118.33333333333333,0,0,94.0,211.0,55.0,122.0,188.0,120.0,108.0,22,28,21,19,,highly_model_sensitive,,credit_rule_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,early_modern,early_modern,model_sensitive_band,caution,69.0,212.0,143.0,120.66666666666667,0,0,135.0,212.0,69.0,118.0,63.0,100.0,90.0,12,20,16,11,,highly_model_sensitive,,credit_rule_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,modern,model_sensitive_band,caution,5.0,375.0,370.0,121.33333333333333,3,4,375.0,322.0,5.0,5.0,10.0,13.0,8.0,9,13,5,13,B=5; O=7; C=0; W=1,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Qasem Soleimani,https://en.wikipedia.org/wiki/Qasem_Soleimani,contemporary,contemporary,model_sensitive_band,caution,49.0,323.0,274.0,124.6,0,0,,323.0,87.0,49.0,45.0,78.0,86.0,3,10,6,9,B=6; O=3; C=0; W=1,highly_model_sensitive,higher_level_dependent | higher_level_low_evidence_combo | sparse_higher_level_evidence | sparse_higher_level_evidence,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Ambrogio Spinola,https://en.wikipedia.org/wiki/Ambrogio_Spinola,early_modern,early_modern,model_sensitive_band,caution,96.0,230.0,134.0,130.33333333333334,0,0,128.0,230.0,96.0,120.0,128.0,108.0,100.0,8,11,8,9,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,modern,model_sensitive_band,caution,43.0,304.0,261.0,130.66666666666666,0,0,279.0,304.0,43.0,48.0,38.0,51.0,59.0,10,11,6,11,B=6; O=5; C=0; W=0,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Stepa Stepanović,https://en.wikipedia.org/wiki/Stepa_Stepanovi%C4%87,world_wars,modern,model_sensitive_band,caution,86.0,161.0,75.0,131.16666666666666,0,0,142.0,101.0,86.0,139.0,32.0,161.0,158.0,9,12,6,8,,highly_model_sensitive,,credit_rule_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
William Halsey Jr.,https://en.wikipedia.org/wiki/William_Halsey_Jr.,world_wars,modern,model_sensitive_band,caution,64.0,240.0,176.0,134.5,0,0,240.0,152.0,64.0,72.0,69.0,98.0,181.0,8,10,6,8,,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,ancient,ancient,model_sensitive_band,caution,76.0,215.0,139.0,137.0,0,0,155.0,215.0,76.0,102.0,106.0,80.0,194.0,9,13,13,6,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Henri Gouraud,https://en.wikipedia.org/wiki/Henri_Gouraud,world_wars,modern,model_sensitive_band,caution,79.0,270.0,191.0,141.33333333333334,0,0,270.0,171.0,79.0,98.0,93.0,85.0,145.0,6,7,5,5,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,world_wars,modern,model_sensitive_band,caution,48.0,378.0,330.0,145.33333333333334,0,0,136.0,378.0,48.0,110.0,74.0,93.0,107.0,17,21,16,13,B=16; O=5; C=0; W=0,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
"Édouard Mortier, Duke of Treviso",https://en.wikipedia.org/wiki/%C3%89douard_Mortier%2C_Duke_of_Treviso,revolutionary_napoleonic,modern,model_sensitive_band,caution,83.0,216.0,133.0,151.83333333333334,0,0,110.0,216.0,83.0,148.0,156.0,185.0,169.0,18,22,18,13,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Thomas C. Kinkaid,https://en.wikipedia.org/wiki/Thomas_C._Kinkaid,world_wars,modern,model_sensitive_band,caution,75.0,296.0,221.0,155.33333333333334,0,0,296.0,189.0,97.0,75.0,78.0,145.0,130.0,5,7,5,5,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,world_wars,modern,model_sensitive_band,caution,52.0,407.0,355.0,159.5,0,0,283.0,407.0,52.0,73.0,76.0,81.0,61.0,13,16,8,10,,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,world_wars,modern,model_sensitive_band,caution,77.0,363.0,286.0,163.16666666666666,0,0,111.0,363.0,77.0,147.0,71.0,147.0,134.0,23,24,17,15,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Peter the Great,https://en.wikipedia.org/wiki/Peter_the_Great,early_modern,early_modern,model_sensitive_band,caution,65.0,403.0,338.0,179.0,0,0,259.0,403.0,65.0,103.0,49.0,89.0,155.0,9,10,7,6,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,modern,model_sensitive_band,caution,49.0,683.0,634.0,190.5,0,0,213.0,683.0,49.0,71.0,47.0,71.0,56.0,17,17,10,9,B=10; O=7; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Flavius Aetius,https://en.wikipedia.org/wiki/Flavius_Aetius,ancient,ancient,model_sensitive_band,caution,66.0,464.0,398.0,200.66666666666666,0,0,347.0,464.0,88.0,93.0,67.0,66.0,146.0,5,6,6,6,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Omar Bradley,https://en.wikipedia.org/wiki/Omar_Bradley,world_wars,modern,model_sensitive_band,caution,89.0,484.0,395.0,222.16666666666666,0,0,373.0,484.0,89.0,114.0,102.0,136.0,137.0,12,13,6,10,,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Kirill Meretskov,https://en.wikipedia.org/wiki/Kirill_Meretskov,world_wars,modern,model_sensitive_band,caution,94.0,693.0,599.0,227.6,0,0,,693.0,94.0,121.0,126.0,134.0,96.0,10,13,4,10,,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,revolutionary_napoleonic,modern,model_sensitive_band,caution,75.0,646.0,571.0,241.16666666666666,0,0,207.0,646.0,75.0,157.0,187.0,177.0,185.0,22,28,26,12,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Stefan Czarniecki,https://en.wikipedia.org/wiki/Stefan_Czarniecki,early_modern,early_modern,model_sensitive_band,caution,95.0,731.0,636.0,266.5,0,0,233.0,731.0,95.0,190.0,148.0,193.0,157.0,19,24,24,14,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,revolutionary_napoleonic,modern,model_sensitive_band,caution,99.0,855.0,756.0,316.3333333333333,0,0,282.0,855.0,99.0,210.0,196.0,223.0,229.0,32,42,38,15,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,world_wars,modern,model_sensitive_band,caution,46.0,1210.0,1164.0,357.8333333333333,0,0,618.0,1210.0,46.0,87.0,24.0,116.0,70.0,10,17,5,14,B=5; O=6; C=0; W=6,highly_model_sensitive,higher_level_dependent,mixed_model_sensitivity,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
