display_name,rank_hierarchical_weighted_before,rank_hierarchical_trust_v2_before,trust_tier_v2_before,trust_confidence_v2_before,page_type_exposure_summary_before,outcome_profile_summary_before,known_outcome_count_before,total_engagements_strict_before,rank_hierarchical_weighted_after,rank_hierarchical_trust_v2_after,trust_tier_v2_after,trust_confidence_v2_after,page_type_exposure_summary_after,outcome_profile_summary_after,known_outcome_count_after,total_engagements_strict_after
Alexander Suvorov,2.0,,,,B=18; O=0; C=1; W=5,V=18; D=2; N=0; U=4,20,24,2.0,2.0,robust_elite_core,high,B=19; O=0; C=0; W=1,V=17; D=1; N=0; U=2,18,20
Douglas MacArthur,4.0,,,,B=18; O=5; C=13; W=2,V=28; D=5; N=0; U=5,33,38,4.0,4.0,model_sensitive_band,caution,B=18; O=3; C=0; W=1,V=14; D=4; N=0; U=4,18,22
Jean Lannes,8.0,,,,B=24; O=0; C=1; W=4,V=25; D=1; N=0; U=3,26,29,12.0,11.0,robust_elite_core,high,B=25; O=0; C=0; W=3,V=24; D=2; N=0; U=2,26,28
Khalid ibn al-Walid,48.0,,,,B=39; O=0; C=0; W=1,V=31; D=0; N=1; U=8,32,40,53.0,44.0,model_sensitive_band,caution,B=40; O=0; C=0; W=1,V=31; D=0; N=1; U=9,32,41
Louis-Nicolas Davout,7.0,,,,B=19; O=0; C=3; W=3,V=16; D=5; N=0; U=4,21,25,11.0,10.0,robust_elite_core,high,B=22; O=0; C=0; W=3,V=15; D=5; N=0; U=5,20,25
Napoleon Bonaparte,3.0,,,,B=63; O=0; C=6; W=5,V=51; D=11; N=0; U=12,62,74,3.0,3.0,robust_elite_core,very_high,B=65; O=0; C=0; W=2,V=49; D=9; N=0; U=9,58,67
Suleiman the Magnificent,1.0,,,,B=15; O=0; C=2; W=17,V=21; D=0; N=4; U=9,25,34,1.0,1.0,high_confidence_upper_band,moderate,B=16; O=0; C=0; W=0,V=12; D=0; N=0; U=4,12,16
Takeda Shingen,76.0,,,,B=20; O=0; C=0; W=0,V=16; D=1; N=0; U=3,17,20,85.0,77.0,model_sensitive_band,caution,B=20; O=0; C=0; W=0,V=16; D=1; N=0; U=3,17,20
