battle_id,battle_name,year,war_name,commander_name_raw,commander_name_normalized,commander_wikipedia_url,side,belligerent,battle_result_for_commander,role_in_battle,opposing_commander_names_raw,location_normalized,strength_side_raw,strength_enemy_raw,casualties_side_raw,casualties_enemy_raw,source_url,parse_notes,identity_confidence
battle_19038039,Hundred Years' War,1337,the Crisis of the late Middle Ages and the Anglo-French Wars,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_b,Kingdom of England Kingdom of France loyal to the House of Plantagenet Burgundian State (1419–1435) Duchy of Brittany Kingdom of Portugal Kingdom of Navarre Duchy of Gascony,unknown,,"Philip | # | John II | Charles V | Charles | Charles VII | Louis, Dauphin | Joan of Arc | Gilles de Rais | Jean de Dunois | Bertrand du Guesclin | Philip the Bold | John the Fearless | Owain Glyndŵr | Philip the Good | Charles of Blois | David II | Henry of Trastámara | John I","France, the Low Countries, Great Britain, the Iberian Peninsula",,,,"185,250 (approx.) French and English soldiers killed in combat, ~556,000 total French and English military deaths",https://en.wikipedia.org/wiki/Hundred_Years%27_War,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_1547153,"Hundred Years' War, 1337–1360",1337,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,15px Kingdom of England 10px Principality of Wales 10px Duchy of Gascony 10px Duchy of Aquitaine 15px Duchy of Brittany 15px County of Flanders 15px County of Hainaut,unknown,,"Philip | # | John II | Charles, Dauphin of France | Hugues Quiéret | Raoul of Brienne | Charles of Alençon | Rudolph of Lorraine | Louis of Châtillon | Philip of Orléans | Charles de La Cerda | Antonio Doria | John the Blind | David II",France,,,,,https://en.wikipedia.org/wiki/Hundred_Years%27_War%2C_1337%E2%80%931360,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_1547153,"Hundred Years' War, 1337–1360",1337,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_b,15px Kingdom of France 15px Kingdom of Scotland 15px Republic of Genoa (Genoese mercenaries) 15px Kingdom of Bohemia 15px Duchy of Lorraine 15px Kingdom of Majorca 15px Kingdom of Navarre 15px Kingdom of Castile,unknown,,Henry of Lancaster | Jean de Grailly | John Chandos | Robert d'Artois | # | Guy de Beauchamp | Jacob van Artevelde,France,,,,,https://en.wikipedia.org/wiki/Hundred_Years%27_War%2C_1337%E2%80%931360,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_640282,War of the Breton Succession,1341,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,House of Montfort-Brittany Kingdom of England,unknown,,Charles of Blois | Joan of Penthièvre,Brittany,,,,,https://en.wikipedia.org/wiki/War_of_the_Breton_Succession,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_14439289,Hungarian–Ottoman Wars,1366,the Ottoman wars in Europe,Kings of Hungary,List of Hungarian monarchs,https://en.wikipedia.org/wiki/List_of_Hungarian_monarchs,side_b,"Flag of Vladislaus II of Hungary.svg Kingdom of Hungary **Flag of Croatia (Early 16th century–1526).svg Kingdom of Croatia *Kingdom of Poland-flag.svg Kingdom of Poland *Alex K Grundwald flags 1410-03.svg Grand Duchy of Lithuania *State_flag_of_Wallachia_(1532).svg Principality of Wallachia *Moldavia Principality of Moldavia European allies: *Holy Roman Empire *Papal States *Crown of Aragon *Kingdom of Naples *Republic of Venice *Republic of Genoa *Flag_of_the_Second_Bulgarian_Empire.svg Bulgarian Empire *Pavillon royal de la France.png Kingdom of France *Flag_of_the_Order_of_St._John_(various).svg Knights of Rhodes *Kraljevina_Bosna_steg_(rotated).png Kingdom of Bosnia *Flag of the Serbian Empire, reconstruction.svg Moravian Serbia *30x20px Serbian Despotate *Duchy of Savoy *Flag_of_the_State_of_the_Teutonic_Order.svg Teutonic Order *Byzantine_imperial_flag,_14th_century.svg Byzantine Empire *Banner of arms crown of Castille Habsbourg style.svg Crown of Castille *Kingdom of Navarre",unknown,,Voivodes of Wallachia | Voivodes of Moldavia,"Kingdom of Hungary, Moldavia, Serbian Despotate, Ottoman Empire, Wallachia",,,,,https://en.wikipedia.org/wiki/Hungarian%E2%80%93Ottoman_Wars,validated_commander_source=linked_article;identity_resolution_method=linked_article,high
battle_6384774,"Hundred Years' War, 1369–1389",1369,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,15px Kingdom of France 10px County of Flanders 10px Duchy of Burgundy 16px Kingdom of Scotland 15px Duchy of Brittany 15px Crown of Castile,unknown,,"# | Richard II | John of Gaunt | Jean III de Grailly | Robert Knolles | Ferdinand I of Portugal | Nuno Álvares Pereira | John, Grandmaster of Avis | Philip van Artevelde | Frans Ackerman | Jan Hyoens",France,,,,,https://en.wikipedia.org/wiki/Hundred_Years%27_War%2C_1369%E2%80%931389,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_6384774,"Hundred Years' War, 1369–1389",1369,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_b,"15px Kingdom of England 10px Principality of Wales 10px Duchy of Gascony 10px Duchy of Aquitaine 15px Kingdom of Navarre 15px Kingdom of Portugal (1381–1382, 1383 –1385) 15px Ghent rebels (1383–85)",unknown,,Charles V | # | Charles | Bertrand du Guesclin | Olivier de Clisson | Jean de Vienne | Philip the Bold | Robert II | Louis de Sancerre | Ambrosio Boccanegra | Philip van Artevelde | Frans Ackerman | Jan Hyoens,France,,,,,https://en.wikipedia.org/wiki/Hundred_Years%27_War%2C_1369%E2%80%931389,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_159065,Battle of Shrewsbury,1403,the Glyndŵr Rising,Wounded in action,Wounded in action,https://en.wikipedia.org/wiki/Wounded_in_action,side_a,Kingdom of England,unknown,,Henry Hotspur Percy,"Shrewsbury, Shropshire, England","14,000","14,000",Heavy,"Heavy, all surviving rebel leaders captured",https://en.wikipedia.org/wiki/Battle_of_Shrewsbury,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_16615853,Armagnac–Burgundian Civil War,1407,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_c,England,unknown,,Louis I of Orléans | Charles I of Orléans | Bernard VII of Armagnac | John of Berry | Charles I d'Albret | Louis II of Anjou | John I of Bourbon | John I of Alençon | John V of Britanny | Charles VII of France | John the Fearless | Philip the Good | Jean de Villiers | John II of Luxembourg,Kingdom of France,,,,,https://en.wikipedia.org/wiki/Armagnac%E2%80%93Burgundian_Civil_War,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_6461518,"Hundred Years' War, 1415–1453",1415,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_a,20px Kingdom of France 13px Armagnac party 15px Duchy of Burgundy (1435 to 1453) 20px Kingdom of Scotland,unknown,,Henry V | # | Henry | king of France | John of Lancaster | Thomas of Lancaster | Thomas Beaufort | Humphrey of Lancaster | Thomas Rempston | John Fastolf | Philip the Good | Jean of Luxembourg,France,,,,,https://en.wikipedia.org/wiki/Hundred_Years%27_War%2C_1415%E2%80%931453,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
battle_6461518,"Hundred Years' War, 1415–1453",1415,the Hundred Years' War,#,Manner of death,https://en.wikipedia.org/wiki/Manner_of_death,side_b,20px Kingdom of England 13px Principality of Wales 13px English Kingdom of France 20px Duchy of Burgundy (1419 to 1435),unknown,,"Charles | # | Charles VII | Joan of Arc | Louis, Dauphin | Arthur de Richemont | Jean de Dunois | La Hire | Jean de Xaintrailles | Jean d'Alençon | Charles de Bourbon | Ambroise de Loré | Jean de Brosse | Jean Bureau | Gilbert de Lafayette | Gilles de Rais | Charles d'Albret | Jean Le Maingre | Charles d'Orléans | Philip the Good",France,,,,,https://en.wikipedia.org/wiki/Hundred_Years%27_War%2C_1415%E2%80%931453,validated_commander_source=linked_article;identity_resolution_method=linked_article,medium
