analytic_commander_id,commander_name,total_score,score_from_overall_command,score_from_principal_field_command,score_from_subordinate_command,score_from_coalition_command,score_from_siege_engineering,score_from_naval_command,score_from_staff_or_planning,score_from_nominal_or_political,score_from_unclear_role,score_from_wing_or_corps_command,share_unclear_role,share_nominal_or_political,share_direct_field_command,role_weighted_total,role_unweighted_total,mean_role_confidence,dominant_role_class,role_adjustment_factor
acmd_00379ad78b48,Jason Kenney,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,1.0,0.0,0.0,0.048,0.12,0.35,unclear_role,0.4
acmd_003c3e137cdd,Mir Muhammed Ali Khan,0.22188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22188,0.0,0.0,1.0,0.122034,0.22188,0.55,wing_or_corps_commander,0.55
acmd_003d1b46d7ff,"Alexandre Maître, Marquis de Bay",2.1656856,0.0,2.1656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.84083276,2.1656856,0.65,principal_field_commander,0.85
acmd_003de79af1fd,Sylejman Selimi,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,1.0,0.0,0.0,0.042,0.105,0.3,unclear_role,0.4
acmd_003fb3f79d1c,Han Fuju,0.31680944,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.16680943999999998,0.0,0.5265292599866973,0.0,0.47347074001330264,0.19422377600000001,0.31680944,0.4166666666666667,unclear_role,0.6130618330059863
acmd_004119a3e67e,Iwan Sternberg,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_00421b82c068,"Nicholas Fleming, Mayor of York",0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_004296369951,Milan Nedić,0.5228424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.2828424,0.4590293365648998,0.0,0.5409706634351,0.25156332000000003,0.5228424,0.3875,wing_or_corps_commander,0.48114559951526503
acmd_0043adc4fa40,Walter Hamilton,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_00463d3f1ae0,Kŏlsa Piu,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_004e305cd610,Juan Hernández Saravia,0.37720428000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07483308000000001,0.30237120000000006,0.19838873514372637,0.0,0.8016112648562737,0.19623739200000004,0.37720428000000006,0.42500000000000004,wing_or_corps_commander,0.5202416897284411
acmd_00532c69459f,Emperor of China,0.34152624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854384,0.2529824,0.25925925925925924,0.0,0.7407407407407408,0.174557856,0.34152624,0.42500000000000004,wing_or_corps_commander,0.5111111111111112
acmd_0057cd4e62da,Hussain Nizam Shah I,0.9234568000000001,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577712,0.0,0.0,1.0,0.67760692,0.9234568000000001,0.6000000000000001,principal_field_commander,0.7337721916174097
acmd_0058b77e474a,Henry Arthur Goddard,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_005de1797986,Otto van den Sande,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_00622840bd85,Siddi Masud,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_0067bfa6f6ac,Abu Oweis,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00693323bf9c,Sardar Majid Khani,0.161658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161658,0.0,1.0,0.0,0.0,0.0646632,0.161658,0.3,unclear_role,0.4
acmd_006cbd225d58,"Archibald Douglas, Earl of Moray",0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00702f65772d,Lucius Cornelius Scipio Asiaticus,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_00746302c27e,Alyattes,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_0074fa67cd20,Louis Joseph Papineau,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_007a0bb1e0a4,"Charles Henri Hector, Count of Estaing",2.1077712,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3577712,0.0,0.0,1.0,1.6842741600000002,2.1077712,0.525,principal_field_commander,0.7990782680776737
acmd_007a20dd496c,Charles Hore,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
