rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
806,45.23609077598828,qualified,acmd_bacdcb56b57f,Nikolai Ruzsky,https://en.wikipedia.org/wiki/Nikolai_Ruzsky,world_wars,9,9,0,0,0,5,0.5555555555555556,0.2250400864571981,63.543191800878475,25.25622254758419,17.240117130307468,78.98975109809663,4.978038067349927,20.168374816983896,2,0.0,battle_dominant,
807,45.23596876525134,qualified,acmd_3124a22f8984,Jacob Brown,https://en.wikipedia.org/wiki/Jacob_Brown_(general),revolutionary_napoleonic,5,4,0,0,1,3,0.6,0.3,72.58418740849196,31.564177647632988,9.99267935578331,21.815519765739385,19.03367496339678,35.94436310395315,1,0.08045977011494253,battle_dominant,
808,45.14702293801855,qualified,acmd_82e31f163701,Kurt Student,https://en.wikipedia.org/wiki/Kurt_Student,world_wars,6,4,1,0,1,3,0.5,0.06720274700758531,45.68081991215227,56.78379697413373,31.36896046852123,39.23865300146413,58.63836017569546,27.159590043923863,4,0.22330097087378636,mixed_profile,
809,45.14311859443631,qualified,acmd_d756a69f04a5,Ma Hongkui,https://en.wikipedia.org/wiki/Ma_Hongkui,world_wars,5,2,1,0,2,3,0.6,0.1860998635255667,59.004392386530014,50.80527086383602,9.99267935578331,6.149341142020498,69.32650073206442,53.91654465592972,1,0.42857142857142855,mixed_profile,
810,45.11139580283064,qualified,acmd_7993ea476f40,François Certain de Canrobert,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Certain_de_Canrobert,long_nineteenth_century,5,4,0,0,1,4,0.8,0.08342497658150695,47.2913616398243,36.51781356759395,67.67935578330894,21.815519765739385,19.03367496339678,76.28111273792094,16,0.08045977011494253,battle_dominant,
811,45.110053684724264,qualified,acmd_2f0a139e0792,Osama bin Laden,https://en.wikipedia.org/wiki/Osama_bin_Laden,contemporary,11,3,2,0,6,6,0.5454545454545454,-0.1587679441796369,22.18155197657394,88.48218643240604,24.45095168374817,62.59150805270863,92.75256222547584,48.49926793557833,3,0.5522388059701493,war_campaign_heavy,higher_level_dependent
812,45.04917032698877,qualified,acmd_5f4bc03b1ef9,Semyon Budyonny,https://en.wikipedia.org/wiki/Semyon_Budyonny,world_wars,15,9,5,0,1,7,0.4666666666666667,-0.30293259486003277,7.979502196193265,70.04636408003904,81.80819912152269,90.0805270863836,91.800878477306,16.544655929721817,23,0.28286852589641437,mixed_profile,
813,45.002210834553445,qualified,acmd_15a8d338b9e9,Bismillah Khan Mohammadi,https://en.wikipedia.org/wiki/Bismillah_Khan_Mohammadi,contemporary,5,1,1,0,3,3,0.6,0.06383393973395837,45.1683748169839,50.80527086383602,76.53733528550512,2.232796486090776,76.13469985358712,53.91654465592972,20,0.6491228070175439,war_campaign_heavy,higher_level_dependent | thin_battle_anchor
814,44.95766227428014,qualified,acmd_4d51603403a5,Charles François Dumouriez,https://en.wikipedia.org/wiki/Charles_Fran%C3%A7ois_Dumouriez,revolutionary_napoleonic,5,3,0,0,2,3,0.6,0.30000000000000004,74.74377745241581,36.51781356759395,3.2576866764275256,6.295754026354319,27.26939970717423,31.625183016105417,0,0.14893617021276592,mixed_profile,
815,44.932406051732556,qualified,acmd_46e665383a2d,Johannes Blaskowitz,https://en.wikipedia.org/wiki/Johannes_Blaskowitz,world_wars,7,3,3,1,0,5,0.7142857142857143,-0.1022372559180732,27.672035139092237,65.72718399219131,40.849194729136165,52.049780380673496,88.46998535871157,67.34992679355784,6,0.4957983193277311,operation_heavy,
816,44.91739873108834,qualified,acmd_ee2a952c710c,Telli Hasan Pasha,https://en.wikipedia.org/wiki/Telli_Hasan_Pasha,early_modern,5,3,0,0,2,4,0.8,0.18595113157468907,58.93118594436311,52.9526598340654,9.99267935578331,9.846266471449487,37.88433382137628,76.28111273792094,1,0.18918918918918917,mixed_profile,
817,44.90653977550025,qualified,acmd_da9e0de61de6,Charles de Bonchamps,https://en.wikipedia.org/wiki/Charles_de_Bonchamps,revolutionary_napoleonic,10,9,0,0,1,3,0.3,0.23722632649893594,65.4099560761347,28.34309419228892,3.2576866764275256,81.03953147877013,19.03367496339678,1.7203513909224013,0,0.0374331550802139,battle_dominant,
818,44.90653977550025,qualified,acmd_bdc7904f773c,Louis Marie de Lescure,https://en.wikipedia.org/wiki/Louis_Marie_de_Lescure,revolutionary_napoleonic,10,9,0,0,1,3,0.3,0.23722632649893594,65.4099560761347,28.34309419228892,3.2576866764275256,81.03953147877013,19.03367496339678,1.7203513909224013,0,0.0374331550802139,battle_dominant,
819,44.89214250854074,qualified,acmd_5614506edfbe,Andrea Doria,https://en.wikipedia.org/wiki/Andrea_Doria,early_modern,9,5,0,1,3,5,0.5555555555555556,-0.35285825521833714,6.149341142020498,86.48121034651048,92.3865300146413,61.49341142020498,71.2298682284041,13.689604685212299,33,0.24242424242424246,mixed_profile,
820,44.867618350414844,qualified,acmd_babd2d4feffc,Piet Joubert,https://en.wikipedia.org/wiki/Piet_Joubert,long_nineteenth_century,8,5,0,0,3,4,0.5,-0.03323869268354912,34.773060029282576,47.75500244021473,71.63250366032212,54.4289897510981,53.989751098096626,6.039531478770132,18,0.17355371900826444,mixed_profile,
