rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1102,34.61826383808827,qualified,acmd_8fd86e6fcebd,Victor Amadeus II,https://en.wikipedia.org/wiki/Victor_Amadeus_II,early_modern,10,6,0,0,4,4,0.4,-0.35555555555555557,4.974396488661302,51.45086564252622,69.89758595464521,69.82443306510608,65.94732991953181,16.642282370153623,17,0.1891891891891892,mixed_profile,
1103,34.58729578151671,qualified,acmd_887a1f307ed3,Claude Lecourbe,https://en.wikipedia.org/wiki/Claude_Lecourbe,revolutionary_napoleonic,7,6,0,1,0,6,0.8571428571428571,-0.04767463250331027,33.21141185076811,42.514020970495004,9.985369422092173,56.730065837600584,10.790051207022678,83.02852962692026,1,0.043824701195219126,battle_dominant,
1104,34.56254572055597,qualified,acmd_a3b8ce57a79d,Binod Singh,https://en.wikipedia.org/wiki/Binod_Singh,early_modern,5,5,0,0,0,5,1.0,0.009572871706811474,38.62472567666423,17.081199707388443,40.89246525237747,35.84491587417703,4.974396488661302,93.70885149963424,6,0.0,battle_dominant,
1105,34.55437698122409,qualified,acmd_286dd73f3d2c,Angelo Iachino,https://en.wikipedia.org/wiki/Angelo_Iachino,world_wars,6,4,2,0,0,3,0.5,0.019677977717112976,39.575713240673004,31.577663984394054,17.227505486466715,39.79517190929042,59.43672275054864,7.498171177761521,2,0.23076923076923078,mixed_profile,
1106,34.4940258473543,qualified,acmd_7f0806f21137,Muhammad Shaybani,https://en.wikipedia.org/wiki/Muhammad_Shaybani,early_modern,6,4,0,0,2,4,0.6666666666666666,-0.3555555555555555,5.852231163130943,64.20385271884906,80.3218727139722,29.517190929041696,37.85662033650329,43.708851499634235,22,0.14893617021276595,mixed_profile,
1107,34.48365642526213,qualified,acmd_d61194aa914d,Feng Yuxiang,https://en.wikipedia.org/wiki/Feng_Yuxiang,world_wars,7,2,0,1,4,3,0.42857142857142855,-0.1786699309957655,20.263350402340894,62.058034625701055,54.974396488661306,14.411119239209949,77.39575713240673,10.93635698610095,11,0.49367088607594933,war_campaign_heavy,sparse_higher_level_evidence
1108,34.43294318458912,qualified,acmd_bd873137b31f,Aslan Maskhadov,https://en.wikipedia.org/wiki/Aslan_Maskhadov,contemporary,5,3,0,0,2,3,0.6,-0.026091933319000834,35.33284564740307,42.514020970495004,36.75932699341624,9.8390636430139,37.85662033650329,31.52889539136796,5,0.18918918918918917,mixed_profile,
1109,34.36515484028286,qualified,acmd_ea3c4d07b912,John Fastolf,https://en.wikipedia.org/wiki/John_Fastolf,medieval,6,3,0,1,2,3,0.5,-0.08400306687560521,29.114850036576446,50.82906608144356,31.346013167520116,18.25164594001463,61.37527432333577,22.20190197512802,4,0.29411764705882354,mixed_profile,
1110,34.35881492318946,qualified,acmd_55a52ae29424,Franjo Jelačić,https://en.wikipedia.org/wiki/Franjo_Jela%C4%8Di%C4%87,revolutionary_napoleonic,7,5,0,1,1,4,0.5714285714285714,-0.3555555555555556,4.133138258961229,78.49305047549377,52.23116313094367,51.42648134601316,47.76883686905633,23.920994879297734,10,0.15254237288135591,battle_dominant,
1111,34.3562545720556,qualified,acmd_224c25db1736,Otto von Below,https://en.wikipedia.org/wiki/Otto_von_Below,world_wars,12,9,2,0,1,8,0.6666666666666666,-0.3622611226428553,3.6576444769568397,71.25091441111924,24.433065106071687,86.21068032187272,77.39575713240673,38.258961228968545,3,0.17808219178082194,battle_dominant,
