model_name,slice_name,rank,display_name,primary_era_bucket,score_normalized
baseline_conservative,top_100,4,Alexander Suvorov,revolutionary_napoleonic,98.02176696542894
baseline_conservative,top_100,5,"Alexander Farnese, Duke of Parma",early_modern,97.33034571062741
baseline_conservative,top_100,6,Takeda Shingen,early_modern,97.2247119078105
baseline_conservative,top_100,7,Louis-Gabriel Suchet,revolutionary_napoleonic,96.02432778489117
baseline_conservative,top_100,8,"Maurice, Prince of Orange",early_modern,95.95070422535211
baseline_conservative,top_100,9,"Sébastien Le Prestre, Marquis of Vauban",early_modern,95.85467349551857
baseline_conservative,top_100,10,Abu Ubayda ibn al-Jarrah,medieval,95.59859154929578
baseline_conservative,top_100,11,Francis Vere,early_modern,94.06209987195902
baseline_conservative,top_100,12,Nathan Bedford Forrest,long_nineteenth_century,93.67797695262483
baseline_conservative,top_100,13,Amr ibn al-As,medieval,93.30345710627401
baseline_conservative,top_100,14,Subutai,medieval,92.70486555697823
baseline_conservative,top_100,15,Charles XIV John,revolutionary_napoleonic,92.48719590268887
baseline_conservative,top_100,16,Stanisław Żółkiewski,early_modern,92.25352112676057
baseline_conservative,top_100,17,Maurice de Saxe,early_modern,92.14148527528809
baseline_conservative,top_100,18,Robert L. Eichelberger,world_wars,92.02624839948783
baseline_conservative,top_100,19,Walter Krueger,world_wars,92.02624839948783
baseline_conservative,top_100,20,Mahmud Pasha Angelović,medieval,92.02304737516005
baseline_conservative,top_100,21,Louis-Nicolas Davout,revolutionary_napoleonic,91.66453265044814
baseline_conservative,top_100,22,André Masséna,revolutionary_napoleonic,91.1235595390525
baseline_conservative,top_100,23,Jean Victor Marie Moreau,revolutionary_napoleonic,90.45454545454547
baseline_conservative,top_100,24,Baybars,medieval,90.29769526248398
baseline_conservative,top_100,25,Ubadah ibn al-Samit,medieval,90.22087067861715
baseline_conservative,top_100,26,Jan Karol Chodkiewicz,early_modern,89.76952624839949
baseline_conservative,top_100,27,Charles XII of Sweden,early_modern,89.20614596670936
baseline_conservative,top_100,28,"Henri de La Tour d'Auvergne, Viscount of Turenne",early_modern,89.07810499359795
baseline_conservative,top_100,29,Ferdinand Foch,world_wars,89.00128040973112
baseline_conservative,top_100,30,Matvei Platov,revolutionary_napoleonic,88.93085787451984
baseline_conservative,top_100,31,Louis XIV,early_modern,88.73879641485274
baseline_conservative,top_100,32,Belisarius,medieval,88.7067861715749
baseline_conservative,top_100,33,P. G. T. Beauregard,long_nineteenth_century,88.52112676056338
baseline_conservative,top_100,34,Mehmed II,medieval,88.4955185659411
baseline_conservative,top_100,35,John Monash,world_wars,88.26184379001279
baseline_conservative,top_100,36,Katō Kiyomasa,early_modern,88.24903969270167
baseline_conservative,top_100,37,Karađorđe Petrović,revolutionary_napoleonic,88.14660691421254
baseline_conservative,top_100,38,Hannibal,ancient,87.80409731113956
baseline_conservative,top_100,39,Charles Mangin,world_wars,87.70166453265044
baseline_conservative,top_100,40,Saladin,medieval,86.949423815621
baseline_conservative,top_100,41,Konishi Yukinaga,early_modern,86.11715749039693
baseline_conservative,top_100,42,Heinz Guderian,world_wars,85.80985915492958
baseline_conservative,top_100,43,Prince Friedrich Karl of Prussia,long_nineteenth_century,85.70422535211267
baseline_conservative,top_100,44,Douglas MacArthur,world_wars,85.49615877080666
baseline_conservative,top_100,45,Alauddin Khalji,medieval,84.8719590268886
baseline_conservative,top_100,46,Ivan Paskevich,long_nineteenth_century,84.64148527528809
baseline_conservative,top_100,47,Jerzy Sebastian Lubomirski,early_modern,84.64148527528809
baseline_conservative,top_100,48,Maeda Toshiie,early_modern,84.16773367477593
baseline_conservative,top_100,49,Hari Singh Nalwa,long_nineteenth_century,83.7067861715749
baseline_conservative,top_100,50,"François-Henri de Montmorency, duc de Luxembourg",early_modern,83.45710627400767
baseline_conservative,top_100,51,Lennart Torstensson,early_modern,83.45710627400767
baseline_conservative,top_100,52,Charles X Gustav,early_modern,83.10179257362356
baseline_conservative,top_100,53,Cardinal-Infante Ferdinand of Austria,early_modern,83.03457106274008
baseline_conservative,top_100,54,Philip the Good,medieval,82.93854033290653
baseline_conservative,top_100,55,Julian,ancient,82.59282970550576
