rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
1,91.36363636363637,elite,acmd_48ef72a8fdfd,Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,revolutionary_napoleonic,20,19,0,0,1,18,0.9,0.5853481383649944,99.81255857544518,97.9381443298969,85.11402686660419,91.89315838800376,96.3917525773196,47.46954076850984,73.9925023430178,31,0.01808785529715762,battle_dominant,
2,88.55014058106843,very_strong,acmd_fe8dcb104442,"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,early_modern,38,36,0,0,2,35,0.9210526315789473,0.4276705575814642,93.6269915651359,99.2502343017807,68.79100281162137,95.92314901593252,99.34395501405811,64.1518275538894,76.19493908153702,38,0.019073569482288825,battle_dominant,
3,88.42174320524836,very_strong,acmd_dba8ec42eadd,Napoleon Bonaparte,https://en.wikipedia.org/wiki/Napoleon,revolutionary_napoleonic,67,65,0,0,2,60,0.8955223880597015,0.49857369138716223,98.78163074039362,100.0,69.46266791627616,79.70946579194002,100.0,64.1518275538894,72.35238987816307,22,0.0106544901065449,battle_dominant,
4,88.30178069353329,very_strong,acmd_57806d8d6048,Subutai,https://en.wikipedia.org/wiki/Subutai,medieval,16,13,0,0,3,16,1.0,0.4373213478483282,96.06373008434865,95.50140581068416,68.04123711340206,90.72164948453609,91.37769447047798,75.72633552014996,88.89409559512652,30,0.07473309608540923,battle_dominant,
5,86.81443298969073,very_strong,acmd_4eeecd36522d,"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,early_modern,16,13,0,0,3,13,0.8125,0.5631280820721596,99.71883786316776,91.94001874414246,63.12089971883787,90.72164948453609,91.37769447047798,75.72633552014996,60.63730084348641,30,0.07473309608540923,battle_dominant,
6,86.81162136832239,very_strong,acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,revolutionary_napoleonic,28,25,0,0,3,27,0.9642857142857143,0.5871530954180882,99.90627928772258,98.96907216494846,69.00968447360201,58.80974695407685,98.96907216494846,75.72633552014996,77.69447047797563,13,0.04030710172744721,battle_dominant,
7,86.67104029990628,very_strong,acmd_6c87ea380ff8,Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,revolutionary_napoleonic,25,22,0,0,3,20,0.8,0.47633820609652266,97.75070290534208,97.8444236176195,67.13527022805373,79.70946579194002,97.9381443298969,75.72633552014996,44.798500468603564,22,0.045553145336225585,battle_dominant,
8,86.27553889409559,very_strong,acmd_0718c2b706e8,Douglas MacArthur,https://en.wikipedia.org/wiki/Douglas_MacArthur,world_wars,22,18,3,0,1,20,0.9090909090909091,0.35782123112287356,86.41049671977507,97.09465791940019,96.26679162761639,48.219306466729144,97.09465791940019,90.95595126522961,71.64948453608247,9,0.13253012048192772,battle_dominant,
9,86.09090909090911,very_strong,acmd_7305f32ff4a6,Charles XIV John,https://en.wikipedia.org/wiki/Charles_XIV_John,revolutionary_napoleonic,21,16,0,0,5,16,0.7619047619047619,0.49555770063652144,98.5941893158388,97.28209934395501,67.69759450171821,70.80599812558576,95.0328022492971,84.77038425492034,43.95501405810684,18,0.09859154929577464,battle_dominant,
10,86.08247422680412,very_strong,acmd_3fe0c4409371,Ivan Paskevich,https://en.wikipedia.org/wiki/Ivan_Paskevich,long_nineteenth_century,9,7,0,0,2,9,1.0,0.48002062620093305,97.9381443298969,83.1302717900656,79.78756638550453,95.31396438612933,65.74507966260543,64.1518275538894,88.89409559512652,37,0.0909090909090909,battle_dominant,
11,85.58950328022492,very_strong,acmd_36041001b0b5,Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV,early_modern,15,8,0,0,7,11,0.7333333333333333,0.4904119699564625,98.21930646672915,90.9090909090909,64.90159325210871,84.20805998125586,82.84910965323337,90.01874414245549,58.05998125585754,25,0.23444976076555024,mixed_profile,
12,85.47985004686036,very_strong,acmd_511cecdfe383,"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,20,17,0,0,3,15,0.75,0.383511604586429,88.56607310215557,96.43861293345829,67.69759450171821,95.31396438612933,95.54826616682287,75.72633552014996,51.452671040299904,37,0.058171745152354556,battle_dominant,
13,85.11152764761013,very_strong,acmd_b11217dd158b,Mehmed II,https://en.wikipedia.org/wiki/Mehmed_II,medieval,23,22,0,0,1,21,0.9130434782608695,0.3657025044971093,87.06654170571696,98.87535145267104,69.33770696657295,95.31396438612933,97.65698219306466,47.46954076850984,73.00843486410497,37,0.01565995525727069,battle_dominant,
14,85.02999062792877,very_strong,acmd_4ed31628d983,Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,18,15,0,0,3,18,1.0,0.36781036421728197,87.16026241799437,94.47047797563262,64.90159325210871,91.89315838800376,93.25210871602624,75.72633552014996,88.89409559512652,31,0.06542056074766353,battle_dominant,
15,84.89409559512653,very_strong,acmd_680356dbc48c,Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,revolutionary_napoleonic,21,19,0,0,2,19,0.9047619047619048,0.4541656755159531,96.62605435801312,96.25117150890347,63.12089971883787,73.33645735707591,96.71977507029054,64.1518275538894,74.13308341143393,19,0.03553299492385787,battle_dominant,
16,84.28584817244611,very_strong,acmd_9506d32c4783,André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,revolutionary_napoleonic,43,40,0,0,3,37,0.8604651162790697,0.3957052658381844,89.31583880037488,99.62511715089035,69.33770696657295,68.79100281162137,99.81255857544518,75.72633552014996,62.79287722586692,17,0.025578562728380022,battle_dominant,
17,83.99250234301782,very_strong,acmd_51ac35eb96a8,"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,20,19,0,0,1,18,0.9,0.5011672195454,98.87535145267104,97.00093720712277,67.13527022805373,61.34020618556701,96.3917525773196,47.46954076850984,73.9925023430178,14,0.01808785529715762,battle_dominant,
18,83.5801312089972,very_strong,acmd_2ed09394c0e3,Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,41,40,0,0,1,39,0.9512195121951219,0.6584657882901493,100.0,99.53139643861293,69.22836613558263,58.80974695407685,99.62511715089035,18.181818181818183,77.31958762886599,13,0.0,battle_dominant,
19,83.50609184629803,very_strong,acmd_d7b7bb3c084e,Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,medieval,15,12,0,0,3,15,1.0,0.27744529659723266,71.41518275538894,93.06466729147141,82.89597000937208,99.10965323336457,89.87816307403936,75.72633552014996,88.89409559512652,603,0.08045977011494251,battle_dominant,
20,83.04029990627929,very_strong,acmd_31e8258ee555,Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,world_wars,22,20,2,0,0,17,0.7727272727272727,0.35551532983513773,83.22399250234301,91.19025304592316,84.70790378006873,68.79100281162137,97.37582005623243,83.0834114339269,44.236176194939084,17,0.07407407407407407,battle_dominant,
21,82.21180880974696,very_strong,acmd_73ed44aa1867,Bernard Montgomery,https://en.wikipedia.org/wiki/Bernard_Montgomery,world_wars,19,9,10,0,0,12,0.631578947368421,0.4764743149418673,97.8444236176195,92.12746016869728,69.00968447360201,48.219306466729144,94.00187441424555,99.53139643861293,18.46298031865042,9,0.47058823529411764,operation_heavy,
