display_name,engagements_strict_old,known_outcome_count_old,engagements_strict_new,known_outcome_count_new,rank_baseline_old,rank_hierarchical_old,rank_baseline_new,rank_hierarchical_new
Alexander Suvorov,24,20,24,20,3.0,2.0,3.0,2.0
Jean Lannes,29,26,29,26,1.0,8.0,1.0,8.0
Napoleon Bonaparte,74,62,74,62,2.0,3.0,2.0,3.0
Suleiman the Magnificent,34,25,34,25,18.0,1.0,18.0,1.0
