rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags,broad_page_contribution_share,battle_siege_page_contribution_share,strict_eligibility,exclude_from_headline_ranking,recommended_action,high_level_cap,high_level_cap_adjustment_factor,score_high_level_capped,rank_high_level_capped,rank_change_vs_hierarchical_trust_v2
158,67.96344892221181,solid,acmd_b870b50798ee,Robert L. Eichelberger,https://en.wikipedia.org/wiki/Robert_L._Eichelberger,world_wars,9,9,0,0,0,9,1.0,0.5142857142857143,99.06279287722587,74.13308341143393,44.89222118088097,22.492970946579195,74.92970946579194,18.181818181818183,88.89409559512652,3,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,67.96344892221181,145,-13
159,67.94470477975634,solid,acmd_075298c6aeed,Bairam Khan,https://en.wikipedia.org/wiki/Bairam_Khan,early_modern,9,9,0,0,0,7,0.7777777777777778,0.2886600685282272,72.91471415182755,79.85004686035614,49.70321774445485,91.89315838800376,74.92970946579194,18.181818181818183,42.033739456419866,31,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,67.94470477975634,146,-13
160,67.90636363636364,solid,acmd_c71eebe002ad,Rodolfo Graziani,https://en.wikipedia.org/wiki/Rodolfo_Graziani,world_wars,11,7,2,0,2,6,0.5454545454545454,0.2269746487666241,64.85473289597002,80.41237113402062,77.72571071540145,61.34020618556701,76.61668228678538,87.91002811621368,12.277413308341144,14,0.2473118279569892,mixed_profile,,0.060198,0.939802,eligible_field_commander,False,retain,0.4,1.0,67.90636363636364,147,-13
161,67.89319587628864,solid,acmd_08e286345159,Valery Gerasimov,https://en.wikipedia.org/wiki/Valery_Gerasimov,contemporary,10,3,2,0,5,4,0.4,0.3555555555555555,84.20805998125586,53.98313027179007,77.72571071540145,82.75538894095595,51.452671040299904,93.90815370196812,21.55576382380506,24,0.5275590551181103,war_campaign_heavy,higher_level_dependent | sparse_higher_level_evidence,0.037535,0.962465,eligible_field_commander,False,retain,0.4,1.0,67.89319587628864,148,-13
162,67.7825679475164,solid,acmd_83dec2151eaf,Basil II,https://en.wikipedia.org/wiki/Basil_II,medieval,8,8,0,0,0,8,1.0,0.3471795888641321,82.19306466729147,70.14995313964386,33.34895345204623,94.61105904404874,68.50984067478912,18.181818181818183,88.89409559512652,36,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,67.7825679475164,149,-13
163,67.77818181818184,solid,acmd_22fb66cab5e7,Alauddin Khalji,https://en.wikipedia.org/wiki/Alauddin_Khalji,medieval,7,7,0,0,0,7,1.0,0.4666666666666667,97.04779756326148,69.77507029053422,44.89222118088097,63.68322399250235,58.90346766635426,18.181818181818183,88.89409559512652,15,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,67.77818181818184,150,-13
164,67.42361761949391,solid,acmd_c8c85e9fde2d,Shapur I,https://en.wikipedia.org/wiki/Shapur_I,ancient,13,13,0,0,0,9,0.6923076923076923,0.2377304105582292,66.44798500468603,85.19212746016869,44.89222118088097,96.29803186504218,89.55014058106842,18.181818181818183,28.58481724461106,39,0.0,battle_dominant,,0.0,1.0,eligible_siege_or_engineering_commander,False,retain,0.4,1.0,67.42361761949391,151,-13
165,67.41454545454545,solid,acmd_4f8137f2765a,Hans Karl von Diebitsch,https://en.wikipedia.org/wiki/Hans_Karl_von_Diebitsch,long_nineteenth_century,7,7,0,0,0,6,0.8571428571428571,0.384247146013376,88.7535145267104,67.10402999062794,61.558887847547645,70.80599812558576,58.90346766635426,18.181818181818183,61.52764761012184,18,0.0,battle_dominant,,0.0,1.0,eligible_field_commander,False,retain,0.4,1.0,67.41454545454545,152,-13
166,67.23545454545454,solid,acmd_2ec882c76a3e,Nozu Michitsura,https://en.wikipedia.org/wiki/Nozu_Michitsura,long_nineteenth_century,7,6,0,0,1,6,0.8571428571428571,0.4363636363636363,95.12652296157452,46.76663542642924,48.54732895970009,94.61105904404874,51.452671040299904,47.46954076850984,59.27835051546392,36,0.0551181102362204,battle_dominant,,0.029269,0.970731,eligible_field_commander,False,retain,0.4,1.0,67.23545454545454,153,-13
167,67.16401124648547,solid,acmd_48b3c6f83678,Xue Yue,https://en.wikipedia.org/wiki/Xue_Yue,world_wars,14,11,2,0,1,11,0.7857142857142857,-0.0349421452705136,32.052483598875355,91.09653233364574,95.29834426741644,63.68322399250235,89.22211808809747,86.26991565135896,40.393626991565135,15,0.1505791505791506,battle_dominant,,0.110733,0.889267,eligible_field_commander,False,retain,0.4,1.0,67.16401124648547,154,-13
