model_name,page_type_profile_class,rank_in_profile,global_rank,display_name,score_normalized,primary_era_bucket
baseline_conservative,battle_dominant,72,72,Antonio Duvergé,78.854033290653,long_nineteenth_century
baseline_conservative,battle_dominant,73,73,Alasdair Mac Colla,78.63636363636364,early_modern
baseline_conservative,battle_dominant,74,74,Jeremi Wiśniowiecki,78.58194622279129,early_modern
baseline_conservative,battle_dominant,75,75,Allen H. Turnage,78.50832266325224,world_wars
baseline_conservative,battle_dominant,76,76,Juan Yagüe,78.50832266325224,world_wars
baseline_conservative,battle_dominant,77,77,Smedley Butler,78.50832266325224,long_nineteenth_century
baseline_conservative,battle_dominant,78,78,Al-Qa'qa' ibn Amr al-Tamimi,78.35147247119079,medieval
baseline_conservative,battle_dominant,79,79,Qutb ud-Din Aibak,78.35147247119079,medieval
baseline_conservative,battle_dominant,80,80,Harry Chauvel,78.21702944942382,world_wars
baseline_conservative,battle_dominant,81,81,Tokugawa Ieyasu,78.20422535211269,early_modern
baseline_conservative,battle_dominant,82,82,"Frederick Henry, Prince of Orange",78.1754161331626,early_modern
baseline_conservative,battle_dominant,83,83,Shurahbil ibn Hasana,78.12419974391804,medieval
baseline_conservative,battle_dominant,84,84,Basil II,77.9449423815621,medieval
baseline_conservative,battle_dominant,85,85,Aurangzeb,77.71446862996159,early_modern
baseline_conservative,battle_dominant,86,86,Oliver Cromwell,77.27912932138283,early_modern
baseline_conservative,battle_dominant,87,87,Joseph Souham,77.23431498079385,revolutionary_napoleonic
baseline_conservative,battle_dominant,88,88,Ōyama Iwao,77.15749039692703,long_nineteenth_century
baseline_conservative,battle_dominant,89,89,Nader Shah,77.09346991037131,early_modern
baseline_conservative,battle_dominant,90,90,Genghis Khan,76.93021766965428,medieval
baseline_conservative,battle_dominant,91,91,Tolui,76.76696542893725,medieval
baseline_conservative,battle_dominant,92,92,Stanisław Koniecpolski,76.66773367477593,early_modern
baseline_conservative,battle_dominant,93,93,Richmond K. Turner,76.63892445582586,world_wars
baseline_conservative,battle_dominant,94,94,Mustafa Kemal Atatürk,76.59731113956467,world_wars
baseline_conservative,battle_dominant,95,95,"Louis Joseph, Duke of Vendôme",76.50768245838668,early_modern
baseline_conservative,battle_dominant,96,96,Sidney Smith,76.36363636363636,revolutionary_napoleonic
baseline_conservative,battle_dominant,97,97,Mikhail Kutuzov,76.36043533930858,revolutionary_napoleonic
baseline_conservative,battle_dominant,98,98,Friedrich Wilhelm Freiherr von Bülow,76.23559539052498,revolutionary_napoleonic
baseline_conservative,battle_dominant,99,99,Abu Bakr,76.0819462227913,medieval
baseline_conservative,battle_dominant,100,100,Joan of Arc,76.00512163892446,medieval
baseline_conservative,battle_dominant,101,101,John Norris,75.7202304737516,early_modern
baseline_conservative,battle_dominant,102,102,Jubal Early,75.67221510883482,long_nineteenth_century
baseline_conservative,battle_dominant,103,103,Kuroda Yoshitaka,75.55377720870678,early_modern
baseline_conservative,battle_dominant,104,104,José María Morelos,75.47055057618438,revolutionary_napoleonic
baseline_conservative,battle_dominant,105,105,Nikolay Kamensky,75.18886043533931,revolutionary_napoleonic
baseline_conservative,battle_dominant,106,106,Babur,75.05441741357234,early_modern
baseline_conservative,battle_dominant,107,107,Winfield Scott,75.00640204865557,long_nineteenth_century
baseline_conservative,battle_dominant,108,108,Ögedei Khan,74.85595390524968,medieval
baseline_conservative,battle_dominant,109,109,Honda Tadakatsu,74.81754161331625,early_modern
baseline_conservative,battle_dominant,110,110,Bertrand du Guesclin,74.79513444302175,medieval
baseline_conservative,battle_dominant,111,111,"Édouard Mortier, Duke of Treviso",74.78873239436619,revolutionary_napoleonic
baseline_conservative,battle_dominant,112,112,Georgy Zhukov,74.56786171574905,world_wars
baseline_conservative,battle_dominant,113,113,Bernard Montgomery,74.4910371318822,world_wars
baseline_conservative,battle_dominant,114,114,Al-Muthanna ibn Haritha,74.30857874519846,medieval
baseline_conservative,battle_dominant,115,115,Mikołaj Potocki,73.98847631241998,early_modern
baseline_conservative,battle_dominant,116,116,Jassa Singh Ahluwalia,73.9596670934699,early_modern
baseline_conservative,battle_dominant,117,117,Skanderbeg,73.92765685019207,medieval
baseline_conservative,battle_dominant,118,118,Michiel de Ruyter,73.68117797695263,early_modern
baseline_conservative,battle_dominant,119,119,Hans Karl von Diebitsch,73.54993597951345,long_nineteenth_century
baseline_conservative,battle_dominant,120,120,Laurent de Gouvion Saint-Cyr,73.35787451984635,revolutionary_napoleonic
baseline_conservative,battle_dominant,121,121,Sayenqueraghta,73.30985915492958,early_modern
baseline_conservative,battle_dominant,122,122,Sarath Fonseka,73.25224071702944,contemporary
baseline_conservative,battle_dominant,123,123,Mizuno Katsushige,73.09218950064022,early_modern
baseline_conservative,battle_dominant,124,124,Banastre Tarleton,72.95134443021767,early_modern
baseline_conservative,battle_dominant,125,125,Enver Pasha,72.83610755441742,world_wars
baseline_conservative,battle_dominant,126,126,Basil Aubrey Coad,72.69526248399488,cold_war
baseline_conservative,battle_dominant,127,127,Carl Gustaf Wrangel,72.44558258642765,early_modern
baseline_conservative,battle_dominant,128,128,Date Masamune,72.40076824583866,early_modern
baseline_conservative,battle_dominant,129,129,Ambrogio Spinola,72.25992317541613,early_modern
baseline_conservative,battle_dominant,130,130,Peng Dehuai,72.13508322663252,cold_war
baseline_conservative,battle_dominant,131,131,Géraud Duroc,72.09346991037131,revolutionary_napoleonic
baseline_conservative,battle_dominant,132,132,Murad II,71.86939820742637,medieval
baseline_conservative,battle_dominant,133,133,Nikolai Ruzsky,71.74135723431498,world_wars
baseline_conservative,battle_dominant,134,134,Shimazu Yoshihiro,71.6549295774648,early_modern
baseline_conservative,battle_dominant,135,135,Agha Petros,71.47887323943661,world_wars
baseline_conservative,battle_dominant,136,136,Gustav III,71.47887323943661,revolutionary_napoleonic
baseline_conservative,battle_dominant,137,137,Gustavus Adolphus,71.27400768245838,early_modern
baseline_conservative,battle_dominant,138,138,Ivan Konev,71.21638924455826,world_wars
baseline_conservative,battle_dominant,139,139,Constantine the Great,71.101152368758,ancient
baseline_conservative,battle_dominant,140,140,Wolfram von Richthofen,71.101152368758,world_wars
baseline_conservative,battle_dominant,141,141,Ralph Abercromby,70.55377720870678,revolutionary_napoleonic
baseline_conservative,battle_dominant,142,142,Nikolai Vatutin,70.47375160051216,world_wars
baseline_conservative,battle_dominant,143,143,George Wootten,70.32650448143404,world_wars
baseline_conservative,battle_dominant,144,144,Nozu Michitsura,70.32650448143404,long_nineteenth_century
baseline_conservative,battle_dominant,145,145,Stepa Stepanović,70.32650448143404,world_wars
baseline_conservative,battle_dominant,146,146,Taira no Tomomori,70.32650448143404,medieval
baseline_conservative,battle_dominant,147,147,"Louis, Grand Condé",70.20486555697823,early_modern
baseline_conservative,battle_dominant,148,148,Narses,70.19846350832266,medieval
baseline_conservative,battle_dominant,149,149,Batu Khan,70.14084507042253,medieval
baseline_conservative,battle_dominant,150,150,Publius Cornelius Scipio,70.00640204865557,ancient
baseline_conservative,battle_dominant,151,151,Ishikawa Kazumasa,69.85915492957746,early_modern
baseline_conservative,battle_dominant,152,152,Ernst Gideon von Laudon,69.70870678617158,early_modern
baseline_conservative,battle_dominant,153,153,"Emmanuel de Grouchy, marquis de Grouchy",69.5550576184379,revolutionary_napoleonic
baseline_conservative,battle_dominant,154,154,Shapur I,69.50384122919334,ancient
baseline_conservative,battle_dominant,155,155,Jan Zamoyski,69.36619718309858,early_modern
baseline_conservative,battle_dominant,156,156,Stilicho,69.36619718309858,ancient
baseline_conservative,battle_dominant,157,157,Jean-Baptiste Bessières,69.35019206145967,revolutionary_napoleonic
baseline_conservative,battle_dominant,158,158,Adolf Strauss,69.02048655569783,world_wars
baseline_conservative,battle_dominant,159,159,Alexander Vandegrift,68.89244558258642,world_wars
baseline_conservative,battle_dominant,160,160,Ali İhsan Sâbis,68.89244558258642,world_wars
baseline_conservative,battle_dominant,161,161,Gedik Ahmed Pasha,68.89244558258642,medieval
baseline_conservative,battle_dominant,162,162,Holland M. Smith,68.89244558258642,world_wars
baseline_conservative,battle_dominant,163,163,Oscar Griswold,68.89244558258642,world_wars
baseline_conservative,battle_dominant,164,164,Radomir Putnik,68.89244558258642,long_nineteenth_century
baseline_conservative,battle_dominant,165,165,Ulrich Friedrich Woldemar von Löwendal,68.89244558258642,early_modern
baseline_conservative,battle_dominant,166,166,Sakai Tadatsugu,68.8348271446863,early_modern
baseline_conservative,battle_dominant,167,167,Joachim Murat,68.80281690140845,revolutionary_napoleonic
baseline_conservative,battle_dominant,168,168,Carl Gustav Rehnskiöld,68.7900128040973,early_modern
baseline_conservative,battle_dominant,169,169,Bairam Khan,68.52752880921895,early_modern
baseline_conservative,battle_dominant,170,170,Henri de la Rochejaquelein,68.46030729833548,revolutionary_napoleonic
baseline_conservative,battle_dominant,171,171,Itagaki Nobukata,68.40588988476313,early_modern
baseline_conservative,battle_dominant,172,172,Oda Nobunaga,68.25544174135723,early_modern
baseline_conservative,battle_dominant,173,173,Dragut,68.22663252240717,early_modern
baseline_conservative,battle_dominant,174,174,Aurelian,67.86491677336747,ancient
baseline_conservative,battle_dominant,175,175,Manuel Belgrano,67.8169014084507,revolutionary_napoleonic
baseline_conservative,battle_dominant,176,176,Zubayr ibn al-Awwam,67.75928297055057,medieval
baseline_conservative,battle_dominant,177,177,Carlos Coloma,67.74007682458387,early_modern
baseline_conservative,battle_dominant,178,178,Charles de Lambert,67.74007682458387,revolutionary_napoleonic
baseline_conservative,battle_dominant,179,179,Fyodor Tolbukhin,67.74007682458387,world_wars
baseline_conservative,battle_dominant,180,180,Henry Maitland Wilson,67.74007682458387,world_wars
baseline_conservative,battle_dominant,181,181,Henry V of England,67.74007682458387,medieval
baseline_conservative,battle_dominant,182,182,John J. Pershing,67.74007682458387,world_wars
baseline_conservative,battle_dominant,183,183,Joseph Radetzky von Radetz,67.74007682458387,long_nineteenth_century
baseline_conservative,battle_dominant,184,184,Kaloyan of Bulgaria,67.74007682458387,medieval
baseline_conservative,battle_dominant,185,185,Krum,67.74007682458387,medieval
baseline_conservative,battle_dominant,186,186,Masinissa,67.74007682458387,ancient
baseline_conservative,battle_dominant,187,187,Rama Raya,67.74007682458387,early_modern
baseline_conservative,battle_dominant,188,188,Władysław Sikorski,67.74007682458387,world_wars
baseline_conservative,battle_dominant,189,189,Yazid ibn Abi Sufyan,67.74007682458387,medieval
baseline_conservative,battle_dominant,190,190,Yakov Kulnev,67.70166453265045,revolutionary_napoleonic
baseline_conservative,battle_dominant,191,191,Auguste de Marmont,67.67605633802818,revolutionary_napoleonic
baseline_conservative,battle_dominant,192,192,Heraclius,67.63444302176697,medieval
baseline_conservative,battle_dominant,193,193,Georg von Küchler,67.5608194622279,world_wars
baseline_conservative,battle_dominant,194,194,Selim I,67.55441741357235,early_modern
baseline_conservative,battle_dominant,195,195,Jean-Mathieu-Philibert Sérurier,67.54801536491678,revolutionary_napoleonic
baseline_conservative,battle_dominant,196,196,Maharaja Ranjit Singh,67.4583866837388,long_nineteenth_century
baseline_conservative,battle_dominant,197,197,Hori Hidemasa,67.41357234314981,early_modern
baseline_conservative,battle_dominant,198,198,Toyotomi Hidenaga,67.3303457106274,early_modern
baseline_conservative,battle_dominant,199,199,"Nizam-ul-Mulk, Asaf Jah I",67.17349551856594,early_modern
baseline_conservative,battle_dominant,200,200,Walter Model,66.98143405889886,world_wars
baseline_conservative,battle_dominant,201,201,"Archduke Charles, Duke of Teschen",66.93661971830986,revolutionary_napoleonic
baseline_conservative,battle_dominant,202,202,Fyodor Ushakov,66.7797695262484,revolutionary_napoleonic
baseline_conservative,battle_dominant,203,203,George Crook,66.58770806658131,long_nineteenth_century
baseline_conservative,battle_dominant,204,204,Jean Reynier,66.53008962868118,revolutionary_napoleonic
baseline_conservative,battle_dominant,205,205,Abbas the Great,66.4852752880922,early_modern
baseline_conservative,battle_dominant,206,206,Mikhail Miloradovich,66.29641485275287,revolutionary_napoleonic
baseline_conservative,battle_dominant,207,207,Francisco Pizarro,65.58898847631242,early_modern
baseline_conservative,battle_dominant,208,208,Claude-Victor Perrin,65.550576184379,revolutionary_napoleonic
baseline_conservative,battle_dominant,209,209,Antonio Ricardos,65.08962868117797,revolutionary_napoleonic
baseline_conservative,battle_dominant,210,210,Takeda Katsuyori,65.03201024327784,early_modern
baseline_conservative,battle_dominant,211,211,Jebe,64.87195902688862,medieval
baseline_conservative,battle_dominant,212,212,Sterling Price,64.79833546734955,long_nineteenth_century
baseline_conservative,battle_dominant,213,213,Niels Juel,64.63828425096031,early_modern
baseline_conservative,battle_dominant,214,214,Jan Žižka,64.59026888604353,medieval
