display_name,canonical_wikipedia_url,primary_era_bucket,interpretive_era,interpretive_group,trust_confidence_v2,best_rank,worst_rank,rank_range,mean_rank,top10_appearances,top25_appearances,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,known_outcome_count,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,page_type_exposure_summary,stability_label,caution_flags,dominant_sensitivity_driver,interpretive_reason
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,modern,model_sensitive_band,caution,49.0,245.0,196.0,100.6,0,0,,245.0,59.0,49.0,49.0,99.0,51.0,9,9,4,5,B=4; O=4; C=0; W=1,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,early_modern,early_modern,model_sensitive_band,moderate,76.0,119.0,43.0,102.66666666666667,0,0,116.0,116.0,80.0,76.0,85.0,109.0,119.0,8,11,10,8,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,early_modern,early_modern,model_sensitive_band,caution,14.0,200.0,186.0,103.0,0,1,68.0,200.0,83.0,132.0,75.0,121.0,14.0,16,16,16,13,B=16; O=0; C=0; W=0,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,long_nineteenth_century,modern,model_sensitive_band,caution,32.0,241.0,209.0,103.0,0,0,241.0,162.0,90.0,32.0,29.0,34.0,59.0,6,9,6,7,B=6; O=0; C=0; W=3,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Bertrand du Guesclin,https://en.wikipedia.org/wiki/Bertrand_du_Guesclin,medieval,medieval,model_sensitive_band,caution,71.0,164.0,93.0,107.0,0,0,110.0,164.0,81.0,92.0,131.0,71.0,124.0,9,10,8,7,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Živojin Mišić,https://en.wikipedia.org/wiki/%C5%BDivojin_Mi%C5%A1i%C4%87,world_wars,modern,model_sensitive_band,caution,20.0,299.0,279.0,107.16666666666667,0,1,299.0,189.0,71.0,26.0,25.0,38.0,20.0,7,9,5,8,B=5; O=3; C=0; W=1,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Mustafa Kemal Atatürk,https://en.wikipedia.org/wiki/Mustafa_Kemal_Atat%C3%BCrk,world_wars,modern,model_sensitive_band,caution,46.0,209.0,163.0,108.66666666666667,0,0,94.0,209.0,46.0,100.0,145.0,95.0,108.0,22,28,21,19,B=21; O=0; C=0; W=7,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Guru Gobind Singh,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,early_modern,early_modern,model_sensitive_band,caution,61.0,179.0,118.0,113.16666666666667,0,0,61.0,96.0,94.0,126.0,215.0,123.0,179.0,13,16,16,7,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,medieval,medieval,model_sensitive_band,caution,100.0,168.0,68.0,120.33333333333333,0,0,117.0,106.0,100.0,125.0,132.0,106.0,168.0,10,17,15,6,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,modern,model_sensitive_band,caution,49.0,358.0,309.0,120.8,0,0,,358.0,85.0,60.0,67.0,52.0,49.0,10,11,4,6,B=4; O=7; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Nader Shah,https://en.wikipedia.org/wiki/Nader_Shah,early_modern,early_modern,model_sensitive_band,caution,74.0,206.0,132.0,122.5,0,0,89.0,206.0,74.0,116.0,87.0,96.0,154.0,16,20,17,10,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ambrogio Spinola,https://en.wikipedia.org/wiki/Ambrogio_Spinola,early_modern,early_modern,model_sensitive_band,caution,91.0,237.0,146.0,125.83333333333333,0,0,129.0,237.0,91.0,108.0,117.0,92.0,98.0,8,11,8,9,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Honda Tadakatsu,https://en.wikipedia.org/wiki/Honda_Tadakatsu,early_modern,early_modern,model_sensitive_band,caution,91.0,191.0,100.0,129.16666666666666,0,0,109.0,131.0,97.0,91.0,89.0,191.0,156.0,9,10,9,4,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Georgy Zhukov,https://en.wikipedia.org/wiki/Georgy_Zhukov,world_wars,modern,model_sensitive_band,caution,39.0,343.0,304.0,130.16666666666666,0,0,112.0,343.0,39.0,79.0,40.0,78.0,130.0,23,24,17,15,B=17; O=7; C=0; W=0,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,early_modern,early_modern,model_sensitive_band,caution,86.0,211.0,125.0,130.83333333333334,0,0,137.0,211.0,86.0,135.0,96.0,124.0,92.0,12,20,16,11,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
"Édouard Mortier, Duke of Treviso",https://en.wikipedia.org/wiki/%C3%89douard_Mortier%2C_Duke_of_Treviso,revolutionary_napoleonic,modern,model_sensitive_band,caution,73.0,215.0,142.0,137.0,0,0,111.0,215.0,73.0,117.0,133.0,135.0,171.0,18,22,18,13,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,early_modern,early_modern,model_sensitive_band,caution,88.0,238.0,150.0,143.0,0,0,118.0,238.0,88.0,131.0,56.0,122.0,161.0,11,15,10,10,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,world_wars,modern,model_sensitive_band,caution,61.0,304.0,243.0,145.33333333333334,0,0,286.0,304.0,67.0,67.0,54.0,87.0,61.0,10,11,6,11,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Zubayr ibn al-Awwam,https://en.wikipedia.org/wiki/Zubayr_ibn_al-Awwam,medieval,medieval,model_sensitive_band,caution,93.0,217.0,124.0,146.66666666666666,0,0,176.0,217.0,93.0,99.0,161.0,180.0,115.0,8,10,9,6,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ernst Gideon von Laudon,https://en.wikipedia.org/wiki/Ernst_Gideon_von_Laudon,early_modern,early_modern,model_sensitive_band,caution,70.0,381.0,311.0,149.16666666666666,0,0,152.0,381.0,70.0,87.0,77.0,76.0,129.0,11,12,9,6,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Murad II,https://en.wikipedia.org/wiki/Murad_II,medieval,medieval,model_sensitive_band,caution,84.0,332.0,248.0,151.83333333333334,0,0,132.0,332.0,84.0,118.0,125.0,97.0,148.0,11,13,12,10,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Ivan Konev,https://en.wikipedia.org/wiki/Ivan_Konev,world_wars,modern,model_sensitive_band,caution,76.0,378.0,302.0,162.83333333333334,0,0,138.0,378.0,76.0,146.0,114.0,133.0,106.0,17,21,16,13,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,world_wars,modern,model_sensitive_band,caution,45.0,443.0,398.0,168.5,0,0,320.0,443.0,45.0,63.0,50.0,70.0,70.0,13,16,8,10,B=8; O=7; C=0; W=1,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Laurent de Gouvion Saint-Cyr,https://en.wikipedia.org/wiki/Laurent_de_Gouvion_Saint-Cyr,revolutionary_napoleonic,modern,model_sensitive_band,caution,92.0,344.0,252.0,180.33333333333334,0,0,120.0,344.0,92.0,158.0,129.0,149.0,219.0,16,20,18,13,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,early_modern,early_modern,model_sensitive_band,caution,99.0,380.0,281.0,188.33333333333334,0,0,147.0,380.0,99.0,147.0,127.0,150.0,207.0,10,13,11,9,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,world_wars,modern,model_sensitive_band,caution,47.0,689.0,642.0,191.66666666666666,0,0,217.0,689.0,47.0,72.0,64.0,69.0,56.0,17,17,10,9,B=10; O=7; C=0; W=0,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,modern,model_sensitive_band,caution,23.0,525.0,502.0,202.0,0,1,455.0,525.0,36.0,59.0,28.0,114.0,23.0,9,13,5,13,B=5; O=7; C=0; W=1,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Prince Rupert of the Rhine,https://en.wikipedia.org/wiki/Prince_Rupert_of_the_Rhine,early_modern,early_modern,model_sensitive_band,caution,89.0,396.0,307.0,203.16666666666666,0,0,221.0,396.0,89.0,153.0,245.0,148.0,212.0,15,28,22,13,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Kirill Meretskov,https://en.wikipedia.org/wiki/Kirill_Meretskov,world_wars,modern,model_sensitive_band,caution,72.0,693.0,621.0,209.0,0,0,,693.0,72.0,83.0,91.0,104.0,93.0,10,13,4,10,,highly_model_sensitive,higher_level_dependent,higher_level_page_dependency,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,revolutionary_napoleonic,modern,model_sensitive_band,caution,61.0,657.0,596.0,226.83333333333334,0,0,208.0,657.0,61.0,123.0,138.0,127.0,185.0,22,28,26,12,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
François Joseph Lefebvre,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Lefebvre,revolutionary_napoleonic,modern,model_sensitive_band,caution,98.0,772.0,674.0,273.6666666666667,0,0,242.0,772.0,98.0,160.0,221.0,217.0,153.0,11,13,11,9,,highly_model_sensitive,,mixed_model_sensitivity,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,revolutionary_napoleonic,modern,model_sensitive_band,caution,78.0,779.0,701.0,277.0,0,0,261.0,779.0,78.0,157.0,162.0,172.0,215.0,32,42,38,15,,highly_model_sensitive,,higher_level_page_dependency,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment."
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,world_wars,modern,model_sensitive_band,caution,82.0,1202.0,1120.0,388.3333333333333,0,0,616.0,1202.0,82.0,145.0,68.0,199.0,86.0,10,17,5,14,,highly_model_sensitive,higher_level_dependent,mixed_model_sensitivity,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers."
